1-0.183943226630557i,1-0.21031829520366i,1-0.229965678699024i,1-0.246577256524791i,1-0.216239948907697i,1-0.178277215072969i,1-0.162769706704174i,1-0.161306505367246i,1-0.157479337350526i,1-0.175555876136983i
0.959221588795545-0.127564104261064i,0.933633557193907-0.170012675458217i,0.921400938580418-0.184695215240184i,0.917666574100329-0.199629923704006i,0.901557387068662-0.207802851108687i,0.929741283930218-0.143202597413408i,0.948377855353727-0.126388143013684i,0.945103158035286-0.131521699976643i,0.939694783307777-0.133289581988795i,0.937762235737073-0.146500868660626i
0.934548816979043-0.0934952221891305i,0.879681886663997-0.118434735075275i,0.86854978995274-0.128866095881897i,0.855380250692041-0.130651049948804i,0.8309504693561-0.123290056552695i,0.895165941945175-0.0967803886498587i,0.913950874237962-0.0893300058502933i,0.911001067479775-0.0870356262066492i,0.904193710845025-0.092600339204627i,0.89149047045049-0.118717400895547i
0.910099578397707-0.0777844415912736i,0.855793232691725-0.0952794914116383i,0.837583654338513-0.102052453439156i,0.829341448035043-0.105733613802081i,0.810811131562086-0.0992885762599762i,0.868288949498981-0.0770547244505607i,0.90084929786908-0.0603676518735906i,0.897905544594178-0.0720114963988857i,0.891648901639249-0.0745356511224478i,0.860968336006643-0.110450007381317i
0.870247922131001-0.0814703745812013i,0.803251840500652-0.0943851861124196i,0.788285458519635-0.0910850115963974i,0.777728254680175-0.0962381911111556i,0.759150767354092-0.091966134772101i,0.838151286666577-0.0709629223102916i,0.866718481088764-0.0702502284280223i,0.868666603920517-0.0712903365348924i,0.847467632135797-0.0888724643977276i,0.795163664272485-0.133334512121816i
0.846081388916449-0.100811586321744i,0.779106643283404-0.102997011523922i,0.75648876553345-0.100843848372636i,0.742934122227258-0.103350215236895i,0.731305634267148-0.100663165938971i,0.81110463922059-0.0890517752817032i,0.8461274797771-0.0896036906026305i,0.848518543456661-0.0968088406398009i,0.820169077631274-0.109470723771914i,0.737620554454218-0.164772160602212i
0.794778237499105-0.143974232871147i,0.737722591883833-0.130047643324827i,0.70764727566042-0.115605659271889i,0.69522120392339-0.118138808742218i,0.689570875515194-0.109563389244839i,0.779676714699673-0.120117502552402i,0.816305909225616-0.107817475481016i,0.817387601520864-0.119283005288766i,0.765524256352425-0.144804566187639i,0.657703138883982-0.19024936482645i
0.707079062079719-0.204357883280199i,0.662622408427924-0.173638227861335i,0.643657110572388-0.158548311290094i,0.632467060886055-0.166513463355352i,0.623714453198922-0.152231808750961i,0.700271885816188-0.171251035198817i,0.735194031011229-0.171672237543874i,0.721512598636878-0.192042656961077i,0.662982569092339-0.203782024072421i,0.528425064222382-0.205677142130222i
0.590867391471412-0.244473506931723i,0.569151291333491-0.215198373576821i,0.546054933462184-0.206940705430281i,0.54466836062881-0.199519262681115i,0.536581543024874-0.18876358954566i,0.605890877348702-0.212187132579215i,0.637628473462799-0.223902544724865i,0.620369705156495-0.233302442589281i,0.551095452199769-0.230911620077873i,0.430042156396413-0.199066403476105i
0.469962050870506-0.257169171059507i,0.450131831836951-0.23432608394577i,0.446290604945475-0.23032424740914i,0.442049639992395-0.218294383359026i,0.442539288501492-0.214312953992386i,0.494456459970847-0.24053455785747i,0.519871452439542-0.25904725461919i,0.497347648503861-0.248453710076587i,0.437812563506316-0.238158423360683i,0.339626023969857-0.189965328119232i
0.300285139115282-0.241364771394568i,0.294948437050887-0.235136462325784i,0.298018052093868-0.224900509852743i,0.297322473105304-0.223200286533199i,0.290818518903544-0.216499175608364i,0.327585032899381-0.249804928229284i,0.340588721485111-0.261047478086182i,0.328281567806786-0.253926579768691i,0.290206324907741-0.230181972923707i,0.226700618673219-0.179416607753632i
0.192097962468964-0.215166471531351i,0.194574785275976-0.218232471717801i,0.188845922202559-0.208684555198464i,0.184224065352435-0.208263895351838i,0.188045619953945-0.208454210129988i,0.208258212285575-0.224547787989253i,0.22106717431171-0.238964981843375i,0.210706475121506-0.236073962782758i,0.189305438184012-0.204680638896967i,0.145558255133062-0.165545658016249i
0.0940982246523943-0.184338612574872i,0.0949099742471018-0.185771106883138i,0.100799423324102-0.174394272503561i,0.0954502914576699-0.175332559584269i,0.099812412033079-0.172594365640717i,0.10772453662024-0.201634036957751i,0.116390094640709-0.205650726470521i,0.103588670982144-0.200185059669307i,0.091084042699553-0.178205980859133i,0.0800489852673014-0.140338209388581i
0-0.13525183430574i,0-0.134673104429011i,0-0.131467675019965i,0-0.131021733536128i,0-0.133472252497556i,0-0.145311468781846i,0-0.15453752014588i,0-0.14800519566465i,0-0.131338553830759i,0-0.106293143778197i
