1-0.180560828449422i,1-0.212103819338915i,1-0.232118021846415i,1-0.23760937906283i,1-0.217972068466634i,1-0.180229824272774i,1-0.160707430030085i,1-0.164884263336283i,1-0.154544439987933i,1-0.177914368951975i
0.957360514363915-0.118691297195818i,0.926350381851202-0.154689450861547i,0.925882414612084-0.174520491984975i,0.918624785604474-0.189892530723506i,0.899507763075204-0.199797105311089i,0.933170193752498-0.132521903651034i,0.942704043271493-0.114288468485555i,0.945483224285429-0.121384507724377i,0.944022386112686-0.123657304094154i,0.94072567529198-0.147141990488827i
0.933067586686335-0.0938897539853545i,0.885005591448245-0.112342341478489i,0.874959568605003-0.132071332002881i,0.867275576670459-0.134165674137064i,0.829525285794643-0.125124003209462i,0.901903267185081-0.0948017869595458i,0.918675673956323-0.0842283574571704i,0.916704466984195-0.0841635800842583i,0.905109893402094-0.092048086412074i,0.899955871845181-0.117597562339063i
0.906168970176441-0.0799944850676174i,0.857186979184893-0.0924855090906981i,0.84489954609817-0.0979752153875086i,0.82631847779848-0.0999768562551626i,0.817967193182361-0.0962146937848131i,0.883476745741694-0.0700514911293088i,0.903514976140092-0.0635120803229604i,0.905772899181259-0.0644636965906822i,0.894192766458669-0.0707922930937737i,0.86768767927069-0.1105423497715i
0.871810309059405-0.0837493961742226i,0.811417120237843-0.0885117265039826i,0.794524732134182-0.0891808930530438i,0.776998530208161-0.0921066161807889i,0.766940252964172-0.0840944599103574i,0.847875080141437-0.0653528214521397i,0.862366478118231-0.0697424277500222i,0.8700348521607-0.0701845258500845i,0.848313748504162-0.0888711524930143i,0.802095315173968-0.129812595089539i
0.847070168457058-0.100429633237345i,0.781822193200256-0.0977882841265245i,0.760729339476726-0.104541287100417i,0.754170104597895-0.11225903326818i,0.73773840163584-0.0942546665547739i,0.826356811007591-0.0899269263173605i,0.848948837658196-0.0892331835391204i,0.850040749294242-0.0924690776398193i,0.820875951133587-0.112805164982713i,0.747522871393583-0.163152712825795i
0.804447467467747-0.127356607894582i,0.750929072468878-0.116267346541535i,0.737246209575959-0.119395019852077i,0.710949990220368-0.107297577379743i,0.698558395502725-0.115929448543608i,0.77904802833673-0.105050069134786i,0.821027834432937-0.127275445691i,0.796702298678103-0.125441077901061i,0.789465699358986-0.137249945725658i,0.675149449313863-0.192733849959466i
0.712214260994061-0.194825054179584i,0.671199202051358-0.167905708237162i,0.657865139484818-0.169053313089125i,0.636210009505906-0.16614461384662i,0.624783120057347-0.159292595842721i,0.707179273629529-0.169617232440546i,0.735942308092705-0.181946097242094i,0.708226723804901-0.189837994495963i,0.669336660540279-0.205801127885382i,0.542030333209275-0.204565756039624i
0.606161352665292-0.244497630034132i,0.575041223865657-0.218112511951741i,0.560839653231389-0.208850537232944i,0.549610963776142-0.199452982002151i,0.545346673634307-0.19648043873728i,0.613973078017876-0.222769628262122i,0.62770667248934-0.238052945141497i,0.611121384635673-0.241051293759849i,0.555372143904807-0.235339033914421i,0.43883692707112-0.208281319608445i
0.475959149289675-0.25847449534996i,0.458409279768713-0.242966695003307i,0.451186492788229-0.230840876805346i,0.440917330601812-0.231889106463533i,0.438551708515368-0.220820080251942i,0.494421654988669-0.246391512129592i,0.500420444876569-0.264573574765953i,0.490402030598428-0.263279279218884i,0.436518763935307-0.244588777646695i,0.345028182100508-0.200286211979467i
0.304434501229057-0.248144159178433i,0.304134833021218-0.236649455630239i,0.295450868665677-0.233259129354422i,0.292432619380488-0.233034699163132i,0.29182011045148-0.22451056133071i,0.32667126714665-0.26029228467291i,0.326309915458136-0.260637987682191i,0.318051547440432-0.256792964703833i,0.293460371315921-0.22972082867664i,0.229159550289671-0.186413182684645i
0.192357781909254-0.222482003661283i,0.188349811328724-0.215385351835318i,0.185674937433785-0.216750368305347i,0.181756916024899-0.210418075245497i,0.188293166413638-0.210370575926418i,0.207287311082041-0.235265409236725i,0.206374602420279-0.237412743416841i,0.201546738746475-0.230171242321874i,0.182577967969631-0.205952008677952i,0.143614771702019-0.165073530945078i
0.100456973080695-0.185058218783741i,0.0974364344804683-0.181688264773975i,0.0948009589094467-0.184681372335331i,0.0911302408200412-0.177317096601698i,0.0977745784859146-0.1774675895827i,0.106008935929208-0.19384816353172i,0.105777442327647-0.203558338088947i,0.101386339707504-0.194405720407889i,0.0935606168681913-0.17259427221516i,0.0731041175391715-0.14392520533069i
0-0.128683224333376i,0-0.133707774102471i,0-0.133062949717809i,0-0.126082228848267i,0-0.130599544438241i,0-0.143472806051311i,0-0.136809852976706i,0-0.139833236280976i,0-0.128302913072276i,0-0.103584147146977i
