1-0.174158209438539i,1-0.214722051576401i,1-0.239565600799184i,1-0.255369583439634i,1-0.210710745264457i,1-0.192767179911623i,1-0.160719662662369i,1-0.156964240279327i,1-0.163820800765502i,1-0.185383363422635i
0.959107299137705-0.118825725217708i,0.938475001745093-0.157973069987629i,0.928913881556921-0.182007573697099i,0.919738970072177-0.193000415223375i,0.897153849677287-0.209552867069593i,0.927214970364961-0.148014052784443i,0.949094942304316-0.120925958732294i,0.943253019701034-0.117793385823439i,0.94167532865127-0.126272105236172i,0.944959830602466-0.143081753293293i
0.937595495203119-0.0826202462677009i,0.886146521040545-0.112802313554298i,0.879164235893982-0.127878520323144i,0.861858135615652-0.138765045224714i,0.82043439241371-0.130977347090386i,0.901332002601205-0.0974656624612257i,0.924161409232249-0.0847104766491074i,0.920892283557566-0.0789414364423206i,0.908795197877956-0.0889997175495631i,0.908967904792398-0.103170594413909i
0.907729383518692-0.0717096023023286i,0.866743858900042-0.082853232473039i,0.84938455215981-0.0936420753542588i,0.833968407418199-0.101166591295755i,0.811575381232437-0.0917801502642017i,0.882590851520956-0.0673959183789321i,0.910189915050722-0.0649190102954029i,0.908949053137561-0.0654782631459599i,0.894505592085935-0.06899818651045i,0.879503330181187-0.0881427998201594i
0.878741751599691-0.0727509537994848i,0.820823633895593-0.0736864392345867i,0.802646496306801-0.0814035533907824i,0.782224608789228-0.0824016932823917i,0.763196669666214-0.0737706085706089i,0.843757101241886-0.0570767136898557i,0.875810670483712-0.0579982490273917i,0.874804394415185-0.0634717593437674i,0.860664998998322-0.0664546369749226i,0.832022633749705-0.0904733346520114i
0.866453664099546-0.0864455946390696i,0.809146889788025-0.0808538026404139i,0.780650269502771-0.0863123076666292i,0.759654678629866-0.0883171579147614i,0.742160192623759-0.0770243267357022i,0.832728295756138-0.0738408702206574i,0.866746927721838-0.0776797074042316i,0.86089329510525-0.0839423229897544i,0.839639534765228-0.0914380908658477i,0.796047074566332-0.115592712006012i
0.831723201681496-0.12652519961689i,0.773281766360117-0.117881903249634i,0.749876602720604-0.101539259596759i,0.740142893394335-0.10455657725072i,0.724593533635299-0.0895623024978715i,0.810587951520327-0.097653643074704i,0.849399607190865-0.112523803501028i,0.838652868521367-0.105073026310149i,0.814385652500218-0.118966621472805i,0.750317131265101-0.151990485410072i
0.744045780348174-0.195543938164712i,0.705987481471279-0.171872707731677i,0.68973674537287-0.158141096999539i,0.671066652438055-0.152916444142047i,0.662149631393092-0.14457252070162i,0.749063970071493-0.167788191169536i,0.767070067038778-0.169869147292146i,0.760523694004797-0.189685379122634i,0.724746838929618-0.198629471727351i,0.639274598186353-0.204244528435313i
0.634787995882638-0.250024459933098i,0.616726153288224-0.214806731728096i,0.601557877857761-0.201678418693439i,0.587075327855436-0.199862446125399i,0.57642126178964-0.195696711478716i,0.645354882774958-0.225060383534296i,0.658413295809206-0.241250463266712i,0.65186245991638-0.239997492748705i,0.618546121174467-0.236922794032038i,0.527755623722412-0.23534259944648i
0.499225365619243-0.273235709785172i,0.497655006478986-0.249318407442474i,0.49115719204294-0.242419813847235i,0.475703185013622-0.237702860569031i,0.479642132311436-0.227371861717891i,0.531889932840499-0.258662781154871i,0.536792317954601-0.268861252562344i,0.523560777713778-0.271771092887187i,0.486534025921529-0.265216072472727i,0.410205161674522-0.239232869963174i
0.317755953814095-0.265788596270995i,0.323171913225517-0.249325299534618i,0.321348679427392-0.251364283487862i,0.320605442156439-0.242292248114707i,0.316154444030427-0.247964191547485i,0.353806335317866-0.26731052935233i,0.343965359676511-0.274958878065801i,0.33463278666284-0.2675401068454i,0.308535153531073-0.254236084684366i,0.262755269824809-0.213110976267853i
0.194219277292714-0.234961977692494i,0.203771119740697-0.229561177428982i,0.208410331817965-0.223991037113649i,0.201730670738815-0.223063464225829i,0.193716481204363-0.216859107656512i,0.232404806427484-0.245161919364719i,0.215701005094278-0.255190507762926i,0.220674942596976-0.235205343901708i,0.195480034323791-0.223932886747469i,0.170400125503106-0.189991496284884i
0.0971814849584712-0.19124231226692i,0.0980552673996957-0.186646452887867i,0.10091770515357-0.18932549836901i,0.0960893945724155-0.193145085749356i,0.0982522275103734-0.187160440914129i,0.117698217520993-0.210948868910033i,0.108815521412699-0.209543597938372i,0.113708076280958-0.200362175762534i,0.0913596839543638-0.189455974209956i,0.0856140691428393-0.163178661509403i
0-0.129743957484815i,0-0.136983755682315i,0-0.134077838495647i,0-0.131976873615731i,0-0.127088996041044i,0-0.152059712677479i,0-0.145499768089125i,0-0.138186440456004i,0-0.131709223582248i,0-0.11445601329237i
