0.0686400486493361-0.00428390737484564i,0.0684565378978605-0.00480815102726608i,0.066958882982329-0.00529975836012553i,0.0659524103452702-0.00491293405742649i,0.0662620632161292-0.00456868334852835i,0.0641231689683285-0.0031285693471217i,0.0645801323192445-0.00234754022678866i,0.0663176202945398-0.00325226888588619i,0.0689174029220046-0.00341805983884452i,0.0744109825013626-0.00487978537797233i
0.0676199152119546-0.00292330444115128i,0.0669023641442686-0.00370553992018207i,0.0653500941921188-0.00417356068106224i,0.0644013700650302-0.0041129176207668i,0.0641158876705147-0.00415358064761052i,0.0628510391297211-0.00254809474130164i,0.0634986752485657-0.00194813241531628i,0.0654493255043095-0.00240410801008428i,0.0675442904781112-0.00279834117237127i,0.0727873182208385-0.00388349111669465i
0.066977568348387-0.00200103117965968i,0.0658531060150488-0.00265446107325596i,0.0643138457192506-0.0026933175920847i,0.0634825613617137-0.00293755575962767i,0.0625024570137396-0.00270044424340063i,0.0621174780756758-0.00179153378112633i,0.0630390574514371-0.00159823144420433i,0.0644037884870272-0.00176439315869351i,0.0667500737808848-0.00189106968815387i,0.0715405397264497-0.00306745091816669i
0.0664049130503084-0.00165711780498124i,0.0651403438206559-0.00196801978401424i,0.0636017325175836-0.00229706130182351i,0.0627492909943692-0.0020641065457169i,0.0623423602021627-0.00179174910020557i,0.0619981142971147-0.00129994420721561i,0.0624461790846181-0.00121894712466296i,0.0641125026259205-0.00118426368815245i,0.066592018793766-0.00151311482014054i,0.0709332467303353-0.00242874430127146i
0.0656299832588096-0.00157847833807621i,0.0641881923468287-0.00178889338646396i,0.0627914790197067-0.00169028810668574i,0.0617186230376869-0.0018673086901035i,0.0611084248566064-0.00158738626998867i,0.0612943422702492-0.00122089968456086i,0.0618317180609772-0.00106623778162503i,0.06369446405338-0.00112846926610259i,0.0657218753667887-0.0015590796129763i,0.0695887485123116-0.00262787890008215i
0.0651805921437129-0.00177837955636093i,0.0636992902019296-0.00199074694202126i,0.0620700908109212-0.00208103985162832i,0.061272845700016-0.00197355077840146i,0.0607693181817116-0.0017210724489943i,0.0609638961052666-0.00131799569469748i,0.0614950346258934-0.00124844262678515i,0.0634371932739661-0.00146740602191858i,0.0653792533503109-0.00184716406597782i,0.0685595733648092-0.00329218120613738i
0.0645271248359835-0.0024816248973945i,0.0629272424774432-0.00236397101293664i,0.0613970234593365-0.00238556768197897i,0.060589842873613-0.00204198582351074i,0.0604200886157719-0.00206454182537347i,0.0606073428867288-0.00173912477014297i,0.0611250342459639-0.001870171500669i,0.0628736902881269-0.00219454064140913i,0.0647128047731663-0.00251338449427653i,0.0672391431429607-0.00399682524112897i
0.0629694293345783-0.00404353601221906i,0.0614850110352211-0.0036468822417943i,0.060171450075514-0.00340594916222733i,0.0593030894618735-0.00306593814284587i,0.0589795977937511-0.00295681955375484i,0.0592814790026549-0.00291420710695673i,0.0600517450302783-0.00298844446455818i,0.0613893212348469-0.00336758120212175i,0.06269924974868-0.00402695201901196i,0.0643619585753189-0.00522667044762545i
0.0607408832859315-0.005302276715125i,0.0594262783234989-0.00477248700327072i,0.0582739470764385-0.00433236900450584i,0.0575935532656943-0.00406630350099037i,0.0574075810477596-0.00376913941215631i,0.057760515120742-0.00395241317470665i,0.0583057001112896-0.00399706233304134i,0.0595936449164207-0.00451514561003114i,0.0606647552320642-0.00484748811851589i,0.0614347807056585-0.00594451941908923i
0.0578489986041101-0.00601168478443788i,0.0569230360117248-0.00549460283090993i,0.0559415984236474-0.00484960457914609i,0.0555218792544872-0.00466200826476387i,0.0554077880451394-0.00458586033185368i,0.0558087388346801-0.00455465586728016i,0.0560363050884226-0.00454072200418551i,0.0570934100812653-0.00520372324077463i,0.0576886046090817-0.00563749094157559i,0.0585584160991018-0.00591316014067639i
0.0535917834072728-0.00603620570958577i,0.0530175007964326-0.00557375556052893i,0.0524899385014964-0.00515590299315979i,0.052313632907241-0.00484495372212553i,0.0522175773217907-0.00475664444342396i,0.0526569516544316-0.0047986332565253i,0.0529379351234623-0.00486820053821138i,0.0534975745961597-0.00526974558252833i,0.0541720131031312-0.00523119611138063i,0.0549219313920588-0.00538921816820139i
0.0508473268799118-0.00543307458737121i,0.0504487375151352-0.00509191651324726i,0.0501236259444358-0.00475008030860857i,0.049936438753379-0.00460742947035434i,0.0499875839738904-0.00453084393678278i,0.0502595697092536-0.00431900116169544i,0.0505697074642764-0.00447087821209856i,0.0510351166847806-0.00473267726945239i,0.0516685697797469-0.00481500981460557i,0.0524847006900789-0.00489645033478311i
0.0484073702145406-0.00451009453551177i,0.0481781636330635-0.00429872246354857i,0.0480421013044039-0.00409498187588616i,0.0479156494175325-0.00378752738147676i,0.047888644079067-0.00386744499605611i,0.0483701788679302-0.00367762716397515i,0.0485586974091853-0.00387238516844244i,0.0490116577844518-0.00401995481414683i,0.0495471345387531-0.00406087916247796i,0.0504144322710248-0.00419169314440391i
0.0460644466020351-0.00317035835493734i,0.0459692412363534-0.00297882406864759i,0.0458092179715738-0.00274942693078241i,0.0457321026854807-0.00274315956622204i,0.0459682202226418-0.00259945554369816i,0.0462661870455918-0.0027134243455091i,0.0465697614508283-0.00282058845747306i,0.0470041280093027-0.00287191739487881i,0.0475658525756726-0.0030047892614209i,0.048036169739399-0.00306889801192216i
