1-0.18666812585881i,1-0.204419332955802i,1-0.230531006041461i,1-0.248647390130968i,1-0.216738931018803i,1-0.176466665766772i,1-0.161690919864949i,1-0.155268136098218i,1-0.160452718881597i,1-0.179413781718122i
0.960038334121171-0.131710355749421i,0.928208623822557-0.167834143649903i,0.920984726604732-0.188684269394479i,0.923570489178306-0.197997653705919i,0.895711765418674-0.203777520336351i,0.942549465557689-0.140830975902303i,0.951658545326523-0.128944850285552i,0.954219805083691-0.128109847224644i,0.944393953689213-0.130230397546551i,0.943780294963532-0.147456091266967i
0.928692340837001-0.100168229028612i,0.881605963058206-0.117481249254365i,0.868551583043724-0.130418037685594i,0.861275038569485-0.139863903052801i,0.825901185990774-0.131557236354918i,0.902581359728883-0.0942698038841578i,0.924317889206715-0.0893266488911605i,0.91637620017446-0.0875052420572036i,0.899121007744748-0.094887521953938i,0.900363623233951-0.116163436569949i
0.90629633125735-0.0798809779000637i,0.859248576725448-0.0930069410863291i,0.836773770066816-0.100536918499885i,0.827029897160028-0.10547108797307i,0.813575626772041-0.0990266049602019i,0.889551015720902-0.0754641367993543i,0.906776256490364-0.0656437152521177i,0.905426775627961-0.0640962844968753i,0.887004755514682-0.0734759702798676i,0.867695212113422-0.118399285100672i
0.866065131622623-0.0810264489512642i,0.80835391048828-0.0923305451538662i,0.786409163028389-0.0902272852450095i,0.778553168522412-0.0974751370538616i,0.758097915569152-0.08891685525226i,0.84658629464289-0.0775908951788879i,0.874590367854383-0.0670298982868434i,0.865927025186135-0.0701724842906069i,0.842972063458538-0.0885937502715185i,0.799099082642957-0.133348503767301i
0.843512323533805-0.0945304886371602i,0.782289774103383-0.0985939035778981i,0.754381161710655-0.104193405811141i,0.748274893411187-0.10613374653186i,0.728391904141121-0.0956957334891292i,0.827372148911673-0.0962774345974567i,0.853604751133412-0.0910081801483136i,0.843953593067963-0.0973396215246192i,0.813136071635807-0.115558042359798i,0.739677619589881-0.164325527183852i
0.812807402561994-0.127896628679337i,0.736744543340622-0.114978918297697i,0.71450197966833-0.125758664615667i,0.717943391681674-0.127197548097872i,0.692878691454543-0.105013527038424i,0.78339466677743-0.104098273891362i,0.824040727932539-0.123165941094097i,0.819052555217657-0.129228903043717i,0.782341180642395-0.139705723164049i,0.653082218938811-0.182676071852181i
0.72195356690212-0.18836386514182i,0.650418882043227-0.168417934767842i,0.638749304611579-0.163452288835595i,0.642527237777539-0.158125276559948i,0.629008062654534-0.155299480157305i,0.718242141743723-0.178707506583862i,0.737636105208939-0.179849240803867i,0.720283932227908-0.193853288639531i,0.66788586527284-0.203445002527691i,0.530902968970721-0.206916654913389i
0.609717523708615-0.239184191244654i,0.578092232035167-0.211904468656967i,0.553173761250994-0.205054763644426i,0.558421772238949-0.196355664116529i,0.539011893896107-0.198445089162805i,0.618689470941337-0.219935067362565i,0.638904322171159-0.230357876319951i,0.612327991019824-0.237311511753155i,0.553940992541948-0.228503252913777i,0.429389939784931-0.200951516009189i
0.486954742389061-0.258195756656373i,0.456096290320003-0.230140591789195i,0.446064991891954-0.223960426285946i,0.450757095624535-0.224471589372368i,0.442119052633338-0.215041292128052i,0.502134933643356-0.254225681782973i,0.515525133514281-0.25608903282606i,0.490660282313673-0.25928115088386i,0.434149918939919-0.240806208579021i,0.339362270482726-0.192012287981671i
0.315845409175441-0.247969583503889i,0.305141969419302-0.235416676735817i,0.30227987888729-0.230136014584138i,0.298002538737938-0.226639787689613i,0.295381593607819-0.227005994569747i,0.330759601434354-0.25343426698779i,0.345550791712447-0.264815758599792i,0.320104277363825-0.252507227647258i,0.29088057423157-0.2318294047859i,0.226612512052088-0.18292251929681i
0.20103060720029-0.229867759738634i,0.194392238633553-0.219555866201396i,0.190134321928382-0.203253087859613i,0.189162823420283-0.210081475204728i,0.190487479926454-0.206728462714028i,0.214265995770475-0.235631755679359i,0.218548206164281-0.241252582618555i,0.208589546261709-0.232065585505405i,0.184368942130989-0.21098532482013i,0.144699611563289-0.162808795150134i
0.104088548550059-0.193010984660756i,0.0958042893648075-0.184469909469964i,0.100330171660744-0.178105223756476i,0.0952680827383731-0.182841250481473i,0.0969206679708469-0.173937976515488i,0.10231420090022-0.197729364634957i,0.114887132384113-0.210398459329059i,0.104804296391912-0.1983506081553i,0.0946641870805073-0.181014273139366i,0.0785490471982169-0.144707737585272i
0-0.135383697764575i,0-0.131569069230152i,0-0.126114633052215i,0-0.124391145153225i,0-0.130074185647834i,0-0.148521657458654i,0-0.151376993716601i,0-0.142463984763505i,0-0.132582826941825i,0-0.100323494610523i
