1-0.174899557247578i,1-0.209735653633312i,1-0.223462169497848i,1-0.234355277620821i,1-0.204599821565875i,1-0.173140591700635i,1-0.155822253431444i,1-0.154341177244955i,1-0.16170553622473i,1-0.177899671300977i
0.96155310899633-0.117666433213553i,0.928602113961156-0.158215755185042i,0.924053674505623-0.173493765237906i,0.918872503573509-0.190173948952688i,0.906363235975776-0.193055828367558i,0.946338364157954-0.136484869608514i,0.950828585994557-0.11782225152645i,0.951683553861121-0.127194774717099i,0.946170037837975-0.130422851076428i,0.938102430672979-0.14406163890998i
0.934926722072339-0.0951058773339103i,0.88602593798146-0.109796240863054i,0.878494721129318-0.12420754548398i,0.869604228984091-0.129658715633369i,0.838596655022851-0.124250182960931i,0.914491061489938-0.0986337386488482i,0.924632676128098-0.0844633923243797i,0.921029897737819-0.0800452844580344i,0.907517525060278-0.0841237920167456i,0.898695827185492-0.116734521233614i
0.911853126690668-0.0782645238639751i,0.858296057968947-0.0892852749370781i,0.847772081684311-0.0987732156935736i,0.83920507380113-0.108529968252137i,0.816521789695008-0.0912363912571933i,0.891811341561757-0.0755919793040141i,0.901697232811385-0.0626304698796021i,0.910888209778599-0.0681154536371421i,0.890202132147773-0.0716121449406577i,0.870706241085093-0.105002639652022i
0.870749336289057-0.0787538483965132i,0.809932092797678-0.0885353796816308i,0.789863615008833-0.0885485537899371i,0.787776997419723-0.0890701876425952i,0.769514714420318-0.087340424718221i,0.846438678599456-0.0745581474642557i,0.869741209354611-0.0740130755359305i,0.87608166847388-0.0684067410946968i,0.852923785705044-0.0797410784628008i,0.809595129619485-0.128254858966333i
0.84853444016367-0.101454008518534i,0.78690240482662-0.0988380903579609i,0.768424954124551-0.101791739637792i,0.760602552123071-0.0988770581690571i,0.742068833129209-0.0985687605225069i,0.830296875760133-0.0935600302088404i,0.848526807782681-0.094350718958126i,0.855083477515008-0.0930466311802091i,0.825163379714389-0.102045970652271i,0.755296406778553-0.157094158526848i
0.820544177155298-0.116520876888178i,0.754349347749268-0.114593858118513i,0.743142579462318-0.118282722324144i,0.709380807736224-0.119266099603118i,0.717747737765338-0.110994335847729i,0.8103449524559-0.116206258285859i,0.82444231862199-0.118262317539387i,0.816635410523967-0.123829710349835i,0.781413241815122-0.141641541618072i,0.680409329489849-0.183389346251075i
0.721170967171539-0.199266045178464i,0.674810695408473-0.17366601924444i,0.656231216482527-0.167746598288258i,0.643914934969626-0.159020289949271i,0.636012453174036-0.156534302674593i,0.720961383686766-0.172769770464197i,0.726203422673383-0.181987220714288i,0.736167806429028-0.18852267449418i,0.679245138815152-0.205828043324822i,0.553408267397199-0.207468493454999i
0.597123922616169-0.251092247639621i,0.575785177694357-0.222729461739764i,0.559720643907957-0.211258205868441i,0.558709439441461-0.207309104763266i,0.549469336587936-0.200495984722471i,0.625230479522554-0.22755237774302i,0.632246024724046-0.24017781736942i,0.623323099669054-0.23882088722536i,0.566826708333316-0.233538255771425i,0.445980770324367-0.212539968976638i
0.472606398949214-0.265519540090246i,0.461343469992543-0.249631518948554i,0.454514180389798-0.237120233357125i,0.451365401503257-0.229315605409856i,0.448922998886778-0.222390258183137i,0.498784267238666-0.254630099205029i,0.50285887827982-0.261314682422948i,0.496088257273401-0.260585921815883i,0.448309187503217-0.243246346494375i,0.35379737365127-0.202790613020363i
0.300907863515176-0.249405354707061i,0.294628931046595-0.244049944155282i,0.292898182461507-0.234944708569807i,0.291254313314402-0.230647763571345i,0.300680342928019-0.226597813872287i,0.329660224802422-0.261571793841454i,0.324098034892243-0.261868226974214i,0.325530318703775-0.257868960258803i,0.289313172639392-0.229525737563826i,0.233240113825161-0.186035813692499i
0.184380834892393-0.223108075987826i,0.186807696702686-0.218932616188477i,0.18642969621225-0.208988562571182i,0.184195122956536-0.211012552724919i,0.187178901520918-0.208115280533529i,0.204456064239448-0.235041920101033i,0.210130138719579-0.234938728845198i,0.202336870512406-0.233081028649275i,0.1909785725831-0.207476873707579i,0.144267569730464-0.169949643178552i
0.0920967659522258-0.186564780542527i,0.0901212034939188-0.184843717134653i,0.0981164663070867-0.178438494856808i,0.0951023837419013-0.17713028156853i,0.0984536994013548-0.176245725227525i,0.108418386236469-0.196493111060201i,0.102584694063029-0.201674261429595i,0.101036308468909-0.200598207713752i,0.0940366869387423-0.179124568670934i,0.0748420554720945-0.139413609169997i
0-0.129253827261798i,0-0.132094183084095i,0-0.121470129418623i,0-0.129021803713063i,0-0.126422259238441i,0-0.142521695479013i,0-0.142298040329344i,0-0.138722889230267i,0-0.127458326155223i,0-0.100736249536004i
