1-0.155042134933421i,1-0.206926784641539i,1-0.227792928814857i,1-0.237155424044827i,1-0.182703764032789i,1-0.175890109146147i,1-0.166911946657597i,1-0.15974534421417i,1-0.167142506392211i,1-0.185228271152318i
0.961100302160671-0.111104838144844i,0.93400161792354-0.158917563559935i,0.928383062040133-0.177870580791284i,0.92114741578421-0.195801389793531i,0.913237357703682-0.177053435415349i,0.93972650224703-0.146488879964651i,0.950052205044225-0.132973400339205i,0.943707229055387-0.132266705812046i,0.934757361892288-0.141580462915771i,0.941791446686454-0.153651226295033i
0.932514551218868-0.0859750160823455i,0.884903474898924-0.107377558424135i,0.876609769130726-0.120697538166618i,0.863645860703899-0.129291413764581i,0.844237900527598-0.113036633252785i,0.896340588899134-0.0881675408563639i,0.911849248119332-0.0860326131361959i,0.903543170962961-0.085556547376836i,0.89091729496047-0.0912875133564165i,0.893610370946969-0.115633291000954i
0.909777706357754-0.0729943357666805i,0.863972184632362-0.0830539814464202i,0.849441120869328-0.0910559254050974i,0.837674929086433-0.0909157137101541i,0.830094565308658-0.0783258272104718i,0.88810855742157-0.0676926388895013i,0.903293783227081-0.0610237341905598i,0.890433902894527-0.0607532452079041i,0.882215353993963-0.0695376077990963i,0.866884728770901-0.10179275654491i
0.878429793621735-0.0791921555357683i,0.826649229032266-0.0815260888898033i,0.80681070549006-0.0801815108697877i,0.7953651830027-0.08260262820635i,0.789455624197903-0.0729953192513358i,0.859966009794805-0.0621763275299252i,0.873819353135224-0.0630698881671945i,0.867193211636143-0.0623911014937465i,0.847453618033597-0.0747304807959953i,0.813498570130613-0.119045722834876i
0.854456307599099-0.10043715590447i,0.804475787272917-0.0890099352081046i,0.783931895644837-0.09057771387566i,0.770350223272934-0.0943587228491214i,0.768162361805588-0.0833041372566689i,0.836079347554835-0.0800825701300154i,0.859947305436892-0.0813508245093779i,0.846177018352711-0.0776955323563554i,0.82129820889264-0.0964139104731459i,0.760803195808165-0.144528588743619i
0.816451865399985-0.139167673048154i,0.767917987297094-0.117629232611105i,0.750715629662932-0.111858613140936i,0.737762326334112-0.111496858214492i,0.735916693853631-0.101818126348936i,0.80799965189105-0.105399329917857i,0.83674374255902-0.103443997351231i,0.817337446003217-0.113752460068191i,0.786539283696407-0.127622891211847i,0.688316771024356-0.17619001579174i
0.717421742796957-0.213896087795311i,0.689558013362154-0.177828562995934i,0.677502397931564-0.167936897127215i,0.670140426449787-0.15984218895986i,0.675751039502187-0.155110122927131i,0.744020511900707-0.168470307801941i,0.761581054217645-0.175637962862983i,0.742262013481213-0.179190992029534i,0.697727528903763-0.192489195777824i,0.570699124823827-0.203955263155188i
0.594254846296394-0.260498411796445i,0.595196362378511-0.226361152721639i,0.588609884704959-0.215176198426808i,0.585129722957057-0.205938604508303i,0.594458820065588-0.201040691387903i,0.654598828071513-0.216060419916608i,0.662126635325314-0.230249763199798i,0.643785048226595-0.230499190661154i,0.588085098389632-0.232406240157245i,0.471721512703233-0.21458918479053i
0.45213439095105-0.270704563987321i,0.470169358640666-0.252294333606181i,0.473689961804879-0.244414278557768i,0.473281445924676-0.237647808352233i,0.483972082639508-0.234418254510919i,0.532338987267795-0.259531964307035i,0.538551123902338-0.266473630308968i,0.516402564269423-0.262392181213533i,0.460201673389017-0.249132106393439i,0.368180755504758-0.210072812747551i
0.285447445623174-0.24671324273907i,0.301564432243246-0.243052172041436i,0.309823767972239-0.243912710487657i,0.312150970990324-0.241742829317983i,0.321973030707995-0.237923575639352i,0.349662423353011-0.2702468606325i,0.35468309476644-0.273599737185947i,0.341714582801213-0.259270578702258i,0.307410653507912-0.240303661628193i,0.24519586148324-0.193386428554383i
0.176068263180535-0.210964360402529i,0.187240356279505-0.214646076899553i,0.194808876954418-0.218839770035873i,0.198371262989704-0.221328334794335i,0.202807953834455-0.223721415617355i,0.218518070580527-0.247778434408172i,0.221560612895293-0.25365871876697i,0.219786233988559-0.237451931670669i,0.192386616674675-0.21759514293167i,0.156855432778414-0.17562342564806i
0.0870798404198215-0.177756099074921i,0.0902134497713076-0.181800693191456i,0.0979516078627624-0.183202238122902i,0.0992754536185302-0.187277557134424i,0.106464910633936-0.193069616642704i,0.115732105691153-0.212563373198327i,0.111818120419848-0.215544078713449i,0.11270910112139-0.204364457438158i,0.101084356375563-0.191190150484481i,0.0802301881898262-0.151520648807087i
0-0.126187059274211i,0-0.127597101418798i,0-0.137357626959653i,0-0.136048708225989i,0-0.138554555942905i,0-0.1584021720938i,0-0.154169295455542i,0-0.150953120127329i,0-0.140785868517509i,0-0.111147257945311i
