1-0.192698845040782i,1-0.212567846933868i,1-0.231258533081141i,1-0.244154850088397i,1-0.225433653654415i,1-0.183037292265693i,1-0.177508233387732i,1-0.162116426936868i,1-0.167225936394753i,1-0.184188505197745i
0.965436258087576-0.132117956318819i,0.922044317883404-0.172501063411258i,0.920393141853729-0.182343178457786i,0.917240997596778-0.200447828226269i,0.89763798336352-0.212814607895822i,0.936317621144024-0.1425159422082i,0.94866818495916-0.12919840506196i,0.949023008047455-0.129224870357692i,0.943648203071041-0.138872726017159i,0.938804200539027-0.155430434690641i
0.931092766780349-0.0971035632313215i,0.879534335702831-0.108894311983122i,0.862284197562146-0.134873414759348i,0.858045912281277-0.139195122018884i,0.830316701769576-0.136791615391068i,0.885451579343579-0.101106458630423i,0.911644519987433-0.0912385759520154i,0.915039870730337-0.0883039774139143i,0.90288995722735-0.0960508546539416i,0.890548537438189-0.123623235293925i
0.897938623185516-0.0783396656363329i,0.848053887478634-0.0982884622410788i,0.826078022371231-0.0994084189669664i,0.827618650971053-0.107792249198512i,0.812154061365087-0.0972278375944139i,0.8712313774055-0.0742430047771553i,0.902758478204957-0.0659163537531758i,0.905794869298713-0.0654927201336785i,0.893882796668163-0.0747574952402048i,0.858601808447951-0.112844828237254i
0.86202705180263-0.095228404552106i,0.801692748466569-0.0881224875189665i,0.779109705329345-0.0943446076164599i,0.771845551222182-0.101077971149117i,0.754552499429042-0.0906006822555543i,0.829744612521089-0.0796606165307647i,0.860842659049206-0.0688432846971376i,0.871276195497332-0.0757123178889005i,0.844974767612686-0.0898737360010236i,0.792715008755411-0.140187837279373i
0.841147664532791-0.10653454146466i,0.76805868753384-0.0975485078213572i,0.742832710374605-0.10809851400122i,0.739952192386382-0.1099171138155i,0.723725046424575-0.0960314015042829i,0.811954200819112-0.095019556887147i,0.838131009782148-0.0861439315819535i,0.839812162848873-0.092421505105142i,0.82000319503509-0.112354844822455i,0.729970928193701-0.17004668802479i
0.802486152079324-0.133617293559317i,0.723797217384993-0.129401014732985i,0.705944556078424-0.116693179229702i,0.699359901726831-0.111467220547707i,0.677395607498871-0.105022770136807i,0.79337027698277-0.118792841955055i,0.819270764268106-0.12408696470004i,0.803249093945334-0.12310247114014i,0.760258406518339-0.142861710407898i,0.643967554917054-0.189006917122448i
0.703986617854425-0.197135395261271i,0.659269471872296-0.177880551188429i,0.627608193143546-0.16236378830909i,0.623038658766966-0.157562256852529i,0.614154324907-0.152404963536966i,0.690207789783201-0.166916131383268i,0.717571775011261-0.18900849460792i,0.712045088752971-0.194028756573768i,0.654397135985573-0.198899845626186i,0.513016101942736-0.199575947116312i
0.594197113764769-0.254522483753239i,0.56122402586012-0.210393243636191i,0.543240694077538-0.200348402724559i,0.53837076655317-0.197217961624513i,0.53514024429503-0.190600274440598i,0.611258000046366-0.205576686166492i,0.625643717344245-0.223967595816065i,0.61394138073359-0.23386428485098i,0.546438956919044-0.216436218220808i,0.422794810970781-0.192981745366685i
0.475705636244617-0.260310175012961i,0.448042517984613-0.231992228349348i,0.447456755077872-0.2202595664741i,0.442261750783213-0.222092007978474i,0.433337052859883-0.219162199726598i,0.496121774327915-0.238540283760663i,0.50107910500411-0.25277006036065i,0.482508937906213-0.251875628495956i,0.430356393411212-0.226033799829298i,0.345238567876396-0.186935801255936i
0.309638097038806-0.240235822931079i,0.296916382180717-0.2319506995836i,0.29270797066279-0.217670772008916i,0.288049870423948-0.221388473315394i,0.287994325291165-0.220086854967166i,0.337811756987001-0.24961639472342i,0.340888896175544-0.256723513162481i,0.326273987719337-0.247608813598952i,0.294533763744477-0.225416297968491i,0.231764104895354-0.17721115752727i
0.198656810232988-0.222564814942705i,0.194625121345415-0.21116723018756i,0.188117789750007-0.204309903243909i,0.187478990829502-0.207477513000123i,0.191117508079653-0.20919338211126i,0.215999317377522-0.227826322272455i,0.224681616795108-0.238831352911319i,0.213448138308861-0.233249626793607i,0.192212935486424-0.208971462664484i,0.149101063973705-0.163116964906529i
0.106335053269226-0.197822671005084i,0.0958310050921697-0.185489095992876i,0.0947979106914544-0.180849817673228i,0.0968313601043829-0.179110404254009i,0.0957117905373713-0.182127297356294i,0.116946370069053-0.204508730055358i,0.107237798184638-0.212636020094126i,0.107994578102783-0.199096295925549i,0.0983192507771995-0.177294691048427i,0.0778086646983649-0.141362583170488i
0-0.140605669541016i,0-0.135395788054451i,0-0.135564782203484i,0-0.127535087412713i,0-0.130856217446287i,0-0.145491244444385i,0-0.158874462791979i,0-0.14767255710073i,0-0.130345572082606i,0-0.106113560460511i
