0.109190761779911-0.00540687282386518i,0.106987718187658-0.00568010600890887i,0.105506654529138-0.00594839025772978i,0.104829250015925-0.00629124775527461i,0.104966935587706-0.00520950520399661i,0.102368749499604-0.00392317272263968i,0.102421372762066-0.00379211654394144i,0.103640343252416-0.00379512006279436i,0.106557392879336-0.0042166460163693i,0.113627167893448-0.00593455516064058i
0.108447540127705-0.00358128136965371i,0.104979305281898-0.00447646657812095i,0.10361884019648-0.00488454662396052i,0.102974175717352-0.00493630416311021i,0.102553053261839-0.00511318636369905i,0.101079500306815-0.00337733254694268i,0.101338310788655-0.00276396939637902i,0.102290895233301-0.0030387674346949i,0.105136856885837-0.00342160950835476i,0.111926366258595-0.00482627929005659i
0.107627925644025-0.00269830550198192i,0.103673465657959-0.00310358891951169i,0.102229890818482-0.00326925342469368i,0.101393664440603-0.00335523812728371i,0.100757540545891-0.00330263519299347i,0.100062881359574-0.00208459320109828i,0.100531633576541-0.00184114470888638i,0.101515617160573-0.00209962429783309i,0.104077993876774-0.00222495987307119i,0.11041033847735-0.00378141334944255i
0.10688463860712-0.002149797250191i,0.103123566133513-0.00242474867575125i,0.101525325082339-0.00256242572691033i,0.100702636441986-0.00249930379365599i,0.100356084308141-0.00225514451555281i,0.0997294324082766-0.00161572304485759i,0.100258072550906-0.00143771018228744i,0.101271932323575-0.00143153779053824i,0.103777787394666-0.0018720168029209i,0.109337317920835-0.00345075156566351i
0.105962929094526-0.00240202657147087i,0.102046364663213-0.00225912216929385i,0.100243563124151-0.00229513415812822i,0.09962376388968-0.00231764011246612i,0.0991608862668852-0.00210522152913028i,0.0989731808041426-0.00159484976004516i,0.0996204163017643-0.00151452269865668i,0.10055603674436-0.00157109335702925i,0.102810773662129-0.0020252812276432i,0.107601953926349-0.00424344992086012i
0.105205599440126-0.00294388504758191i,0.101203233019954-0.00258341041167829i,0.0996133148140113-0.00259768994600947i,0.0988429494435016-0.00251581175731992i,0.0985152633644111-0.00245993549865158i,0.0984562664019264-0.00196255924498681i,0.0990432706900912-0.00190252961432979i,0.0999692320126675-0.00209991717321155i,0.101984639748838-0.00271327823573048i,0.105682468394757-0.00519891033807599i
0.104109748875824-0.00402769157224539i,0.100305764902652-0.00345999992771612i,0.0986125457723589-0.00297255326331012i,0.097867635780877-0.00274033213851503i,0.0977202875428728-0.00277855013276144i,0.0978120211205178-0.00244568317189333i,0.0984047744634503-0.00253115547555665i,0.0992368161899495-0.00283675696835616i,0.100807962799878-0.00359293860908572i,0.103262662431675-0.00598943518372457i
0.101278259786667-0.00594589661460992i,0.098198115890178-0.00483369459409122i,0.0967874780494535-0.00429781343281064i,0.0960588990569982-0.00416479510763545i,0.0959861439025425-0.00384852853578567i,0.0961066974481241-0.00390212971318473i,0.0967914164577999-0.00391508594529777i,0.0973891440393582-0.004247827906813i,0.0982594098955093-0.00510570659919491i,0.0990522274136457-0.00648394446163008i
0.0978790051923429-0.00730739662615936i,0.095436171602198-0.00614477267617594i,0.0944856622627841-0.00539997200959526i,0.0938743466275719-0.0051122026987243i,0.0938095292044521-0.00508387990627571i,0.094010705767676-0.00501346823928135i,0.0944695054922443-0.00513194419625244i,0.0949122596561827-0.00546401401397185i,0.0954184958885793-0.00579147438955665i,0.0959113503358542-0.00641345476819591i
0.0941479104740032-0.00762495430774657i,0.0923355588682134-0.00660261567092944i,0.091562887071513-0.00605187429250962i,0.0911144536664967-0.00593087905079548i,0.0912843811733546-0.0056130633439163i,0.091337840431215-0.00574850104277859i,0.0918036109715995-0.00589803059863341i,0.0920910177839312-0.00592080120004418i,0.0925677472100612-0.00608425866252713i,0.0930409948635853-0.00632417346071334i
0.0892570812608821-0.007242636945042i,0.0878813251276664-0.00661226197701581i,0.0874365143062328-0.0061589941473733i,0.0873062927354939-0.00593996184491135i,0.0873927411547393-0.00584392049778957i,0.0874661213684883-0.00581061586585374i,0.0878276759198603-0.00585072650627939i,0.0880751041333306-0.00589152285909511i,0.0886967874539969-0.00591866012557326i,0.0893269573243648-0.00605081827851403i
0.0860723442483764-0.0065308704801019i,0.0849259578795996-0.0059383463309026i,0.0845610763318474-0.00564161686568826i,0.0842889902518582-0.00552071216329975i,0.0845362916920029-0.00532433335511073i,0.0846663435073813-0.00533077768872704i,0.0850821539895737-0.00549935795380476i,0.0853442941922769-0.00537468252014192i,0.0858567933907494-0.00544730020592143i,0.0864824603869994-0.00550065056813792i
0.0831777553365123-0.00549215069512836i,0.0823315750903802-0.00510315487553893i,0.0820756371119159-0.00474296253774866i,0.0819935394676191-0.00472389181780582i,0.0821610651026532-0.00468856835159484i,0.0824377302338252-0.00469820227390532i,0.0825670589746956-0.00468898668354339i,0.0829385190176153-0.00471912044998108i,0.0835732214847632-0.0046663548347162i,0.0841126560994113-0.00479903113845012i
0.0802870336295149-0.00406902554313081i,0.0796757287148572-0.00383132282450144i,0.0795118989100777-0.00349960363351673i,0.0794744874046867-0.00341036953618925i,0.0796681897151564-0.00345324029096288i,0.0798088461629347-0.00336730706089187i,0.0800923676220632-0.00359122013831382i,0.0804419938717977-0.00344961403608932i,0.080987845973746-0.00351292094296405i,0.081456082255642-0.00362362565109795i
