0.0720633769296274-0.00437426455481512i,0.0691598790662395-0.00486593648323273i,0.0676767261988943-0.00508212658799943i,0.0669622751745857-0.00522803189980459i,0.0668633101341329-0.00427758689001592i,0.0645036974137358-0.00341228327687178i,0.0664161177913353-0.00307999462950283i,0.0677789541799524-0.00319136704132784i,0.0698982734478605-0.00356554854737305i,0.0749233359199637-0.00487016840054718i
0.0710362907388055-0.00298449989636263i,0.067765626676038-0.00357991607744848i,0.0661687106433551-0.00386109494191807i,0.065319138121527-0.00395118445146328i,0.0647754557925952-0.0042540810902506i,0.063215287532219-0.00262008230493347i,0.065440584980228-0.00231739724494924i,0.0666251853833225-0.00239495268816873i,0.0686288409567988-0.00274830375199448i,0.073477386894055-0.00375887145814293i
0.0704959870588093-0.00207514084994334i,0.0665797817127329-0.0025562763064492i,0.0651133254122379-0.00271280528590184i,0.0641341777012209-0.00284085548968335i,0.0632179930054558-0.0026589388315234i,0.0627571181586951-0.00172529602932484i,0.0649627644902869-0.00162337208042787i,0.0661705511543982-0.00160502225225804i,0.0679132071546906-0.00193707277795386i,0.0725318503770839-0.00271037357130472i
0.0697458514542202-0.0018011024148802i,0.0661400871360084-0.00187758343255617i,0.0644815814474-0.00198651592434696i,0.0635632076321577-0.00207112436557555i,0.0630381484036062-0.00186320620261251i,0.0624253702104719-0.00119301410810326i,0.0646950179909949-0.0012440929737547i,0.0659277236679493-0.0013312915767027i,0.0676021948599381-0.00150174082005536i,0.0717577925675924-0.00231558145506968i
0.0690177802869746-0.0018272576386724i,0.0650994632386166-0.00166984960491358i,0.0634900838553852-0.0017268888424082i,0.0625038871515991-0.00168696160002976i,0.0620560241076107-0.00149759893684625i,0.0617379515497007-0.00101034790108972i,0.0640361820596677-0.00111146509746103i,0.0652335009692628-0.00129049572351206i,0.0668656566611138-0.00144638063801991i,0.0705104369088788-0.00237680645867793i
0.0687091451340775-0.00217122064913651i,0.0648348500107657-0.00183227323503893i,0.0630234575588572-0.00183102278541176i,0.0620418261917143-0.00180806544248289i,0.0616289677736018-0.00156365186712915i,0.0615427242888146-0.00130709992603059i,0.0638624865791813-0.00148863603658125i,0.0649506631473019-0.00170669932517923i,0.066408038867135-0.0019901438067561i,0.0695653303562081-0.00303671248029852i
0.067836833508818-0.00317788462432709i,0.0640220903930075-0.00267138772903913i,0.0623706273126025-0.00215404619528423i,0.061642372841556-0.00214052556235759i,0.0612723513604421-0.00181818222190664i,0.0611508052577084-0.00172862358282249i,0.0635300465205936-0.0021563802756509i,0.0644984750294314-0.00213632476099046i,0.0658583898432944-0.00258930039650719i,0.0683639683746761-0.00399291093635202i
0.0656346735438507-0.00491140165244245i,0.0624970969722123-0.00389490354103657i,0.0610948249144042-0.00335479330519765i,0.0602282154216556-0.00313056879057912i,0.0600046930962304-0.00293493109918833i,0.0600617336993618-0.00297011575853764i,0.0619523021592795-0.00325533324741439i,0.0629099675319618-0.00385664700492599i,0.063907407184063-0.00432315689505574i,0.0654467927137516-0.00536566620653334i
0.0628904879239711-0.0062797678986709i,0.0604742960993677-0.00486785546750337i,0.0592242050691374-0.0042783907641514i,0.058508710231138-0.00409166679070674i,0.0582643426007779-0.00397279069176064i,0.0582259191981389-0.00398392394064443i,0.0598700288001745-0.00462326836006059i,0.0607006880137564-0.00487958331780878i,0.0615959558106572-0.00515660844137683i,0.0625171005587036-0.00618263726564222i
0.05948561364081-0.00686275590611662i,0.057775958257-0.00564994384977807i,0.0568821732463667-0.00514267564834418i,0.0562286535866307-0.00486635143070381i,0.0562996533536133-0.00461582010742867i,0.0562174105331786-0.00457873940412764i,0.0575393123687072-0.00515239517216403i,0.0580920826447906-0.00552559810490825i,0.0587227215677203-0.00577240971553263i,0.0594289564277214-0.00628483776621674i
0.054927716436874-0.00667570962913793i,0.0538218993099278-0.0056501000353322i,0.0532798682662143-0.00533242295273404i,0.0530534283451457-0.00496030727370666i,0.0529807301008283-0.0050338599183714i,0.0530650498357288-0.00473181819363068i,0.0538440209147453-0.00526924866409066i,0.0542508347099025-0.0054395745024492i,0.0548485882591284-0.00553343103073785i,0.0555553304955311-0.00559859484296494i
0.0518248933941403-0.00590144934346172i,0.0511160911599065-0.00520221421220954i,0.050884002677516-0.00475172896856368i,0.0506197747804476-0.00456664764435121i,0.0504951472039158-0.00440240327909143i,0.0509160511990872-0.00433975284567399i,0.0513859923404829-0.00489041216482059i,0.051933865526314-0.00478215026006118i,0.0523879513059516-0.00487388399593046i,0.0531290874001455-0.00499122771588652i
0.0493876326020501-0.00480335937436983i,0.0487204051137573-0.00422969964149164i,0.0486036622022449-0.00401633684401098i,0.0484570428125484-0.00395414620640137i,0.048557150925871-0.00379949796760043i,0.0488855635649782-0.00373412786339838i,0.0493376635283284-0.00401564528947955i,0.0497590355709842-0.00407372560093549i,0.0501217789867044-0.00412349634770987i,0.050901690265531-0.00428683322092346i
0.0469467627377549-0.00325872892387282i,0.0464983198667581-0.00310426548876208i,0.0464628016160426-0.00284431715407843i,0.0464898609215373-0.00270188522848346i,0.0465625566787397-0.00258000237552268i,0.0468021193835121-0.00269169686921379i,0.0472523479172465-0.00278832407239328i,0.0474471446184331-0.00280958039133569i,0.0481333417010253-0.00286664226169629i,0.0486525405765637-0.00300685050102531i
