1-0.189758278245243i,1-0.213816320371514i,1-0.250583560421901i,1-0.242970292049336i,1-0.225126574104002i,1-0.175201462411641i,1-0.130343802686785i,1-0.168393620265775i,1-0.160084854888849i,1-0.185016872802589i
0.954812569992858-0.129489545174755i,0.9308865900163-0.16478369881272i,0.923933131357301-0.197334599812331i,0.923292943592324-0.203405293824773i,0.894244991138281-0.204671961291089i,0.928760087000612-0.142694591523176i,0.939953647896536-0.10816725705147i,0.955042061921965-0.124478161410608i,0.935690269717143-0.131060327094796i,0.938438831957676-0.147242414637924i
0.926359425654923-0.0886368910767944i,0.884226551461471-0.118042693757839i,0.874937155660227-0.12734563836898i,0.877853046298198-0.145277500671731i,0.814741534977079-0.133067169400455i,0.887680297749592-0.100326795920941i,0.914434029200921-0.0887395076914856i,0.900907004323838-0.0913554696704012i,0.898493125512446-0.0885682612025753i,0.891167273837391-0.116302282251285i
0.90099331152522-0.0734030393302115i,0.852530336255086-0.0875169574021331i,0.841266967441887-0.108609819619147i,0.841588990395494-0.102080867435149i,0.806852599814415-0.0882902809872218i,0.880995865907887-0.0727975316792162i,0.881515308584309-0.0676802900711253i,0.885825016208754-0.0613179465765328i,0.891090619157868-0.0708667424892862i,0.86814178351087-0.0920857457147174i
0.866667325893691-0.0699196563958265i,0.810188587126254-0.0795512868172422i,0.80295650259694-0.079920325254617i,0.790617067810365-0.0923481838912305i,0.746049165691451-0.0782200921973269i,0.841584277213305-0.068370998517187i,0.847398241915881-0.059201322916389i,0.864180118105055-0.0584290634462404i,0.850337446069114-0.0730195038621226i,0.817165185869853-0.099635926283122i
0.846761273591956-0.0787744022345371i,0.788447327949647-0.0885276239286223i,0.768847772817126-0.0983958776921553i,0.768571046297181-0.0976024109824057i,0.729339335276204-0.0848076162581238i,0.823079125199801-0.0738084240886935i,0.828704377278467-0.0693179855043669i,0.850859338226703-0.0759782850375659i,0.834290741688386-0.0865119411010428i,0.778144050182906-0.124822922378626i
0.817815542427834-0.109925081607787i,0.754114711801614-0.105124731021279i,0.737023753323554-0.11279458472585i,0.734792983277831-0.100986881993466i,0.712130688986204-0.10173242327912i,0.803111965011114-0.0973918648553146i,0.808160637083843-0.103838589129145i,0.821682689202436-0.113627334145394i,0.803077618222668-0.117714379214075i,0.728079989680733-0.151539473557628i
0.748816474401143-0.179110882790498i,0.689979326213409-0.162175218154919i,0.679076103410458-0.161040336123306i,0.671156295182411-0.151626681177698i,0.64114902117282-0.145700326680546i,0.728862918346303-0.163197068774885i,0.748567793409107-0.165929090877237i,0.744826104626348-0.174364177766849i,0.708772755492538-0.188602324126021i,0.618991648709034-0.19816900672611i
0.650101674061488-0.234867566500132i,0.598428405588688-0.212230357214973i,0.589358228535817-0.204843386517125i,0.586610786531282-0.201099981731569i,0.563686278088819-0.185728223745787i,0.643688173336547-0.221337132546132i,0.651621154622748-0.221931150793278i,0.651850878193642-0.233781935620335i,0.613487191511684-0.227032137708382i,0.50800781363583-0.225386222557838i
0.522003886203508-0.266291227664362i,0.48711034235261-0.244342524297969i,0.479079949820529-0.229299356594061i,0.484155668337069-0.23056069883817i,0.465144419690589-0.225972987635971i,0.534387716265648-0.255063027279031i,0.525616252255816-0.25211707395478i,0.522395531732741-0.269434608921156i,0.474099157635551-0.264031925088946i,0.39895056145678-0.22419723673656i
0.333427954189935-0.267377396932252i,0.313432942437417-0.24786241069474i,0.315878314220355-0.24378178049335i,0.325491101940475-0.239608308817195i,0.307943502921274-0.234388550505216i,0.35788604348099-0.26872588421089i,0.353583705697115-0.270299849668752i,0.336212969200833-0.272853065861963i,0.309399571473903-0.245003104061682i,0.261073385233283-0.20433199722932i
0.211860585948297-0.240661337668323i,0.199201191064006-0.226435244302327i,0.203994151711999-0.224593642792594i,0.207926414307689-0.227861491915712i,0.198058285586348-0.223261998145781i,0.223631444604706-0.241866244832572i,0.222091263010165-0.248239097615635i,0.208713608908476-0.245045132157169i,0.192150787063529-0.2255110161325i,0.16866587796579-0.185648723991873i
0.103781223977838-0.199777375861875i,0.0982297885761996-0.191162260553398i,0.10557535221927-0.193619231028187i,0.107987809522506-0.187313044153562i,0.094630862032466-0.190572332568909i,0.117824603924775-0.205948977262084i,0.110432815231187-0.215008630123948i,0.103944421107292-0.208142305636749i,0.0927933536882866-0.19019130211196i,0.0901717313821339-0.158927882530751i
0-0.14043294829058i,0-0.132466970729596i,0-0.129998604204097i,0-0.13566359188872i,0-0.128090847284684i,0-0.151953132799792i,0-0.156609126934713i,0-0.148700056544101i,0-0.140729324694546i,0-0.116357148754738i
