0.105185491086644-0.00545641960512799i,0.103085428468248-0.00561827761088622i,0.103180202728026-0.00596503393131602i,0.102578309171865-0.00616997443197758i,0.103031736557028-0.0056883434596393i,0.100016536024047-0.0041229356323003i,0.100105629004679-0.00375912227155161i,0.101747580326555-0.00376609253818396i,0.104399192872869-0.00412599197349454i,0.113213470022113-0.00606284619639981i
0.104043680564813-0.00362291611300071i,0.100962143446812-0.00440675015174541i,0.101079284313566-0.00501228033494762i,0.100366303816612-0.00499883825289059i,0.100373415582944-0.00533916196136098i,0.0985931606740484-0.00320675182807782i,0.0990642831811825-0.00289319852545478i,0.100556196924338-0.00288241947334658i,0.10293233515227-0.00348272904323616i,0.110978356196372-0.00500939371922856i
0.103347876395392-0.00283799663856076i,0.0996874171105469-0.00307101845762821i,0.0996743767387095-0.00352102167144549i,0.0990153477162033-0.00359736853959864i,0.0986376485714036-0.00336072205062245i,0.0976984601777229-0.0023236593670714i,0.0982925825247496-0.00181174946854117i,0.0998694432608842-0.00208552980419671i,0.101848125047947-0.00242999137086923i,0.109555516022346-0.00415198876292874i
0.102514404625533-0.00224897768671234i,0.0990058872627855-0.00254916796006008i,0.0988655828662487-0.00283717435714895i,0.0982859068944979-0.00274465084923758i,0.0979864467523672-0.00265318309797064i,0.0972655252072094-0.00171110566902867i,0.0979839787863515-0.00148981644090137i,0.0994802396474709-0.0015587655603518i,0.101380717935417-0.00203742218045598i,0.10846551772025-0.0037724116010734i
0.101577086509949-0.00228469876029908i,0.097906139315793-0.0023098332581701i,0.0973833362174458-0.00265580024835063i,0.0968906237922481-0.00253464823790367i,0.0967362670062686-0.00228455047111182i,0.096489196076152-0.00174209597150584i,0.0974732142477426-0.00155167820679786i,0.0987044648977464-0.00179543445125858i,0.100403095652068-0.00221602215024099i,0.106241697163978-0.00450482344652856i
0.100699711004736-0.00289463183941727i,0.0970448845894877-0.00259400263489651i,0.0965847714285017-0.00269360111097071i,0.0958795170545288-0.00265315433157886i,0.095949696658064-0.00255118895302499i,0.0957677386433576-0.00207090011075354i,0.0967235829396598-0.00197080423508361i,0.0979983950550199-0.00224508618262482i,0.0996733794894834-0.00285287734891454i,0.104345166186745-0.00566003509677187i
0.0993764172140076-0.00375959298605872i,0.0959840277338096-0.00313937726404952i,0.0955197813970783-0.00288184698609806i,0.0947176030127188-0.00310717959811798i,0.0948436571207874-0.00272012264588821i,0.0951442183942846-0.00269866259564409i,0.0959560935892436-0.00272602129912947i,0.0972684171914119-0.00294804782540574i,0.0982520631471084-0.00371180373279475i,0.101439181821543-0.0065480332276468i
0.0968938600081838-0.00561021968838848i,0.0940160385359196-0.0042715126526434i,0.0935293814379118-0.00433636605407542i,0.0931077866168004-0.00406269046637768i,0.0931610990615079-0.0040019093243466i,0.0933750029841005-0.003893614547443i,0.0942946451727373-0.00415395285457937i,0.0952116251203826-0.00431716951809513i,0.0955608593999997-0.0050986076892131i,0.0969390967598888-0.00684058438406489i
0.0938633636998447-0.00654296790997006i,0.0917012239114109-0.0054764955361819i,0.0913788619211271-0.005222988952906i,0.0908930424690544-0.00489490142255019i,0.0910695931292932-0.00500689472070349i,0.0912707485348039-0.0049140038850212i,0.0918855040537641-0.00508985336310964i,0.0925495709706852-0.00556774955151677i,0.0929992933177368-0.005666705098149i,0.0938597521362087-0.00667092979470365i
0.0903575834104227-0.007113452604537i,0.088947746406311-0.00589981468313282i,0.0886519056767902-0.00586695120956277i,0.0883077600826722-0.00553979009693077i,0.0884817491128049-0.0054398367203645i,0.0888195940175269-0.00544171784301327i,0.0892694923359872-0.00561152605765628i,0.0896361402129707-0.00593716682843354i,0.0899497350022225-0.00598938914704283i,0.0910333617707717-0.00640139694487236i
0.0859935236989629-0.00684305820891784i,0.0850012740452104-0.00600937810502607i,0.0847563593480375-0.00586791861543119i,0.0846069983905546-0.0056642379047469i,0.0846772409496936-0.00563699016460899i,0.0852175239198943-0.00554153320317061i,0.0854970553729125-0.00573992560334057i,0.0859844386950823-0.00569133204123528i,0.0862301819909377-0.00565658380925513i,0.0871198538825144-0.00586559090536224i
0.0827070627577296-0.00634661637294434i,0.0822597448256388-0.00564725748198857i,0.0820762437837313-0.00540333889040434i,0.0818457306740528-0.00511710319366231i,0.0820876870127679-0.00525420042783967i,0.0823373040623075-0.00515122838535162i,0.0828060344208203-0.00533665424043961i,0.0831582728149637-0.00536849952250071i,0.0836310795108641-0.00539416487628968i,0.084622237313432-0.0055601770953146i
0.0799493112084048-0.00537349278266498i,0.0796691028226856-0.00485062813356458i,0.0795783126358905-0.00461920049153389i,0.0796172635700917-0.00460745946240712i,0.079807160554902-0.00444795433929761i,0.0800244769276698-0.00466510756728039i,0.0802815617375394-0.00462549932753281i,0.0809085503395057-0.00463869488726469i,0.0812745090563515-0.00462338212705248i,0.0819820141238777-0.00472363516002473i
0.0770280319540691-0.0038781132013385i,0.0770175261004553-0.00343215343067399i,0.0770158637373511-0.00331714217619416i,0.0770862337512137-0.0035229765750414i,0.0772918531149311-0.00328526029435022i,0.0774937569930673-0.00327720063326268i,0.0778612749645253-0.00346942396320535i,0.0781317969904912-0.00353001712947925i,0.0786401880244029-0.00365904694432177i,0.0795620258754696-0.00363751178898912i
