0.108977044998232-0.00555927067623301i,0.105945285843403-0.0057083906077257i,0.105560074920322-0.00621009606161462i,0.104817893226162-0.0064634518075596i,0.104938711784674-0.00566921776719151i,0.102529484978644-0.00418123153331038i,0.101910097727104-0.0036919751506663i,0.103448909352627-0.0038312887316975i,0.106262026623926-0.00419296469256494i,0.115191161317436-0.00611698264614815i
0.107744609154929-0.00385533839516031i,0.104143989487251-0.00461442861563816i,0.103437550704841-0.00498759221485079i,0.102659713116796-0.00523283618851487i,0.102357816750717-0.00544802022720276i,0.100881669474007-0.00335860763649363i,0.100739193883156-0.00286676122230435i,0.102145021133448-0.00312385173770265i,0.104656370614559-0.00354890057685331i,0.113022579255082-0.00510460424886852i
0.106998930070282-0.00282568299254558i,0.102679650833185-0.00321451697141951i,0.102010334644595-0.00347995770081502i,0.101027021378338-0.00342471473992676i,0.100506697221672-0.00323232678631894i,0.100070755358461-0.0022698425744602i,0.0999583141889829-0.00202620111866124i,0.101335041678651-0.00206723599387754i,0.103711137126224-0.00246552950588245i,0.111410308612294-0.00413653075620915i
0.106260006775355-0.00235085995351182i,0.102031272774422-0.00258604489617227i,0.101174111265918-0.00275587010533891i,0.100344474461919-0.00277156184994765i,0.0999786990778599-0.00260307386981708i,0.0994403947804668-0.00180720594906846i,0.099661141604674-0.00136927119384958i,0.101024001964827-0.00171038876626577i,0.103377125420563-0.00198454831441236i,0.110346810364188-0.00384846576078875i
0.105055580017485-0.00246225899527496i,0.100605211435298-0.00256177195327134i,0.0998428407327176-0.00245970039958537i,0.0989915541132013-0.0025226613316266i,0.0986243061633825-0.00241109955798443i,0.0987335599439256-0.00166433163283486i,0.0988869795693889-0.0015934297784063i,0.100329530135097-0.00169326006054879i,0.102200777423312-0.0023662730084485i,0.108053944731372-0.00464584219411364i
0.104325200856986-0.00304680365746016i,0.0999498703634093-0.00279551131126106i,0.0989841886112229-0.00272323239345901i,0.0980795064999509-0.00270908657553913i,0.0978942832234783-0.00263911183722375i,0.0980992203558566-0.00208857924302175i,0.0984199303456155-0.00203240889113441i,0.0998509813199393-0.00229936554280645i,0.101473940003742-0.00291471177976499i,0.106048940900631-0.00574124016324931i
0.102774678391456-0.00435129765632123i,0.0988266379309184-0.00352971074149039i,0.097665251169689-0.00312186693860664i,0.0968288228302505-0.00309673530993745i,0.0968001124330153-0.00287245125647757i,0.0973621243170859-0.00281718047462783i,0.0977435114980346-0.00244553761472913i,0.099111571419674-0.00283316307054942i,0.100018994801987-0.0038554926859738i,0.103264337759312-0.00662895534283372i
0.100124167887919-0.00617625779860015i,0.0967882932331208-0.00471283217708648i,0.0959372321259631-0.00428150952389244i,0.0951838682834968-0.00436476486467416i,0.0950735378506357-0.00399110006852176i,0.0954998001031427-0.00401644275289057i,0.095903715599553-0.00389390414165448i,0.0968343860243014-0.00456132172688942i,0.097288772022089-0.00542579646505112i,0.0987598360779472-0.00716651323102523i
0.0966119312892513-0.0073886623775012i,0.0942513306431626-0.00584084410409579i,0.0933015392734207-0.00558831938335586i,0.0928824286621908-0.00522993546604552i,0.0927891521718513-0.00494886306187529i,0.0932862314842456-0.00497653909020169i,0.0936907140446361-0.00507860245025529i,0.0944320797614484-0.00554130794250854i,0.0943097225888342-0.00614813528161101i,0.0953318304019681-0.00693617190315137i
0.0929578390624548-0.0077723602966567i,0.0910209432721127-0.00636000218357561i,0.0906074587170691-0.00621977901146656i,0.0901925165237605-0.00572208177910418i,0.0903236224540364-0.00561869725113354i,0.0906727000823463-0.00564138652128304i,0.0910197256633368-0.0058757618126116i,0.0915101082121273-0.00590117489432733i,0.0912935100459395-0.00634108497780608i,0.0921814151315985-0.00661905850743773i
0.0878297356947286-0.00729470783169678i,0.0868090061583492-0.00638199720939443i,0.08660344037086-0.00607331397621103i,0.0863988289728355-0.00585067867074665i,0.0863459204290336-0.00567601397956843i,0.086758974637431-0.00585880951001565i,0.0869531987829367-0.00592113128267729i,0.0874945170962436-0.0060311643447445i,0.0873634214561676-0.00612870806781319i,0.0882466978227356-0.0062515040806916i
0.0845600213937922-0.00650292308993374i,0.0840846972222189-0.00592319460676658i,0.0836553073376546-0.00563541108259858i,0.0834342161033233-0.00545915576251006i,0.0836514971846055-0.00546509707241581i,0.0839603384521176-0.00526644019815696i,0.0842421870654101-0.00542025167157559i,0.0847019196947449-0.00560713600110274i,0.0846768857963217-0.00544972252605018i,0.0854194131965275-0.00576819152689843i
0.0815981995387456-0.00557122032790699i,0.0813796274105457-0.00504213882435492i,0.0812776602947684-0.00470942094911446i,0.0811072171844822-0.00459593705088959i,0.0813382647197995-0.00452495040416962i,0.0816024680160137-0.00472903165539884i,0.0818678805386309-0.00466461104599489i,0.0821576997017015-0.00475471687653921i,0.082061692906577-0.0047448217545078i,0.0831368404011969-0.00488987557871105i
0.078754292151787-0.00408768276025076i,0.0788036118287961-0.00365525349894741i,0.0785556275751933-0.00355021190766317i,0.0786052088178178-0.00343443135181664i,0.0787214573142182-0.0034992760084734i,0.0790759464454168-0.00340806813239492i,0.0792278970558433-0.00350525104318783i,0.0796973022926705-0.00351536125025866i,0.0796365355397714-0.00349695349402657i,0.0803476529100315-0.00370362604888503i
