1-0.171906732088624i,1-0.205317111895102i,1-0.231399439019382i,1-0.244397283018676i,1-0.194042899935i,1-0.173194185017008i,1-0.155664760155893i,1-0.157965433756009i,1-0.152161631302669i,1-0.183067135273703i
0.96254671208744-0.114020576494279i,0.933592588375125-0.157230840851382i,0.930106816397444-0.174118059108693i,0.923792935300971-0.196521185587611i,0.911868002030808-0.185485981354282i,0.935555936172676-0.12793543462719i,0.952021632246025-0.11962085842894i,0.949378930429394-0.116561889142455i,0.946672218751839-0.126636928545281i,0.944843655161747-0.145212036700137i
0.938020127506896-0.0893192676957456i,0.890447349283981-0.108324319374631i,0.879021450149532-0.11920103587075i,0.866785653880678-0.129863778078909i,0.844464369065568-0.11270061646108i,0.893699951217101-0.087517239349472i,0.923840646233021-0.0791081290461893i,0.914418613497105-0.0776836991692614i,0.910305067853485-0.0831487548418626i,0.900720481330247-0.104817812000095i
0.917433920775028-0.0684346233951514i,0.872332372096785-0.0839725795763249i,0.858422781646758-0.0893658765806109i,0.850823306530987-0.0901056414607046i,0.829219513039131-0.0829815289060635i,0.888649322165535-0.0645691426118173i,0.909204106741137-0.0603499352867283i,0.90643454370742-0.0604083457213606i,0.89257698601845-0.0623351350599891i,0.880553833280995-0.0864267892444873i
0.884606944563033-0.0717741063183888i,0.831586454000264-0.0742165422075707i,0.817822496848404-0.0775515302939971i,0.803162328897254-0.0793240265051748i,0.78303627600509-0.0738364976827781i,0.859435837408346-0.0598974476019564i,0.880897188281194-0.0612856911755918i,0.878564450155522-0.0581304259563139i,0.863609842769507-0.0645906570615642i,0.829347289583854-0.0967758595597593i
0.865633692374532-0.0892574699118235i,0.806495785499337-0.0847044948770437i,0.789713463601623-0.0874609948247571i,0.780545736301472-0.0893645731660973i,0.767438290934437-0.0852276145613144i,0.846263427709139-0.077374640422536i,0.864372646920335-0.079151953938586i,0.855859621044121-0.0869648304607805i,0.839542743834262-0.0880864458691038i,0.803436863825022-0.119513522075449i
0.832659605177675-0.126174083075566i,0.780924335846736-0.11232382388374i,0.770097314912438-0.107894815475635i,0.755767927904057-0.108239286159272i,0.740865458276914-0.106275597867294i,0.81532609010229-0.0984537739879229i,0.844751391684013-0.112855037025213i,0.835775691789614-0.119182852492613i,0.816895262536092-0.114332996347795i,0.750556828764958-0.156322917445014i
0.7460398213294-0.197492133811522i,0.705633384045639-0.172606564296598i,0.705947321462315-0.168109641499691i,0.683870424359447-0.157754200722313i,0.674685991611603-0.159927937011563i,0.745575879424584-0.177856577586039i,0.765131242446147-0.179002053696671i,0.758920485766138-0.185231594758774i,0.73009419028414-0.20173042287584i,0.643799374460261-0.205649552836981i
0.626898211186914-0.258075347751685i,0.610761236763436-0.227062844941216i,0.608954872825726-0.214970481036867i,0.596826927802824-0.208138159942367i,0.58751235043078-0.210414821612315i,0.643889994628025-0.226976191619783i,0.667851456045408-0.239651188148074i,0.65317138526451-0.244146500682936i,0.618067209762173-0.244805938745962i,0.527169921833946-0.231626523216634i
0.484746257599907-0.27374303329846i,0.487106608263713-0.259501899269225i,0.482694444140184-0.258632322492629i,0.48535872623548-0.243475824139305i,0.470127474199152-0.2409344392322i,0.517609987290133-0.264666405575557i,0.528777435869666-0.278561822180087i,0.516432156816582-0.275031739653208i,0.480484336200091-0.266734441986904i,0.412885087674367-0.238313954499847i
0.305696399978502-0.263063526718217i,0.310738252238817-0.259897873579866i,0.322085637072435-0.251967501610622i,0.313595195220431-0.250045850606665i,0.302705836095035-0.244613744759031i,0.340867254070054-0.267780613698195i,0.352276090499563-0.271263508937122i,0.323648558659109-0.269366972815482i,0.309932379936455-0.254474400127076i,0.263153868027148-0.217230831302699i
0.186523836299953-0.229986758752848i,0.189177623548721-0.223725329090022i,0.200175362691332-0.224897486090512i,0.19790921815484-0.230003512519132i,0.187924369935818-0.223032757246545i,0.207268243229481-0.237566755911866i,0.217730254315691-0.243483954189903i,0.210154740962079-0.242838506156365i,0.188970873570011-0.225901019068327i,0.167244691498663-0.194938089371159i
0.0903487858363864-0.187101331291206i,0.0946067285050911-0.189955643733375i,0.101523606278399-0.188261316206596i,0.0951320940470095-0.193492507274632i,0.0916021735035208-0.186283633456309i,0.108992420027456-0.203251055599852i,0.107752256677844-0.204742321955925i,0.100190156155055-0.20365054177097i,0.0959240005902495-0.184046362695359i,0.0853183338745224-0.162257638055504i
0-0.127269354132127i,0-0.130631044593i,0-0.132976591532684i,0-0.13603577047677i,0-0.128616747530448i,0-0.136978951380002i,0-0.140735464858616i,0-0.14185611640122i,0-0.133931745931508i,0-0.112975464297682i
