1-0.177489035289195i,1-0.198128349197908i,1-0.227369180650253i,1-0.244234729418117i,1-0.182298193547792i,1-0.16995189613355i,1-0.163647604148867i,1-0.157129038601388i,1-0.1578274653635i,1-0.191458568182301i
0.960969964148624-0.118292628219593i,0.937375803319014-0.155313856969145i,0.92917960149048-0.176464887876666i,0.926223627052267-0.190759292807805i,0.910358372914537-0.183819515220158i,0.94114432884744-0.137177813938505i,0.950003877105833-0.118960978891086i,0.947642035094645-0.125051393612764i,0.940371746814138-0.129707729126298i,0.939603049342217-0.151699082580946i
0.938190759221993-0.0861101571340728i,0.894401560370852-0.105442461110538i,0.880977141008716-0.119695619041116i,0.873996503308223-0.122920464250896i,0.838851666876187-0.112211610597372i,0.907686645323315-0.0885242944338007i,0.91989988920556-0.0817318905744019i,0.913672307759581-0.0785392668108863i,0.901475715452637-0.0859293792775658i,0.902837782043318-0.108319847352746i
0.918405364603921-0.0700122240515737i,0.87026295213728-0.0807229630271949i,0.860700034000975-0.0907519295483444i,0.852749477752598-0.0951672802071658i,0.827774546391314-0.0811223098569283i,0.89404126286207-0.0645261709480652i,0.906922240921364-0.0615824297257621i,0.906117704770922-0.062343537473873i,0.890178514371306-0.0662623462004556i,0.877754289744185-0.0911925145675359i
0.8882437539447-0.0744851338548732i,0.833617528898749-0.077760454146511i,0.817480327113345-0.0813332702444041i,0.810659481258203-0.0830673525055615i,0.786479170030076-0.0758799677149531i,0.862940673339693-0.0690036334881971i,0.878456685047288-0.0675963600148149i,0.875189152217559-0.0662431841338029i,0.858454597283812-0.0715388138670774i,0.832258583141073-0.0994683488007435i
0.86668737177371-0.0947865296718433i,0.810670655970819-0.0917322763400391i,0.795789062444754-0.092864831083997i,0.786036065905993-0.0985455146816201i,0.764137264071379-0.0896369726223531i,0.841815462363162-0.0857106486791018i,0.86073274173451-0.090282134714733i,0.856542749209577-0.0887891439888822i,0.835139612151674-0.0933738674779914i,0.795625553448061-0.126329813260466i
0.83062511922924-0.125788378739962i,0.778871771169809-0.118632735268262i,0.763049454768224-0.118226418124615i,0.751075070629831-0.119457710579875i,0.733564252506099-0.112211265595437i,0.811020260142566-0.119356651247723i,0.827893949164182-0.117528050904932i,0.825197836685185-0.117708172111312i,0.799602960575928-0.12574368120031i,0.739287476684919-0.159895341036101i
0.739680933766897-0.19932394878313i,0.697468175772721-0.182772779816391i,0.680744169020338-0.174169731069635i,0.673911510410953-0.172653855877433i,0.657479013161369-0.16322000683671i,0.727456582716757-0.183605424478036i,0.742958999662139-0.186888237035263i,0.7393404558729-0.187492580890515i,0.708205768043335-0.198049157574286i,0.626284490560341-0.210736450440837i
0.626173298960133-0.249334994570775i,0.596679299178863-0.226593548755065i,0.589500389825383-0.218733561876267i,0.579375055710371-0.209785063533498i,0.569673019617405-0.206033556829821i,0.629089732255911-0.230018041040536i,0.639767778755779-0.23520727443905i,0.628974150468603-0.238168203701851i,0.598895314743158-0.24035935471536i,0.509209704998533-0.233446118612021i
0.489694368124072-0.272669345838051i,0.475253554215259-0.251820955351669i,0.474470371255236-0.247391507875467i,0.469871648880015-0.240298193574395i,0.459871227457705-0.232989743230501i,0.50866399621379-0.260383273982283i,0.516277728849191-0.267586206013889i,0.508753917404853-0.267168425903876i,0.47237482160216-0.257673954084911i,0.394086638664238-0.234855064799703i
0.311252554006828-0.259089562981417i,0.301340378909681-0.248316242219126i,0.307241698191907-0.245973039357745i,0.305145281282879-0.244967737975758i,0.302402290332531-0.235678764167451i,0.330778586776866-0.262894368685429i,0.335570207865754-0.266311348120832i,0.32651085708507-0.260401785129767i,0.302540405148502-0.248293454617566i,0.258016681096535-0.212201438993437i
0.195830665943366-0.228305134191449i,0.187343924374269-0.222370602918716i,0.189157734873849-0.22083976122729i,0.192980466163253-0.220471358569271i,0.18903113770457-0.215332880153256i,0.205145801074127-0.234255944487041i,0.209595269313449-0.241820344009742i,0.20246845003128-0.236101022711209i,0.187478787815013-0.219549991522605i,0.158020100320009-0.18973545815633i
0.0974663420967374-0.1871056014074i,0.0945419499207978-0.18268212191695i,0.0957745148572985-0.183610360517361i,0.0967969416802773-0.182811302419882i,0.0959205104681691-0.179201045698303i,0.104851190021412-0.196735658288246i,0.104896491330664-0.201141096659394i,0.104121149962865-0.197631535478362i,0.0962685954612379-0.18500668235787i,0.0802192545906211-0.156183605074404i
0-0.135132643002895i,0-0.130008228401946i,0-0.129757328118381i,0-0.129889632914142i,0-0.126892686107291i,0-0.140245047135505i,0-0.145801146506477i,0-0.139408557415911i,0-0.131418933957963i,0-0.113903418602256i
