0.100499429713054-0.00480406329402714i,0.103925140429007-0.005227475080476i,0.103471093631288-0.00585808800076825i,0.103441702882001-0.00600170980573117i,0.103964272599102-0.00551743972154986i,0.101165137572459-0.00380137214558109i,0.100977671457253-0.00354186122712814i,0.102658266018678-0.00363719848793587i,0.106468387185894-0.00398201883057527i,0.114452492309225-0.00612969909049236i
0.0997756709749104-0.00284628102881432i,0.102246313377386-0.00408187685877122i,0.101635583685776-0.00451608704059147i,0.101478820039951-0.00473473476529456i,0.101385137078333-0.00511343033168797i,0.0997440329797017-0.00306619555076683i,0.0999821206049232-0.00262106984054239i,0.101440541284453-0.00278363754601987i,0.104834663775798-0.00349434637246758i,0.112572371462169-0.00485748169388785i
0.0991446912201555-0.00211459791482462i,0.101261898151793-0.00289216822391197i,0.100446273550364-0.00308353574512408i,0.100092950897475-0.003256789097939i,0.0997067480984833-0.00313202416962553i,0.098948199841884-0.00200925399175037i,0.0995124252098807-0.00167641580743917i,0.100699805358271-0.00181545957212039i,0.103808328155731-0.00235790063132049i,0.111121209318537-0.00381989044635207i
0.0986795446892309-0.00171442281249161i,0.100634349601855-0.00228627019513359i,0.0996734776859943-0.00234358865737348i,0.0993904525423301-0.00243871872880119i,0.0993013076147633-0.00217271828787049i,0.0985846743803524-0.0014474916913216i,0.0992150637679399-0.00137348423560985i,0.100495727650195-0.0013741470603193i,0.103553709821359-0.00176635998727062i,0.110185458556089-0.00323852440844775i
0.0979157626938705-0.00143852100844763i,0.0996058986674531-0.00193319920353012i,0.0985767507410698-0.00204176570953491i,0.0982525282484562-0.00207570564490306i,0.0981031139062009-0.00201496146848968i,0.097852544441762-0.00150299324976286i,0.0985613182471335-0.00128518137925239i,0.0998625632761755-0.00141444557269932i,0.102605045975329-0.00188330055783158i,0.108443325028964-0.00386413840838757i
0.097518319531483-0.00168598242802422i,0.0989023847760361-0.00215518345668317i,0.0979313685319831-0.00223878645876756i,0.0975893486957207-0.00221692490514914i,0.0975023186837393-0.00220011715080539i,0.0974688174820136-0.00163555833314285i,0.098159336582782-0.00159410753161924i,0.0994503493447509-0.00177563710923286i,0.102017301880342-0.00235633251791956i,0.106734839829391-0.00480042146933402i
0.0970464628814498-0.00193059555246216i,0.0983176429609982-0.0025989449706424i,0.0972630623707108-0.0024901663137499i,0.0968839325634494-0.00242185003710781i,0.096815606565695-0.00232124642045293i,0.096979706570222-0.00203067068794394i,0.0977616714688677-0.00208585230334312i,0.0988390569000234-0.00226954356620379i,0.101117357220262-0.00298744052393566i,0.104473765467583-0.00552185539310096i
0.0958530885788623-0.00309295188798967i,0.0966663849363822-0.00367829868550698i,0.0956429172787133-0.0034790347615274i,0.0953139540944151-0.00335709736511328i,0.0951995647615535-0.00337765317622402i,0.0955605577062385-0.00319156440824271i,0.0962855668770273-0.00331259625398026i,0.0971929034645801-0.00359590289190305i,0.0989292961127416-0.00448026135874046i,0.100545659564749-0.0062225454132185i
0.0941180620905425-0.00418771439930896i,0.0945642043669832-0.00475067237599294i,0.0937684515689998-0.00445113373367184i,0.093580123873267-0.00433031353367796i,0.0935190130183219-0.00415517756641627i,0.0937260938598089-0.0042210973690921i,0.0944029118899329-0.004314964454429i,0.0951273956468593-0.0046746030741499i,0.0963595510648741-0.0053004196934635i,0.0974456810061023-0.00632919537406598i
0.0917323564412206-0.00494633794337986i,0.0920732907672013-0.00540043848507625i,0.0914438292551615-0.00515971246839839i,0.091323683998746-0.00483070269951484i,0.0912755133154448-0.00486683302321027i,0.0915527846222489-0.00490298667845568i,0.0920675523278063-0.00498852561476478i,0.0927068993052886-0.00520688484473497i,0.0936780337461323-0.00561807298695065i,0.0947469111934425-0.0061194888136586i
0.0884013172101825-0.00509411535310599i,0.0884386686109521-0.00558477255347332i,0.0880072391352003-0.00535807441645209i,0.0879376216229941-0.00508884526693722i,0.0880807324121245-0.00507060433027281i,0.0881613035787458-0.00508883826318098i,0.0886319832648948-0.00519503656736957i,0.0892093064943685-0.00529657808660791i,0.0901173778678485-0.0055265730257181i,0.091037679037544-0.0057722970821459i
0.0859995414330835-0.00485485708191675i,0.085843014389794-0.0050652739977813i,0.0855078206292035-0.0049024142205187i,0.0855012562608112-0.00478738802463115i,0.085578939659737-0.00474439595676582i,0.0857410796483862-0.00475010637996057i,0.0861929178562626-0.00483742872752994i,0.0866785701174286-0.00497795417145838i,0.0875622416120002-0.00504418742379426i,0.0885085533129244-0.00530602120888759i
0.0838923677332698-0.00423343514099853i,0.0835417605955973-0.00437609985521548i,0.0832257902416353-0.00422769230674376i,0.0832638352113378-0.00414620274143036i,0.0834801975154181-0.00409528027078086i,0.0836321726753439-0.00413221915933806i,0.0839870093687676-0.00415567678657294i,0.0843989645185554-0.0042887795559759i,0.0852723117546723-0.00445372309048352i,0.0861995020733357-0.00451106547367943i
0.0815603485871535-0.0030780294848256i,0.0811507953806244-0.00314295408077167i,0.0809746698878864-0.00307286073950941i,0.0811066049362381-0.00298027609069123i,0.0812034709773343-0.00292997182723777i,0.0813075026765663-0.0029939828726162i,0.0817097854019835-0.00304083515515941i,0.0821154517542849-0.00306325371235979i,0.0829114784238016-0.00324434871167939i,0.0836925707759983-0.00330941799938161i
