0.102613944702713-0.00490642245304121i,0.106374434501939-0.00545600056269811i,0.105981283969412-0.00610395460779428i,0.105622046418652-0.00637612367840946i,0.106226328118647-0.00553399292855551i,0.104129971377699-0.00413746444643916i,0.104661689348069-0.00363345052473362i,0.106260885731436-0.00375602410840759i,0.108690486880738-0.00402440884834717i,0.117503966742137-0.00596325897676858i
0.101758034304762-0.00301615515329031i,0.10442449489365-0.00429268914307383i,0.103937329695172-0.00486163831357676i,0.103680420390193-0.00498641228191487i,0.103683061622603-0.00533304258516593i,0.102694036662797-0.00332052364239936i,0.103424281681724-0.00272396369314709i,0.105065485916819-0.0029539676272935i,0.10711362809603-0.00349508572622729i,0.115547734193144-0.00492337896880645i
0.101138784020158-0.00212150907754813i,0.103227297760937-0.00302560021411852i,0.102645761390575-0.00329310811348099i,0.102208169021778-0.00343156551451604i,0.101798806242785-0.00327682512839387i,0.101743154228157-0.00213270243770466i,0.102791740698167-0.00191624495817973i,0.104290415727484-0.00190847652779068i,0.106199841375467-0.00233053119160636i,0.114099190103812-0.0037509692177572i
0.100590126534699-0.00167187235120507i,0.10255202225197-0.00238840080920097i,0.101934526237339-0.00238373255515998i,0.101632158089148-0.00250447943368592i,0.101403424621822-0.00234182633934311i,0.101401262682426-0.00164372998595116i,0.102524948750848-0.00140955373323555i,0.103989772408406-0.00151769453419759i,0.105840162728458-0.00170660203871737i,0.113213289252319-0.00327956246473037i
0.0998846066970268-0.00155284922673877i,0.101478178204063-0.00203696686939533i,0.100817055849959-0.00220137686607331i,0.100518666512174-0.00210238367406989i,0.10030399237314-0.00213707713256568i,0.100730421517849-0.00152776666266553i,0.101806119885867-0.00147644269065505i,0.10323224698635-0.00150957718212549i,0.104949864829128-0.00198330832816634i,0.111319846411599-0.00379685328089165i
0.0993904224728057-0.00162685554671312i,0.100912557285834-0.00235668439648396i,0.100054846049329-0.00232186560510802i,0.099710400669386-0.00230779275455148i,0.0996188390124653-0.0022330318051251i,0.100174769502671-0.00182824418703078i,0.101351902478274-0.00189036532498449i,0.102820648815653-0.00204907605307463i,0.104327300789962-0.00251221360887431i,0.10987323331364-0.00474071892203697i
0.0988669235508897-0.00205785863496557i,0.100191139242819-0.0026968503659619i,0.0993822201917914-0.00270814068838311i,0.0988443899979679-0.00263307764922818i,0.0989269969298455-0.00254324679532086i,0.0995528635266365-0.00242046556289843i,0.100767457589384-0.00239787426107363i,0.102113327142514-0.00270353150210585i,0.103382260031966-0.00330302408111005i,0.107674333832342-0.00560935123417842i
0.0976469804790732-0.0033389628201432i,0.0985046913485126-0.00412384663340643i,0.097665266575125-0.00396789493793101i,0.0973319764418573-0.00385547137488072i,0.0972040388810911-0.00374731569705644i,0.0979410912496372-0.00371550256163835i,0.0991294216204955-0.0038809432647299i,0.10027582199099-0.0042745658941128i,0.10097436694035-0.00502896263805256i,0.103637067022878-0.00675061844561706i
0.0956896088898456-0.00461008360375413i,0.096185571120916-0.00529855409831901i,0.0956283134725254-0.00498768948236169i,0.0953083767583005-0.00490048157295524i,0.0952542057987436-0.00478527383817299i,0.0958316238972858-0.00488569557837034i,0.0969252089973829-0.00513402818660953i,0.0977390648324268-0.00549198057613929i,0.0980672380513856-0.00600981774761224i,0.100159683132509-0.00708093563490168i
0.0931309525772163-0.00543878181880251i,0.0933669534344895-0.00606835343545846i,0.0929311088639663-0.00579646459111866i,0.0926210226074527-0.00566825100004683i,0.0927440479782656-0.00552864988310039i,0.0931776547815402-0.00560457865458873i,0.0941307332895198-0.00577854710503621i,0.0947913316125176-0.00605172634136097i,0.094917445778715-0.00630674518683459i,0.0968782038203308-0.00698995509668337i
0.0894128919977258-0.0056212441861637i,0.0893221723292125-0.00609453634466671i,0.0889127369661584-0.0058087850259985i,0.0887375359025227-0.00564638127680733i,0.0889359742633146-0.00558112872963808i,0.089474594110481-0.00565099342921433i,0.0901719122715074-0.00578369182652456i,0.0908730355827191-0.00590594489307571i,0.0910177584991243-0.0060871273995531i,0.0926720366313717-0.00643020713471255i
0.0867420604705056-0.00523586459839028i,0.0864077038162579-0.0055299962983782i,0.086165483570766-0.00537399630944294i,0.0861127489055497-0.00518389286347081i,0.0861982651952725-0.00519686047673819i,0.0866743035406181-0.00525379003640376i,0.0874745627495342-0.00524805130316481i,0.0880829809215997-0.0054265403132679i,0.0881250382541015-0.00557149292264042i,0.0897042677926545-0.00583158882294264i
0.0843102958423166-0.00450406449119369i,0.0839694647466139-0.00466763314318604i,0.0837317047965554-0.00449443031559382i,0.0837521563412033-0.00440995891354519i,0.0839828524711269-0.00447306993310662i,0.0843845185385686-0.00441521627474762i,0.0851002463802831-0.00454614658596912i,0.0857522886186437-0.00453651295144541i,0.085839381500002-0.00459854186823107i,0.087308301381542-0.00489068379338195i
0.0819075454602378-0.00332484683769535i,0.0814248339380017-0.00338454517400397i,0.0814116709681353-0.00316569932964851i,0.081354763439875-0.00317275375509708i,0.0816363838720582-0.00322808607488739i,0.0820085612664808-0.00320648699956796i,0.0826600760952295-0.00322504889952551i,0.0832844602748353-0.00327259087051779i,0.0834221483240997-0.0033959232125074i,0.0846811064566697-0.00353274197358955i
