0.105594901387779-0.00520195884104687i,0.104690860922653-0.00537142877303469i,0.103814856956643-0.00585257655212147i,0.103136449818272-0.00616939581982307i,0.103822709651676-0.0055807087262384i,0.100862350408708-0.00401715626260233i,0.100632897953562-0.00360142329046222i,0.101833364308725-0.00353854782040797i,0.104556652552811-0.00386965444817431i,0.11624591751411-0.00607669673061588i
0.104545657812932-0.00342173068841138i,0.10295096884645-0.00423369468337174i,0.101977711351685-0.00457455612511452i,0.101326302623765-0.00466040679198619i,0.101358317829227-0.00498943470868343i,0.0995006969000258-0.00307479998005869i,0.0994427857345983-0.00263657475896873i,0.100576646827748-0.00293282026304767i,0.103551295445587-0.00326749413013954i,0.114165051904904-0.00503046527897124i
0.103787184443352-0.00249397603129918i,0.101625898332105-0.00281189885476342i,0.10050602241441-0.00318538974311818i,0.0999630146261843-0.00307510767617775i,0.0996680124805415-0.00322766845754615i,0.0988792245675475-0.00206848250063142i,0.098832921213052-0.00184308050738702i,0.0999034121285074-0.00186903351246803i,0.10242622035449-0.00232656213709631i,0.112655126782059-0.00419412270627828i
0.103271395145922-0.00192602166389229i,0.100850943220255-0.00211587096225007i,0.0998783718842725-0.0024260969139684i,0.0992910752474673-0.00248264124163021i,0.0992961044503849-0.00222611850651084i,0.0984027069740693-0.0014637694007588i,0.0986281049922825-0.00142409135360256i,0.0995034767641478-0.00138608060190466i,0.101975715335348-0.00160836734500524i,0.111638380977377-0.00404695803693469i
0.102475302429345-0.00203574216172727i,0.100004806818809-0.00219690562398322i,0.0987754928338542-0.00219226342008299i,0.0979426378756625-0.00221263945314586i,0.0981597953560903-0.00206813197467629i,0.0975792034994856-0.00145765030966793i,0.0978254604979817-0.0014205642446465i,0.0988785916477901-0.00144296365856521i,0.101134107827852-0.00211697310693505i,0.109257383593529-0.00504963079778629i
0.101759269934066-0.00249290051846559i,0.0992305578178579-0.00238848006180871i,0.0981041688003037-0.00237116065837306i,0.0974749204709068-0.00228183888570027i,0.0975178006089655-0.00217046543174115i,0.0972749949934099-0.00171726171546786i,0.0975907093668247-0.00169247093807311i,0.0984676363654662-0.00189615688971072i,0.100468044369363-0.00269535128985622i,0.107024181027462-0.00600449695102523i
0.100942490312548-0.00300558540932315i,0.0984668197956499-0.00290744289828291i,0.0971117669882363-0.0028355265162777i,0.0964183790906263-0.00273082014208444i,0.0967610194866699-0.00249640461603123i,0.0963730886203027-0.00218922558600226i,0.0968264205446542-0.00200612164041613i,0.0975783279638517-0.00243470600637183i,0.0992296103539148-0.00328062977040573i,0.103706702407362-0.00675440587701367i
0.0985061387892685-0.00481316932077815i,0.0966395036839047-0.00419435328321496i,0.0954395674322402-0.00392095265122399i,0.0949581677916938-0.00342983600433217i,0.0951393839140321-0.00357142368901636i,0.0952301140670187-0.00346544557274049i,0.0954439358173915-0.00333392930242519i,0.0958214905909582-0.00360272105414911i,0.096859551413587-0.00455346880459586i,0.0993439027535515-0.00663935812200481i
0.0959053844409331-0.00591660703049037i,0.0942568292270789-0.00531130562021678i,0.0934661589094333-0.00484837633164561i,0.093021591402968-0.00456278964715545i,0.0933398560748594-0.00450036500712365i,0.0932554982723777-0.00433366077474391i,0.0937224632524378-0.00451853979458182i,0.0939374274608038-0.00459758673094558i,0.0946015460276549-0.00498212344619746i,0.0963823708080947-0.00650748066999052i
0.0928377096618205-0.00621796683685022i,0.0916696814367206-0.00585227037765376i,0.0909794927373202-0.00544961282883238i,0.0905594872189548-0.00509721480451823i,0.091018195985582-0.00495544659593808i,0.0909780250371781-0.00496365241829051i,0.0912432011095747-0.00513558069981837i,0.0915288146287392-0.00516989116921354i,0.0918702539676886-0.0053279508793253i,0.0936484069633994-0.00624287315249254i
0.088706360805275-0.00627164876816294i,0.0878414988335308-0.00579920248297353i,0.0873045455996822-0.00552409951647651i,0.0872509185989624-0.00541310452588318i,0.0875771755456732-0.00526531900446107i,0.087607885598657-0.00517001043788491i,0.0877109484073879-0.00524784661666012i,0.088005533187928-0.00529837791144165i,0.0885571491627054-0.00529672589701722i,0.0899905785905552-0.00584516929953544i
0.0857112783719566-0.00589243693452083i,0.0851497492838502-0.00535808956684886i,0.0847217141430375-0.00522743723470622i,0.0847082766881981-0.00499680607437985i,0.0850355717391128-0.00483299809138061i,0.0851683792977318-0.00489652164929736i,0.0853297721512978-0.00498361591946549i,0.0856156688955243-0.00499819666734012i,0.0862461321472801-0.0048730841293846i,0.087439528097572-0.00544315821225503i
0.0831634881135957-0.00507680485300816i,0.0827536472237191-0.00462034167174013i,0.0824740150513177-0.00455404620132841i,0.082252613289223-0.00445142262332564i,0.0828629405306942-0.00451071583731025i,0.0829829350403911-0.00438568038559011i,0.0831387650089204-0.00431929028275315i,0.08335511978028-0.00443669276214617i,0.0840125534917771-0.00434166450132553i,0.0849253498571971-0.00485614279649007i
0.0805163449426773-0.00384208457727046i,0.0801348851624912-0.00352813694512529i,0.0800443307653664-0.00344100690063086i,0.079920818678371-0.00328400204661563i,0.0803525220021072-0.00328736537250497i,0.0805219547009273-0.00331268929889589i,0.0807086989518812-0.00321871887483695i,0.0810250120780705-0.00341581077595618i,0.081475694458805-0.00339535229021221i,0.0823172767995176-0.00362558132281649i
