1-0.157723406442957i,1-0.19525384883429i,1-0.215104379393838i,1-0.225175220954138i,1-0.172016583450962i,1-0.155386408233353i,1-0.153962991899529i,1-0.156584465142278i,1-0.152855637041389i,1-0.176999196526685i
0.973391043591491-0.110766304593932i,0.939687834251863-0.151122718746876i,0.929492421319362-0.169591623906151i,0.921420456391993-0.18419294594835i,0.932412938674988-0.157342180811068i,0.958048599245461-0.127105383841701i,0.94968537699799-0.119198481585953i,0.950143435058376-0.117507311739645i,0.942917924661013-0.12924333132105i,0.937530119877478-0.145277959980307i
0.946392131835202-0.0875321182509831i,0.890714799773464-0.107653147476634i,0.88041923409673-0.116664686500044i,0.868489861966355-0.123017483728202i,0.870318170352575-0.105551108920653i,0.920662406542166-0.084159533688625i,0.919578201957223-0.0796085389480002i,0.920990215823948-0.0815053329627445i,0.908641704502502-0.0896566726161614i,0.89361056543233-0.121473368174216i
0.92011331960881-0.074847871623926i,0.870550908702385-0.0824948328909266i,0.858703527088871-0.0931940990867339i,0.841217176861955-0.0992875740061605i,0.85480227944742-0.0796188349250649i,0.90466128312295-0.0643681791166727i,0.906565375574608-0.0627031311943643i,0.907033439511258-0.0642965257610484i,0.893876201317011-0.0721955732394393i,0.860208250668097-0.118236727082754i
0.892763779686855-0.0826870074099911i,0.828587222296056-0.0840908490730203i,0.815543283798713-0.0870561406640653i,0.797203247959276-0.0881419184666273i,0.81282563491201-0.0787887081164275i,0.874842489804746-0.0748199352492517i,0.880827612724084-0.0664292499317021i,0.87397453206521-0.0743675948607165i,0.856621489113503-0.0867147572418206i,0.791497514563792-0.140583254209057i
0.860466247752482-0.112369635943765i,0.806030764439959-0.102766505521851i,0.7854614498552-0.0978747454551109i,0.767830206592181-0.102563261293039i,0.790124393334415-0.0887734315761729i,0.850711236117299-0.0950085677076918i,0.858242422439564-0.0919596601595679i,0.854834819243663-0.0928096903623695i,0.822516478565546-0.115251223772635i,0.726695603416307-0.171471469631647i
0.808430573579263-0.15491717927955i,0.771923594289333-0.117443759024751i,0.75622723213879-0.122473112925293i,0.734458882865118-0.113008892027179i,0.758828723544616-0.125981311187318i,0.825676114318635-0.112943885030518i,0.825568390336095-0.11957734628526i,0.813764647859909-0.132338387282251i,0.774909372232603-0.152484591794588i,0.641762831863019-0.190753088884442i
0.694995137086651-0.234407332557245i,0.681710484822216-0.189388201241141i,0.677377272152595-0.179902928587482i,0.651906129155115-0.172117616856786i,0.671709530959552-0.175454103607871i,0.733580905938311-0.184061696122593i,0.733608794688999-0.194656686834071i,0.721589353259637-0.196743123513827i,0.660542923898857-0.211249024564381i,0.517138962301169-0.200037733706657i
0.577564953149872-0.268230138712082i,0.573652836308683-0.231609281512143i,0.569885181441795-0.224052367683904i,0.561136352762274-0.211919253106309i,0.579212444099877-0.218573811319003i,0.631737156637845-0.239951358302423i,0.625666033424014-0.245447388801786i,0.607070195059964-0.245667862251007i,0.547153362935978-0.236694536295075i,0.419201295240162-0.198746836452931i
0.425329777426007-0.261599709541803i,0.451479260596134-0.252981568137957i,0.449750929970071-0.243040705551631i,0.44426367147956-0.232026064549319i,0.458146976913091-0.250537141991321i,0.497633859399885-0.270269217168333i,0.499311290497993-0.264932455466852i,0.479255671873578-0.26353757183426i,0.430246452240351-0.243137958078972i,0.332866897212543-0.190919693221882i
0.262031132712922-0.236598108921847i,0.287830552717841-0.237525053807559i,0.292493737122748-0.237567229925084i,0.279973364494047-0.235102573430469i,0.298723758922372-0.241535277756099i,0.325366010639624-0.263230545570791i,0.321739987262239-0.259207625749944i,0.305787682850307-0.252276192041544i,0.279295321750465-0.225868356010738i,0.218474055041882-0.176640110226023i
0.166347366085137-0.200653563137164i,0.181371425314493-0.206453225679565i,0.184137123264281-0.207732851361597i,0.173046942757322-0.211746009533675i,0.189330738337812-0.215981227668667i,0.205478653666509-0.232452814948014i,0.199143820639276-0.231704864806608i,0.195604818850533-0.225546364368329i,0.17889087233042-0.201492862490529i,0.140437630101207-0.156688116230635i
0.0856870342370151-0.164274223205521i,0.091763336847938-0.177080852315916i,0.0935367682952068-0.173917774571679i,0.0870793727273768-0.178542867428105i,0.0951042509602658-0.178594844968117i,0.102172081745761-0.196890667498943i,0.0995618908434996-0.197435771385245i,0.0996231799054624-0.194343879659986i,0.0903875021775452-0.172783521356344i,0.0688893616694248-0.135530516520881i
0-0.118155593958881i,0-0.126350071629952i,0-0.1271114806214i,0-0.127249115620065i,0-0.130879557377484i,0-0.14180024698576i,0-0.143535602578537i,0-0.138955129073693i,0-0.126878236447803i,0-0.0997222507231223i
