1-0.252984132617486i,1-0.240440585714591i,1-0.258957623800131i,1-0.262756740945914i,1-0.237604705016042i,1-0.193804151988573i,1-0.178904166336028i,1-0.169555227545264i,1-0.173149534742478i,1-0.191043648453309i
0.95936545297719-0.150431644039602i,0.920785512643312-0.18686075379668i,0.915081109084277-0.199761815575278i,0.917798724243983-0.208845902276773i,0.896257611926118-0.225729501571828i,0.92764049244569-0.151949495405928i,0.945191054442583-0.137499524270138i,0.93675449545406-0.136040816392958i,0.938451457929154-0.146886727736485i,0.935923212947051-0.158864279982189i
0.930831189905589-0.108615304055636i,0.87126424647833-0.123515915637156i,0.858459335509903-0.134669657555674i,0.854321359849466-0.138430334143769i,0.816041791855834-0.140496397383443i,0.891724675166317-0.0986675969976443i,0.911136285166254-0.0925645079429757i,0.909133951981033-0.0852141106324322i,0.896492547218428-0.0973755594969606i,0.887756986092785-0.123248498741892i
0.900506856529678-0.082771740106691i,0.841628013423759-0.0919854033376343i,0.828225275372911-0.100750089647117i,0.824438980867549-0.109629045016353i,0.801939416367829-0.0959900077927321i,0.871030310489142-0.072709807584734i,0.898005480440992-0.0636824573795625i,0.89541458216849-0.0634437218772604i,0.881809665107212-0.0764559555645625i,0.855337196911561-0.108238049923956i
0.869260019539393-0.0769676328082782i,0.797263255281265-0.0809729969802351i,0.780693973222935-0.0911628448592911i,0.772404260891597-0.0895009138038612i,0.754064556769589-0.0884136037771039i,0.835501598454454-0.0685238727190056i,0.863153923941511-0.0667135488327191i,0.862368699842624-0.0675424730950734i,0.844273761406726-0.0781695870838998i,0.798811331071022-0.124957251168479i
0.843156239180115-0.0851665337825882i,0.77319562802402-0.0891760797815709i,0.757950234871651-0.0958037199063929i,0.744954992664967-0.100257185111535i,0.722689602180229-0.0993883508504557i,0.820000725033193-0.0845774071765632i,0.849188533059573-0.0864349621856933i,0.843782566914743-0.0861024654766133i,0.819615259935588-0.100411315649147i,0.743891341028968-0.152979535581212i
0.823055976902525-0.103215927991168i,0.743728535808297-0.103299600532905i,0.719672709542348-0.10747979881024i,0.703303203103288-0.110361834208882i,0.695735875716075-0.103703260385815i,0.790312891399472-0.107673094099039i,0.820823504867291-0.106798302620651i,0.812683039738302-0.11461907368896i,0.780818755180732-0.134632109791854i,0.669711737811688-0.17883357272236i
0.754557653962805-0.165007598125457i,0.674552629929792-0.155924723337433i,0.648892825148206-0.152340670609964i,0.638796247258601-0.146030615535305i,0.628933927532648-0.150955882012451i,0.715716866121863-0.163279547591393i,0.746732031666921-0.176876267009628i,0.730216180937583-0.181221322024424i,0.684350003533688-0.18915842098457i,0.54402210003513-0.201701407744094i
0.66527975333165-0.21941749082139i,0.59284405220585-0.198140150114103i,0.572867525896151-0.191430936316758i,0.562302657035315-0.194959284317642i,0.553578208048464-0.191398086375776i,0.633172541486798-0.209483118916136i,0.646879794214419-0.221393648815848i,0.628515596791008-0.229471537843098i,0.572778493867212-0.227615840300836i,0.444771344647188-0.20525192585702i
0.550025333632701-0.260354519956869i,0.490234794075734-0.231898305806058i,0.470770937116053-0.224351417169283i,0.461223056503105-0.221796422384755i,0.459031293118491-0.214113063511819i,0.511208643234087-0.249794425418209i,0.533925018400084-0.257514179395983i,0.512870712038043-0.260011741959196i,0.458909750966378-0.24430177416141i,0.355018072727152-0.199486645520713i
0.368694491936918-0.275342645528922i,0.32496044328363-0.24210171670233i,0.313153922892464-0.237045214833173i,0.311173423155596-0.231843346736412i,0.305650779815659-0.224973329730783i,0.344135771874407-0.257379590250951i,0.366594813658155-0.268398194126375i,0.334577588526255-0.262217889529365i,0.302487196489024-0.237392716848901i,0.235161990099087-0.186936717173022i
0.240213776096998-0.253740388236982i,0.210408372349705-0.226911407930096i,0.203375202462489-0.216952537213564i,0.200268251337785-0.220028100368703i,0.196075742781194-0.210135474078554i,0.216414047730335-0.245814597810577i,0.229285992320074-0.242494108974967i,0.218304894556508-0.239470652277631i,0.193234182814094-0.213502966496024i,0.153414354193764-0.168908084494728i
0.120329535342545-0.223457490175296i,0.105245806870117-0.199216964152442i,0.104966654505111-0.19085244264206i,0.100759754917958-0.18858837129149i,0.100535237202677-0.178311785626495i,0.113336962053581-0.210935707565852i,0.11721284942898-0.213476079150711i,0.112081439727701-0.211180028033171i,0.0985081826650643-0.185802942190436i,0.0827196146872053-0.145197226859468i
0-0.16275564009743i,0-0.14278391164393i,0-0.13702022961256i,0-0.13415624483681i,0-0.133777401632109i,0-0.157457422156023i,0-0.160197641979439i,0-0.152056657492749i,0-0.136795591766961i,0-0.108225927725903i
