0.10131094038279-0.00469144177147501i,0.101885111168065-0.00530057915990026i,0.103189379865221-0.00576642550307296i,0.103292035285087-0.00607436987022956i,0.103748818175619-0.00537918001077931i,0.101323228939347-0.0036106707650133i,0.101560674205524-0.00345435419102336i,0.102993670752569-0.00364543722794524i,0.106479221522504-0.00408577375972268i,0.114533605397226-0.0060254402061758i
0.100529488475297-0.00294993951900185i,0.100227846864556-0.00409353476177862i,0.10131687717951-0.00445855906933892i,0.10136351393684-0.0045838084175381i,0.101344999046465-0.00518122201171435i,0.100144544868284-0.00311765053788178i,0.100367255628295-0.00271870822377232i,0.10177514956781-0.00276861322801271i,0.104891278165587-0.00338871852101141i,0.112370293037175-0.0048710891365768i
0.0999269518825762-0.00219947223601588i,0.0992853259782076-0.00278357051332805i,0.0999954557330519-0.00296922163507394i,0.0999676312835042-0.00323098895171793i,0.099564835314044-0.00302592598184467i,0.099102512464133-0.00205905764200704i,0.0997415708256831-0.00182671292229616i,0.10113470079214-0.00191891273027022i,0.103957044967893-0.0022404286625277i,0.110972017300852-0.0036553078281803i
0.0992624666151458-0.00173946390618771i,0.0986956418473814-0.00189005450450127i,0.0992997442454765-0.00223250119503088i,0.0992982049567768-0.00221654444654069i,0.0992887464751625-0.00211735736603887i,0.0988535220349193-0.00142588997284756i,0.0995022650769534-0.00140077609792308i,0.100848606788718-0.00135292578892736i,0.103603224203528-0.00165680357764716i,0.110179609313584-0.00316106129696935i
0.0985947218885029-0.0015848037873382i,0.0976355548576121-0.00176083842182351i,0.0983772145540474-0.00192733483219689i,0.0983677983039748-0.00209324896578778i,0.0981295703051143-0.00202910915019422i,0.0982806120715721-0.00142622631807878i,0.0989000482168307-0.00133406619119991i,0.100241262635559-0.00150540810838159i,0.102912433571578-0.00198602185970679i,0.108421532423333-0.00370894725930445i
0.0981243612907477-0.00184450779031612i,0.0972684405315936-0.00194395590114311i,0.0978092717954046-0.00210740599417221i,0.0974800527560128-0.00218728103957239i,0.0976081106083776-0.00209883148837877i,0.0978192167471879-0.00184979574528503i,0.098526278963448-0.00167586708903265i,0.0997676725317949-0.00179562210912711i,0.102275170317245-0.00240583131731446i,0.106965638612481-0.00456217067973299i
0.0975737692394686-0.00215822463101666i,0.0965204816053929-0.00213682200247614i,0.0970087788932782-0.00250622749565801i,0.0968364206295819-0.00255106455609113i,0.096821739634658-0.00245105042249026i,0.0973038721606676-0.00225786566303664i,0.0978885613823284-0.00220546476832282i,0.0991261129082069-0.00245230113593919i,0.101361508283601-0.00300355315943448i,0.104887281939004-0.00543424239681481i
0.0962245285205526-0.00344523185295384i,0.0951955092243423-0.00335474794427937i,0.0954742011083197-0.00352220919526126i,0.0951650172199359-0.00360945427689498i,0.0954055041268179-0.00350303302780671i,0.0955818911553775-0.0033890734578847i,0.0962506795674327-0.0035921914500969i,0.0973882032598443-0.00371335523696609i,0.0991146279429543-0.0045323922375159i,0.101022708754592-0.00635247086982985i
0.0942178577561669-0.00456516111974059i,0.0934292529424791-0.0042221101875249i,0.0937512669301928-0.00440035547085341i,0.0932790585012802-0.00434928228007668i,0.0934320438611668-0.00443710703887508i,0.0939900298007727-0.00433840873194506i,0.0946003888401134-0.00459260130552436i,0.0953421653562729-0.00481773929749523i,0.096524838774596-0.00546119799344121i,0.0978598697710728-0.00659073032370589i
0.0916623193669523-0.00542539787150502i,0.0912679947656994-0.00504387595650825i,0.0914458182649663-0.00516908668129961i,0.0910704731763313-0.00501596094920203i,0.0912753837867405-0.00512786803076509i,0.0914065733935412-0.0050231200980556i,0.092118506604762-0.005215005711913i,0.0928068591361188-0.00543893223699653i,0.0937748476172156-0.00586536789369215i,0.0948133567727514-0.00635471990523489i
0.0878576709108102-0.00580833328973972i,0.0877035367071924-0.00531683299466894i,0.0878314819762583-0.00531832962631277i,0.0876530497352346-0.00536022453261386i,0.0877622074335137-0.00529978438458908i,0.088083571918568-0.00528098776410431i,0.0884474397045356-0.00526439390701345i,0.089045104969852-0.0054507773858892i,0.0900704416087798-0.00571462856042793i,0.0909351027483905-0.00602906833085068i
0.0852023649169771-0.00511312561580627i,0.0851699448539995-0.00497737207845758i,0.0852082431063707-0.0050908258434166i,0.0851187188851968-0.00496681040085333i,0.0853044092835059-0.0048285295627153i,0.0855697351090113-0.00489456967699809i,0.0859506992519055-0.00494892453267616i,0.0864224412200734-0.00505046913987113i,0.0872740088222761-0.00524269763729044i,0.0884323907665497-0.00541391361635013i
0.0829791855459925-0.0044855071085053i,0.0828737678346465-0.00430938384804793i,0.0829524991179682-0.00426141786869532i,0.0829129934227122-0.00424110442889864i,0.0831376831914453-0.00416559738308295i,0.0833073658382693-0.00422984619388107i,0.0837666037193695-0.00427155714938136i,0.084250788327923-0.00423905019027141i,0.0850786105872313-0.00445137625914681i,0.0859760506032363-0.00454238193601148i
0.080533522274017-0.00329404402867908i,0.0805827261084846-0.00308859109549996i,0.0807253347240972-0.00303146853222228i,0.0806531485770918-0.00307819844906039i,0.0809534174430965-0.00312442220666722i,0.0810995287271519-0.00306206930948601i,0.0813248395659363-0.00316092369331034i,0.0818746280758626-0.00315408198119846i,0.0826589990528563-0.00328564870162882i,0.0835150068134791-0.00337337541469592i
