1-0.207426565896412i,1-0.218742224927139i,1-0.246211484972059i,1-0.265743187537966i,1-0.237778615559601i,1-0.197496465669329i,1-0.180756239694171i,1-0.17005420617568i,1-0.167655711362312i,1-0.179102274733993i
0.958161723656452-0.136440496322094i,0.929145879064366-0.17240995530873i,0.922713296703019-0.192446565477936i,0.922028947496664-0.200744350386245i,0.894999057559985-0.212586059522843i,0.933056685413375-0.151167166275062i,0.940268001797041-0.132330276301009i,0.939605141865762-0.140944378033308i,0.956442141477444-0.141566659270877i,0.938669349393913-0.148266042288209i
0.92791782300608-0.099446554539875i,0.875184654827679-0.114509758529949i,0.860800955115256-0.134005857400294i,0.863306098681337-0.132458499949737i,0.822979805991858-0.137522055883755i,0.902503084519535-0.101693326440063i,0.909658765185076-0.0925046225061056i,0.907251080776359-0.0898213126993572i,0.907697410582195-0.100800067641061i,0.894166384021783-0.123615995747051i
0.907350877753115-0.0767995425936266i,0.843625936924598-0.086165216276306i,0.83439638480467-0.10206323976365i,0.834362695218914-0.106938347989309i,0.80713382999416-0.0948487732500845i,0.879075929988029-0.0719636639221752i,0.899378993298026-0.071475463253625i,0.888031136788174-0.0666117425608875i,0.888178939238519-0.0696837340310808i,0.86419920044863-0.119278519613493i
0.875606916799097-0.0811746149019215i,0.809168483076684-0.089465213903141i,0.787999471183844-0.0922261208036489i,0.776279528593857-0.0953081757636529i,0.7587188317308-0.0881174026196729i,0.838589821142628-0.0716628295048519i,0.859094086776407-0.0712984368669802i,0.858000641848884-0.0693454071985299i,0.851715656212386-0.0917194640843271i,0.794022578759688-0.148830919583951i
0.847055333423602-0.0994036687846304i,0.777638520328987-0.0972667543386178i,0.7597576044221-0.0997521316647683i,0.75613286956326-0.0982889016434451i,0.731365205219143-0.0924775491422654i,0.823633941697311-0.0844261704707617i,0.847311875047986-0.0849454945682039i,0.838251106769479-0.0911247978067811i,0.822857952135432-0.116778137150043i,0.728202005962414-0.176974285575865i
0.81448648827072-0.119846826746288i,0.746536599164567-0.118400625846836i,0.718008347208286-0.119287494667168i,0.710622955406129-0.117628511825849i,0.699120847670959-0.106364919331062i,0.779293291394118-0.107629449173636i,0.808952048281251-0.100687693404732i,0.795513056598241-0.117006189600396i,0.769201859940134-0.142135770839499i,0.630423888412512-0.199076819311203i
0.717337693896835-0.191923699089872i,0.672122284311326-0.170807844256779i,0.64766074351873-0.164950183251008i,0.647725190958846-0.147738219291278i,0.630027425971471-0.152168518732829i,0.723100945399261-0.170372573991509i,0.739564830900714-0.167330656662479i,0.711083623963719-0.17313821941372i,0.666517260337516-0.197282486543674i,0.501836371732711-0.195685945035495i
0.613633385635372-0.235922950487284i,0.575091953279182-0.216293812638206i,0.564641608522423-0.203965881639795i,0.564308273406375-0.196539547844265i,0.553354505156292-0.191748147663677i,0.62602241148039-0.213056856759484i,0.653163738198895-0.226786521967613i,0.620540023525296-0.220949101590677i,0.568687465892439-0.215854273722341i,0.414549292643124-0.191799038597844i
0.491310763684309-0.247939583383181i,0.469734796405151-0.238323674644937i,0.460030286412707-0.22925924251657i,0.458254547398401-0.219559605069598i,0.454434968425615-0.211137919727251i,0.514054420890691-0.244029294690257i,0.528729017252072-0.257755942880569i,0.504787809925403-0.248452693990696i,0.450352167641731-0.230837509328043i,0.33396947019479-0.18400009611371i
0.326574453379161-0.250080134472325i,0.313838625119608-0.236162575644085i,0.30542928565797-0.232392815877325i,0.315739851155409-0.233166373692917i,0.307822572679726-0.2243407288888i,0.348367406393136-0.254174526010189i,0.351444464839764-0.26339059433292i,0.335467269704025-0.254627461737987i,0.306809391319825-0.229484663307488i,0.226160011996512-0.172278322279544i
0.207146429685904-0.234959175079299i,0.204221740986359-0.218199008631598i,0.196772395361932-0.219912558630047i,0.206217008746265-0.215234556591127i,0.199531840432122-0.205920726478278i,0.228433343360529-0.240728927777165i,0.231932696467584-0.250128796597797i,0.220616066402933-0.240201463909129i,0.206682827855138-0.211130062692246i,0.150971308905143-0.160429598640359i
0.105554048803131-0.202436087743785i,0.106644593837582-0.188155490820931i,0.102214156573566-0.191583735449644i,0.100440715860799-0.191742477148288i,0.106962013515611-0.192189168005787i,0.120989796600783-0.215614309996557i,0.121965558406349-0.216786144446195i,0.111979443464861-0.213216919483418i,0.10991134001629-0.188105904600772i,0.0768693647239985-0.143128126980975i
0-0.153201982964248i,0-0.143677326431033i,0-0.144759391228522i,0-0.141456505180741i,0-0.140065576875157i,0-0.162862578805616i,0-0.161548219557805i,0-0.164155755251201i,0-0.147106210945981i,0-0.10685902076994i
