1-0.211125555929592i,1-0.232726995515901i,1-0.259872334733953i,1-0.264063410787626i,1-0.214488202670398i,1-0.178564101683757i,1-0.163502802328797i,1-0.160314243594588i,1-0.165245185672695i,1-0.188409573914458i
0.956328838644667-0.136776539988131i,0.926557697449133-0.179096381006221i,0.928089368322119-0.203781764699478i,0.914255863045507-0.198461429591748i,0.901949038206837-0.209077021322582i,0.935458293480359-0.147907893866686i,0.948931546486003-0.133906197085848i,0.9434563296688-0.130248961536075i,0.935226794249891-0.138531711990441i,0.937354451597127-0.152774069287646i
0.924121229560473-0.103442708795356i,0.871265182229574-0.124733383707602i,0.868266007676099-0.136315409347151i,0.855196098127393-0.134066882892111i,0.821802313231532-0.12679743200882i,0.901837160837951-0.0909702360928913i,0.914825395022307-0.0868911629863767i,0.917936279690878-0.0807114251856642i,0.897079228861407-0.0867691197672601i,0.893185994482558-0.116250768824572i
0.906303988342999-0.0772896558349646i,0.851468188255617-0.0912624491555277i,0.836384669906327-0.098023918211059i,0.829459650914087-0.0964469679748461i,0.80752766907534-0.0912579637783145i,0.889143656411034-0.0707484694011644i,0.905485420930445-0.064825444943089i,0.90507332941157-0.0611613644298267i,0.888288689102844-0.0685315089754036i,0.865962715394498-0.101598546689723i
0.870485995800864-0.0701530469607967i,0.809799179232836-0.0804280061574761i,0.799133977544229-0.0924901867023558i,0.787685877377209-0.0837584985063524i,0.759523921665288-0.0772637755477299i,0.854814197936088-0.0615937818037938i,0.876756149335859-0.0666028879805699i,0.878084712613728-0.0698034727269682i,0.855000855692756-0.0745446310603221i,0.815533848719832-0.116496396053651i
0.849513875888468-0.0862491209601258i,0.786820815008499-0.0910599351809779i,0.77249641705042-0.0921054346739826i,0.75424935304787-0.0957603521916129i,0.740507818476522-0.0888160332655408i,0.829205565756359-0.0831075781186153i,0.852029576631683-0.0839584378428304i,0.857177268508234-0.088562637131516i,0.824609513880783-0.0982105123746439i,0.769341445417673-0.140954491729997i
0.816901693458354-0.106830544547108i,0.762944901033641-0.105562639380865i,0.74028825228427-0.101779300521045i,0.726302553276301-0.108992567207947i,0.709270164636802-0.103016988240963i,0.797544812105248-0.111490793422966i,0.828202595070308-0.113586569352381i,0.824852192444347-0.11313240708004i,0.787760207355829-0.129364147340179i,0.704364935127968-0.17030149576234i
0.756336275875959-0.168439206244524i,0.69054968171206-0.158309528260745i,0.678150542476289-0.147895725914728i,0.656357525722694-0.155190098709742i,0.642974835990013-0.150354827305977i,0.731498229156484-0.173075013248094i,0.748661771329762-0.177858468684041i,0.740121519797923-0.18070532222567i,0.697328091669438-0.19353552965958i,0.581113765467814-0.209209660250151i
0.660546973610719-0.220946819944851i,0.607209175551057-0.202683132148142i,0.601627607225525-0.196271632221144i,0.573480939452909-0.190900545761411i,0.555906787516881-0.187836889287244i,0.630584204311886-0.220563245354514i,0.644863153812251-0.227998705426266i,0.641697015344815-0.235991141624181i,0.585274331911648-0.235147095875372i,0.470294191063618-0.219909820855162i
0.540233448184093-0.25924376692439i,0.50362984840605-0.2352160831124i,0.490954781899708-0.231475573742196i,0.472785547006094-0.226435824989125i,0.464148699338004-0.222685063432901i,0.517754047833861-0.250338210275193i,0.521800609452191-0.265645100273615i,0.517833942012699-0.256556151040574i,0.468555556307955-0.252018743269697i,0.371253816972684-0.215425546185449i
0.356617255657552-0.269171362572012i,0.335450243000074-0.252726584874248i,0.334494461899915-0.24265387421094i,0.323497578583889-0.235805367484114i,0.308842838883926-0.2306579030742i,0.33705338732536-0.261492268738256i,0.344256706271841-0.270695570842818i,0.336119345050927-0.260739614315123i,0.299407954437017-0.242067915838175i,0.239709834357598-0.19921230931655i
0.231656946248431-0.245745791039127i,0.207261983236669-0.229950406386799i,0.213181826104617-0.229586982131169i,0.200408630172073-0.218259604731683i,0.198660698911899-0.212285685739327i,0.211452156769608-0.237973405488167i,0.21444511450451-0.241645456724763i,0.213377171276599-0.233552887152949i,0.192937397451878-0.220003707685964i,0.15400830074803-0.175302176676021i
0.115813684204463-0.212570353272009i,0.108618491002962-0.20057344667336i,0.109060049281082-0.195925453994788i,0.0992080842033326-0.187285735791913i,0.0988462654109468-0.181864751178769i,0.109213768614908-0.205218672731392i,0.109186882388028-0.206643896744751i,0.111949005626865-0.204742001574879i,0.0955282160692328-0.184315104297519i,0.0763174666305744-0.149974071035888i
0-0.152596834907064i,0-0.143404942774046i,0-0.143039444188472i,0-0.134489134920514i,0-0.1331181046254i,0-0.149073385876932i,0-0.159259415041709i,0-0.144315996571415i,0-0.134243305199918i,0-0.109449193212665i
