1-0.225550167510371i,1-0.234797120105596i,1-0.25829552223401i,1-0.27004390573351i,1-0.236607474290153i,1-0.201358987106366i,1-0.175436481423188i,1-0.170772796878972i,1-0.164385015923279i,1-0.18988630716456i
0.960905981604297-0.143558973767355i,0.92233900735305-0.176001084725951i,0.921403544666292-0.199950294036367i,0.916706669174278-0.205844529218492i,0.888727648227512-0.223346278986545i,0.935376593717416-0.15367611871283i,0.946879938228557-0.123363789488909i,0.939857828149586-0.128957988046599i,0.939257411486872-0.139357082284023i,0.937020848814863-0.15515908018516i
0.931147377130024-0.110931625619868i,0.876949478017246-0.124650747826134i,0.874367495646978-0.134951872028637i,0.85967973948017-0.144579750563034i,0.813917230579447-0.137176485493673i,0.892672264334025-0.0988760053134741i,0.914946776735264-0.0873060270256727i,0.909226048062798-0.0828178758293049i,0.899474516883075-0.0922457722367289i,0.889796960159705-0.118470964339031i
0.901842836509443-0.0818926332917378i,0.848342846182107-0.0930886792510407i,0.838011417007776-0.101867923408606i,0.829735669986542-0.10901426028122i,0.798462054293322-0.0971234546314296i,0.874614322142646-0.0743687122989324i,0.899901231981425-0.0683190853064969i,0.902297539239651-0.0652462294815487i,0.88586571369773-0.0679855096595445i,0.864213217587007-0.104911682550459i
0.86959891559623-0.0733671204556793i,0.804779642677719-0.0793210401931794i,0.788810862349847-0.0889947409849739i,0.777198418822398-0.0871893294577821i,0.745597761833336-0.0826925225277092i,0.840134315910227-0.07220865280401i,0.868922479725688-0.0648445709901455i,0.86860967580908-0.0671862335428701i,0.851052340226757-0.076474263077765i,0.803890336729775-0.120726124440174i
0.847422244041221-0.083191471624253i,0.781070287134836-0.088711719795967i,0.757449469772782-0.0991329371153906i,0.747296763871444-0.0957563571383493i,0.721926051078556-0.0919737167397585i,0.816178833530939-0.0858839335100731i,0.852100919184351-0.0843791570165355i,0.846739990644417-0.0877783109662409i,0.826023884004759-0.101321078580701i,0.755186765685528-0.148017852347563i
0.819432479502575-0.105771985412718i,0.749322468620692-0.103798046264482i,0.736062567072735-0.110101750496474i,0.716420483797182-0.108850229586408i,0.692275952376365-0.104393787724801i,0.789384451525352-0.109423091944757i,0.827062976489635-0.108243608392402i,0.819757783976795-0.115365555732221i,0.785983727650593-0.131114559652749i,0.68957953025003-0.173415371403781i
0.754728961444955-0.167663455478677i,0.683861603012771-0.158971049900588i,0.662217195658969-0.156873626803843i,0.654529732168835-0.156565934544012i,0.629120004110765-0.149010187200179i,0.719002395412661-0.165552825526618i,0.750310274573654-0.173774417386908i,0.735784005108794-0.182230434630628i,0.690570318523816-0.195378863577296i,0.56526682201257-0.200555304363028i
0.656392104792068-0.225729777434634i,0.593997268507697-0.205546209500718i,0.578693806965067-0.205688736029111i,0.56593842503123-0.196761944753293i,0.546743526724018-0.189893066268655i,0.631209533025719-0.219761260395079i,0.654089289126459-0.228896074922856i,0.634579576813039-0.23294629843554i,0.582960476188957-0.233543703727021i,0.462132711448559-0.213070056555808i
0.532308538713864-0.262948965400725i,0.482211081974291-0.244024580180385i,0.469215602392815-0.226476544132808i,0.462553631262172-0.224615744903242i,0.44957771852677-0.218318765573047i,0.511681342637557-0.25082418454978i,0.528844811011621-0.26035490854597i,0.510988449767393-0.261181615575491i,0.463533175166277-0.247374479570956i,0.366203358506695-0.206328591557769i
0.357037582009311-0.271054846293887i,0.323365384316561-0.245230340512233i,0.310828559358287-0.241118878743558i,0.306774965398113-0.233647355995714i,0.297687674825577-0.228104302200838i,0.338144284163889-0.259154696784942i,0.34839394372014-0.266147647620136i,0.332917290791066-0.259720198829682i,0.304964241155163-0.23874828022503i,0.242681405899646-0.193212154789367i
0.223912554844069-0.248442486533193i,0.203106172786338-0.22531018406685i,0.19977437984134-0.222498466014007i,0.196800367687195-0.217233402228727i,0.19214500797607-0.208036608840176i,0.219733984430716-0.238303639138589i,0.222309673440335-0.246188941961039i,0.215047595287638-0.237433108081001i,0.191318003518593-0.215185595001351i,0.155642323724071-0.17465526482694i
0.112322002224013-0.214432403725541i,0.105000397113938-0.190052262881343i,0.0996553120389262-0.186727415412383i,0.0985065830528182-0.18714586368614i,0.0963790960900629-0.178031756042137i,0.111256440892796-0.204906343515659i,0.108783247093734-0.208819991724496i,0.110987220744875-0.203001624698952i,0.100616244822477-0.185688517136387i,0.07613563867277-0.148189769557365i
0-0.154302237737908i,0-0.132374502090901i,0-0.130509894594111i,0-0.131706673696526i,0-0.129567630388227i,0-0.148874430442919i,0-0.151724427454607i,0-0.145695697961236i,0-0.135277015625023i,0-0.112358784789493i
