0.104942034232156-0.00526885317208366i,0.103599562632411-0.00563056085541974i,0.102122223275967-0.00565678850355285i,0.101357483254791-0.00573118157242106i,0.101338131031811-0.00409728453444489i,0.101098615148212-0.00352778190011379i,0.10184349976166-0.00347261281573821i,0.10350883043491-0.00371350973721794i,0.107087158499192-0.00460026159620382i,0.119506557177157-0.00795621608247944i
0.104161839001317-0.00334193252755519i,0.101693868912598-0.0042518362267977i,0.100318488208866-0.00465691130657725i,0.0992279214067324-0.0046976543690555i,0.0997603767481861-0.00353917936743139i,0.10009329437079-0.00277879456029311i,0.100793103493834-0.00259073072197758i,0.102214434541084-0.00304477034323531i,0.105568025289687-0.00373787633482245i,0.116742329109114-0.00662718942852849i
0.103486868067006-0.00246839443773448i,0.100563360094646-0.00295229625015026i,0.0988664796974394-0.00302182918624456i,0.0979062818312968-0.00297689565011907i,0.0986184030458217-0.00232422064106414i,0.0994062708529315-0.00177216184749843i,0.10005679955562-0.00175303082876093i,0.101468952930951-0.0018805490209538i,0.10434795244985-0.00266209814001297i,0.114734721047145-0.00526933756820501i
0.102769826093064-0.0020882615073544i,0.0999566845878773-0.00210851130811013i,0.0983201143301397-0.00213918643466467i,0.097450083536347-0.00208963886929432i,0.0982755933963596-0.00168835746275786i,0.0990817260382526-0.00142445655990447i,0.0997282692194926-0.00134654925699342i,0.101068118569252-0.00151670313790971i,0.104064793119896-0.00207202441555862i,0.113158592414793-0.00481135739040248i
0.101908626767683-0.00208283656120064i,0.0990821669127506-0.00207587161699769i,0.0974301518177807-0.00198659099393534i,0.0963580067618161-0.00187097808943867i,0.0974228268220377-0.00169976370586158i,0.0983498657095464-0.00158097102341943i,0.0991135194500441-0.00153730364689071i,0.100510974281025-0.00168907171329727i,0.103134117468397-0.00222387217642666i,0.110602248310944-0.00545201391496128i
0.101315117286504-0.00254728499575115i,0.0984712170607803-0.00220904104496764i,0.0967596233240392-0.00222837523451967i,0.0958258730480786-0.00213582241030645i,0.0969390545115245-0.00196780026208053i,0.0980731850134485-0.00205608318523312i,0.0985573111353479-0.00194616379978633i,0.0998685169512977-0.00220769515595983i,0.102298300556645-0.00288970403945206i,0.108249945985984-0.00614517888218558i
0.10029515796217-0.00331311415230884i,0.0975856242410872-0.00278915500632873i,0.0961038579996405-0.00258596317227762i,0.0951729967884913-0.00246036325664923i,0.0962628121326756-0.00257284853223574i,0.0973342850511451-0.00259408889054734i,0.0978017760090843-0.00285256405227184i,0.0990629805609363-0.00304098321334954i,0.101170997774069-0.00382452536765966i,0.105348503448959-0.00694294258582739i
0.098037147867658-0.0051906910672954i,0.0958036132032545-0.00431994322472409i,0.0943166803285823-0.00395324210537018i,0.0934871927053944-0.00367156312455217i,0.0944917142173256-0.00386840813531693i,0.0952908338802416-0.00415195072785754i,0.0960656234558618-0.0042787191810094i,0.0969677980013011-0.00465506397789599i,0.0983160483397498-0.00553417981208786i,0.100629522004123-0.00766224793034776i
0.0951186718694309-0.00661479962270627i,0.0934435869604001-0.00546543379214581i,0.0921745394114634-0.00484729002433341i,0.0915898451260028-0.00463391017001539i,0.0923406922129338-0.00492610086261839i,0.0929994908117097-0.00508258298273105i,0.0935066189121545-0.00555322816406889i,0.0944484639140338-0.00582370358323462i,0.0953174790532809-0.0064154782355247i,0.0968441464276346-0.00771558329338916i
0.0916268002738646-0.0071502854647608i,0.090550610959013-0.00628623232930942i,0.089725458366508-0.00561193227590221i,0.0891685979102743-0.00526380160713065i,0.0897541215303352-0.00572534930495529i,0.0902975715614715-0.00585442170079172i,0.0906896373549691-0.0059682270863079i,0.091283508164457-0.00635190996575626i,0.0919470540740352-0.006729575719427i,0.0933638504297076-0.00731740973164402i
0.0868163220151843-0.00698625093226425i,0.0862997246696209-0.00634731293298473i,0.0857890195529662-0.00588350682249296i,0.0855989994348559-0.0055286376853294i,0.0859453908437831-0.00578915667307449i,0.0861516788052229-0.00587710390055429i,0.08651840223935-0.00604302968734471i,0.0869360383051735-0.00615911318008084i,0.0878183534853348-0.00634234501184221i,0.0890718717698524-0.00648479784175781i
0.0835214560040345-0.00615778978709007i,0.083281374926309-0.0056091784564419i,0.0829626797576391-0.00536403483409351i,0.0827722015035407-0.0051281985517402i,0.0830994765587217-0.0052420923466505i,0.0834268380327556-0.00531849490881078i,0.0836847990935375-0.00541860629307848i,0.0842444394700314-0.00558524483039601i,0.0849466591016055-0.005545290253918i,0.0862859790226013-0.00572708842169771i
0.0809081173810349-0.00515099082665756i,0.08082047015094-0.0047185314515297i,0.0806810791888564-0.00448034204616636i,0.0806098112454812-0.00429108842482611i,0.0808745296206184-0.00433370550650109i,0.0810753771891629-0.00455202563359849i,0.0814470138039614-0.00449592839963263i,0.0819739641287999-0.00456919737183158i,0.082614829906469-0.00459496055380234i,0.0838703748744671-0.00481646357342388i
0.0782547616881946-0.00360080904595147i,0.0782844618788643-0.0033211476211235i,0.0782455552835543-0.00322600034576139i,0.0782949481118458-0.0030698831191102i,0.0784260934854676-0.0031176669257648i,0.0788136445720509-0.00320824854709954i,0.079097235266604-0.00323195180097563i,0.079518435970613-0.00331665576664562i,0.080342531687633-0.00325580909095639i,0.081419579972198-0.00346693411073474i
