1-0.204795776943048i,1-0.219740015848224i,1-0.250297805481872i,1-0.258466199125306i,1-0.2387792151312i,1-0.193815486886029i,1-0.181067471970058i,1-0.171003723496347i,1-0.164083930163562i,1-0.175022283813627i
0.956315407703461-0.138492569734403i,0.927193913956418-0.17869825062908i,0.915518130049154-0.196245363977394i,0.918826249352577-0.214482449638805i,0.896791071318437-0.217383418726991i,0.927513706137107-0.160905727299145i,0.935316704064562-0.139864185197113i,0.937963528186478-0.133815126371326i,0.938683263094178-0.130967127473986i,0.940766192224615-0.148802365738169i
0.923742980302147-0.102852209912853i,0.876741471245753-0.12394102482896i,0.858039152674871-0.136305807175132i,0.851994647706409-0.143330353601556i,0.82375516732083-0.139492146552117i,0.885590734975333-0.104005617069769i,0.905301745482987-0.0888908169338586i,0.895470694580251-0.0906495290641941i,0.898536677620478-0.096188706289959i,0.896599681576395-0.126446078988217i
0.898556092554394-0.0800307628658472i,0.847307045933256-0.0946051427653777i,0.832046465836952-0.105941238466269i,0.825299337955212-0.107323193985859i,0.801697645017129-0.0969588341929495i,0.863943207938222-0.0758376278293316i,0.891035453894524-0.0702171220685479i,0.887972552833436-0.0701245175287405i,0.88262680063996-0.0758641232501557i,0.863948460644468-0.121541987121129i
0.865639656222707-0.0838633811553645i,0.806977345969229-0.0888322790188307i,0.781934449148133-0.0944414196975426i,0.776857336890129-0.0957989050736896i,0.751709479815174-0.0909198015840595i,0.834863062552978-0.0770632812817313i,0.857380011545302-0.071404389911174i,0.859419802860556-0.0717558644180645i,0.841512876940577-0.0899371087611285i,0.788142836604161-0.152611906411622i
0.838452668007152-0.100553494949588i,0.778264341710977-0.100797991759245i,0.748942993847423-0.104219968801278i,0.74122200655985-0.105104588076625i,0.727027084131124-0.0965288765802901i,0.81165793119341-0.089950232343913i,0.840629410940889-0.0880597728498287i,0.836385779058368-0.094690146737511i,0.800430556213389-0.127138523580314i,0.711874447651504-0.18840213387308i
0.800186861985052-0.13187037793894i,0.740807313222463-0.124619281378992i,0.717888301911931-0.115748870822949i,0.704608600940708-0.114766683127751i,0.688541082298729-0.108194900701771i,0.777919909768269-0.108850438450635i,0.803685300281108-0.111253229915679i,0.789372965057255-0.12248631292515i,0.745324531302291-0.159118515363988i,0.615188543311953-0.204532546943336i
0.703755954207151-0.196139647432731i,0.657416455421816-0.171989814656638i,0.642123877496433-0.166328463125887i,0.633479230217978-0.158969775343779i,0.621519751472968-0.148989553986874i,0.710422153853161-0.161485463713509i,0.729320495388155-0.175708254980569i,0.701876459882663-0.189581880150009i,0.629717178046783-0.204209498337485i,0.483686774367018-0.193469136997043i
0.595319039909699-0.233219869883676i,0.562488015692465-0.212212281707744i,0.556574014490148-0.203650267883543i,0.546832951309345-0.19596642579991i,0.544098819674236-0.189923748882367i,0.618590593386792-0.212229213517044i,0.636532953893213-0.217747503385946i,0.605968246033023-0.225408617827984i,0.522586247706196-0.220641418685514i,0.402343205231336-0.183104921095683i
0.475693045492974-0.244196717209202i,0.454524668503761-0.230627347295521i,0.45040040779893-0.219222393432419i,0.4536342327879-0.216238745045284i,0.443068348118735-0.214383016760069i,0.508131201021279-0.240736409727169i,0.517454706308645-0.247702444656148i,0.488002287783494-0.242129935476272i,0.425670136155171-0.223481872425468i,0.324084180833244-0.177944306296425i
0.320865931567694-0.238898802683238i,0.300771893931265-0.228647501755714i,0.304960997349204-0.223831166528161i,0.300354898081271-0.221533904193451i,0.299271644474712-0.217668218424657i,0.342823577300473-0.246597094063974i,0.356582572956507-0.256614333292229i,0.332149603401919-0.244368392264746i,0.285030505163217-0.213188246462856i,0.217305346218957-0.167431184340241i
0.210122238621908-0.227154934771306i,0.191812167408963-0.211797956273819i,0.194973605467656-0.213062814599334i,0.197595437154857-0.210088890070233i,0.202026802785609-0.20926491444437i,0.224063765513162-0.235627338693097i,0.230982784252037-0.243647284016933i,0.214983056996332-0.228717205395766i,0.188836839281514-0.20077937109768i,0.145480952906582-0.155236992077057i
0.110060737312808-0.195747325323165i,0.098073919726074-0.191857137152966i,0.10076322477918-0.187151684821423i,0.0992535764509525-0.18973456010411i,0.106103208926956-0.186077168121088i,0.124975778306349-0.210299410475788i,0.119448517972298-0.215847705780813i,0.11433360683141-0.203437441832713i,0.100276812869476-0.177494492323615i,0.0766147658179204-0.13594393630246i
0-0.147279702303111i,0-0.140691796006929i,0-0.141588176427846i,0-0.140730609896426i,0-0.140772369354456i,0-0.162712439330256i,0-0.160879446071864i,0-0.155530743448397i,0-0.136705289304167i,0-0.102120457397045i
