0.105609373757143-0.00512198586052616i,0.104815110646496-0.00551833945621146i,0.10412817371838-0.00580056269550244i,0.104082908967181-0.00612916434619293i,0.104663479573969-0.00547129208231707i,0.101977930439182-0.00390078925499265i,0.102319786063023-0.00366168216026469i,0.103836918156763-0.00384608292358134i,0.107357935952558-0.00421198299060971i,0.115858449609973-0.00596507742573378i
0.104464643695745-0.00347051453093372i,0.103081165904333-0.00438037383496067i,0.10228169281062-0.00463814097682936i,0.102159075958546-0.00481127361616103i,0.102340903649384-0.00511097420735406i,0.100794265272497-0.00328143149371459i,0.101005597724038-0.00269414108859012i,0.102600978137357-0.00300792507799165i,0.105894788812347-0.00342563132368247i,0.114086916276536-0.00496707659256058i
0.103837453673463-0.00239548712716042i,0.102058046428946-0.00295341698386149i,0.100861529053152-0.0033100643006409i,0.100777619895459-0.00329350860467436i,0.100545762456684-0.00336829553633653i,0.0998876785485387-0.00210669387882462i,0.100516124800309-0.00177620707823314i,0.101833617772332-0.0018840236620574i,0.105025220697787-0.0024388777270521i,0.112467769633824-0.00406659434060792i
0.10343437000779-0.00200484433134803i,0.101263334302543-0.0023794290764474i,0.100116751553891-0.00243181015069651i,0.100101471048377-0.00253560743557284i,0.100014027839098-0.00228642599523522i,0.0994900759418774-0.0014986844732068i,0.100198304087514-0.00140106978689711i,0.101604432314359-0.00157922495631971i,0.104450666336505-0.00190528204054426i,0.111400482574902-0.00370773853572422i
0.102405417473642-0.00208694882789626i,0.100190785925944-0.00221995938778095i,0.0988716678812543-0.00223707289403546i,0.0988717645344603-0.00217990892517696i,0.09867524530003-0.00213215045387406i,0.0987877347456869-0.00143129998439119i,0.0994603447577115-0.00146260672360998i,0.100857332173952-0.00155136625588596i,0.10344916234405-0.00212931447823398i,0.109133214399617-0.00473111620656038i
0.101498069331325-0.00255624799153199i,0.099419149216452-0.0024836512530287i,0.0981724612033734-0.00243659555278171i,0.0981320344419401-0.00241872306618626i,0.098096163582509-0.00233386136766444i,0.0984010686313393-0.00185369473832616i,0.098951525788423-0.00180082809153574i,0.100267758695193-0.00197035167282432i,0.102640639999053-0.00281994139128222i,0.106946065982004-0.00576182790502229i
0.100559679643639-0.00324429294965648i,0.0983164305747289-0.00281926197960284i,0.0975239663822586-0.00259225954352974i,0.0972013048868606-0.00244920518398975i,0.0977486021563497-0.0025555040687113i,0.0977618838993719-0.0020838273063328i,0.0984944148386876-0.00238399302665735i,0.0993936114421114-0.0025597419092713i,0.101586367617794-0.0037587376330381i,0.104189278737338-0.00642811636264178i
0.0984003218816066-0.0050682827450159i,0.0965772277464688-0.00395254229028652i,0.0957441438365835-0.00377483359322328i,0.0954517687169537-0.00365669369419392i,0.0958731975574516-0.00360578220089882i,0.0962207132988979-0.00350389399702249i,0.0967226698079618-0.0034640683687478i,0.0977803292511578-0.00401338935104241i,0.0987238168352024-0.00493570626996847i,0.0998690475587938-0.00633569107160313i
0.0954435460229079-0.00593823878402179i,0.0944223116160541-0.00513285228853206i,0.0936733103850031-0.00470925959710045i,0.0936764457907953-0.00461488011640166i,0.0938575210035138-0.00450451980990619i,0.0943658226537583-0.00456431234070385i,0.0948150675250967-0.00456668030419258i,0.0954762307625977-0.00498271877676105i,0.0961047096508984-0.0053573799579989i,0.0968994005114189-0.00599744107858881i
0.0924682080152424-0.00628942098176977i,0.091806705012834-0.00559611813550589i,0.091236525521743-0.00525104610359247i,0.0912708765289185-0.00515574504684283i,0.0915238454462188-0.00518592743787512i,0.0918652000903462-0.0050323435197657i,0.0922763242279548-0.00513469613601209i,0.0929456513896651-0.00540129239611127i,0.093552221399348-0.00543039931851257i,0.0945637068548081-0.00580523910334839i
0.0883874961698453-0.00610063625975797i,0.0879723640487589-0.00558534488965847i,0.0876710605915458-0.00551490988333647i,0.0878088593112197-0.00520502404246235i,0.0881205397727353-0.00521980259676778i,0.0884734605759-0.00521050785494812i,0.0889495377978224-0.00533607813397638i,0.0893444461071026-0.00541192329381805i,0.0900932285929775-0.00549965658946362i,0.0912512581869164-0.0055048734981226i
0.0854488664738853-0.00561127322017553i,0.085317251154369-0.00515828383413509i,0.085062684366085-0.00508535451614094i,0.0853039404508719-0.0050027286143989i,0.0856042441022724-0.00497202227346896i,0.0860505533547322-0.00488784483438384i,0.0863545007612382-0.00506296475417801i,0.0868993194319623-0.00505288405262265i,0.0876728994856512-0.00510304030471326i,0.0885583793647663-0.0052133927596385i
0.0828089543493587-0.00514070716848901i,0.0830122321623522-0.0045763758318721i,0.0827986332309234-0.00450285220830801i,0.0830811090832579-0.00441037405911188i,0.0834287165735297-0.00444444216010076i,0.0837654519781226-0.00435067712102915i,0.0842442939832641-0.00443744276629922i,0.0846699611612725-0.00438938371359549i,0.0854265488754574-0.00442648362905304i,0.0862578605706992-0.00458617923381101i
0.0801767178898237-0.0037665139054538i,0.0804702179464383-0.00342074275626776i,0.0804118413917669-0.00333903859203592i,0.080657453668951-0.00331967009134972i,0.0810516607913621-0.00322737460631525i,0.0814581105108989-0.00338865343367618i,0.0816469182276099-0.00333149817440425i,0.0821613481820778-0.00343638648332434i,0.0829367861488441-0.00337211889675248i,0.0838392624036218-0.00352292156374061i
