1-0.236951987430852i,1-0.218680878225535i,1-0.248435114036069i,1-0.262745676307716i,1-0.22505105636111i,1-0.187034390015712i,1-0.165144732023896i,1-0.163472952548787i,1-0.159266856399226i,1-0.181680052405696i
0.95866445015728-0.145662947863153i,0.921844856662473-0.172054423559733i,0.916809667529826-0.197871993886273i,0.919989970440595-0.20547880396317i,0.896572905146119-0.216879002721035i,0.935088463724372-0.150104519816095i,0.943758321168309-0.123807452746471i,0.947972768136852-0.128565151828041i,0.937595470269108-0.138318778592947i,0.940400302350882-0.149998474416512i
0.928758222746467-0.102456687553684i,0.873860235439962-0.121268483091139i,0.864241956978977-0.134031745364075i,0.859321812010848-0.141407075424024i,0.819945835116082-0.133258745751264i,0.892103752087109-0.0964089733422145i,0.915008566489493-0.0870956568574537i,0.91423948831057-0.0830623776268227i,0.901432161846009-0.0922312793293681i,0.896268131152706-0.114279169613319i
0.902261221552121-0.0807418195518772i,0.846794651474558-0.095729019912776i,0.835294201342822-0.0970195401545843i,0.835585700591489-0.103203948949548i,0.803866838880932-0.0952351219612065i,0.876648519169686-0.0743049370581296i,0.902882548990121-0.0640659263044548i,0.901154627932889-0.0660544233507658i,0.887197801078557-0.067539147257033i,0.869277770051081-0.0999170223498901i
0.868188670868107-0.0749936871473719i,0.80375412081934-0.0816432657579138i,0.789812394717619-0.0895975392839482i,0.789701224033159-0.0866344895680554i,0.759156194657565-0.0869085798298296i,0.846323094108452-0.0690628063484413i,0.870210905473788-0.0671061105241675i,0.868184946748737-0.0657011328840898i,0.851964067869944-0.0784898589086418i,0.811591059500789-0.115677099675946i
0.844322414913409-0.0785677667885359i,0.781083580792888-0.094457800654747i,0.758789936179504-0.0945015131083814i,0.756394411585513-0.0950989345024647i,0.731293042394842-0.0908107713759827i,0.821204803168363-0.0826459153299464i,0.849566173545572-0.0859193961488485i,0.850271012682922-0.089181672621143i,0.827325960470412-0.0994214005500693i,0.767517718988194-0.144433449151169i
0.819040427650162-0.0993827372334376i,0.752168567056837-0.108091925522046i,0.731413605200953-0.110223172348802i,0.720708064985629-0.108503191376264i,0.703157879676211-0.103426293684001i,0.793091496968286-0.109417326957423i,0.823002444687431-0.108986292664886i,0.819486342783985-0.117665452670716i,0.789925766711004-0.130717897170263i,0.700524792041146-0.170897697074316i
0.760124193227617-0.161252701691076i,0.684574382934147-0.165287080361804i,0.661532422433558-0.161496029169235i,0.658384913381335-0.158875279867654i,0.633090293045003-0.152392199814619i,0.720231210535558-0.167959571426873i,0.748551723730545-0.176393577149575i,0.739512843207459-0.186041379769317i,0.694632873344943-0.199022291346155i,0.57752311655184-0.205668195486484i
0.665594402397908-0.222640525268025i,0.591622184294595-0.212370297662306i,0.578627042422332-0.203002362393844i,0.574996934375749-0.201937793251968i,0.553796372619866-0.194602874662349i,0.624872580966021-0.220858234344322i,0.648367587331906-0.233347806254475i,0.629105888768228-0.239026761865676i,0.579582614601243-0.237839845866453i,0.471579153712334-0.215731827553031i
0.542026017442753-0.262661883175027i,0.47864972691183-0.2432244724683i,0.468848975978268-0.235920060719614i,0.464257130781008-0.233575839742918i,0.451715709267966-0.224833770571377i,0.504899708422981-0.253355397617554i,0.521355278018526-0.262641972596731i,0.500812076248211-0.263388504569256i,0.454928899612803-0.249590813923051i,0.371603731593783-0.21295996253496i
0.362465074183069-0.271473766169483i,0.316531656327428-0.244273904467869i,0.305298500128319-0.236421510818938i,0.304227402346787-0.232674637772404i,0.296852661317811-0.226967929397092i,0.337502573591089-0.255453580978933i,0.341422062553-0.262875806426516i,0.330276583806202-0.257043677408886i,0.300597926452473-0.240899392174477i,0.243456240717695-0.195906361565923i
0.233479271487759-0.252862148414964i,0.199717420945751-0.221646686655632i,0.193483413938335-0.218725313628817i,0.196065850051522-0.213616533338504i,0.18551816455815-0.211340880834214i,0.210915228761622-0.237497971873836i,0.218824256156912-0.238530295158581i,0.208845394851705-0.236178613749904i,0.186117892929937-0.220493045482672i,0.153038500980638-0.177668514328857i
0.116039025131423-0.217520411851929i,0.101990843584497-0.187082479786579i,0.0944269585483301-0.182926378016628i,0.0987911544701954-0.181724460764807i,0.0954239088766637-0.181906469093651i,0.107405326339609-0.199590182205814i,0.110908698240054-0.206627874680161i,0.10740697453004-0.197442067740882i,0.0956625292353165-0.18198829566588i,0.080041620444502-0.149002364536382i
0-0.16057098092048i,0-0.135655284954584i,0-0.128846120998487i,0-0.130742026533083i,0-0.131276673200886i,0-0.144949484840564i,0-0.14658238295818i,0-0.142432550124009i,0-0.134394400522041i,0-0.10763053380676i
