1-0.187064893349793i,1-0.20797115547242i,1-0.228830397365546i,1-0.248128836847641i,1-0.205919504082976i,1-0.173900245231231i,1-0.169829176005149i,1-0.163594400641502i,1-0.164908906361865i,1-0.184468601011914i
0.974286304924473-0.123903786771697i,0.926464056828966-0.163901153468846i,0.927377107893488-0.187905079606866i,0.926835272448956-0.194689425367455i,0.904584901637929-0.202112246569786i,0.94285218453514-0.14970509831277i,0.951495287558908-0.123783812984453i,0.941829998463522-0.130990674587985i,0.944444225048471-0.133815805222841i,0.947132600559353-0.150019161441818i
0.945929600231715-0.093354929438228i,0.878652101378439-0.113634670319514i,0.87394520038292-0.125765884188446i,0.864499398870375-0.132331671912264i,0.833612501464655-0.130545411603862i,0.897789094854758-0.0924025768191097i,0.915368411011747-0.0824552951348431i,0.908410462443617-0.0905074866915883i,0.903033127191631-0.0870160070214131i,0.900008676974274-0.117540744257595i
0.920213643001645-0.074377853230728i,0.858518103999969-0.0887796430269581i,0.846841051128032-0.0985747188571945i,0.837245032138076-0.0985733462378463i,0.817743879368843-0.0891405655803585i,0.883008492902649-0.0716192361618567i,0.903117035551-0.0643875610790982i,0.897906058315544-0.0617086055154546i,0.891292344954998-0.0732127483460266i,0.866655106983023-0.107262515306861i
0.888324694012179-0.0831043856686004i,0.819077496007195-0.082715401290839i,0.797532568410537-0.088292199848394i,0.794693951347129-0.0914084721676253i,0.770500508204224-0.083214462081876i,0.849486558307089-0.0706939979415982i,0.874559728803865-0.0678275941610751i,0.867046294654385-0.0677243596624976i,0.853473382573382-0.0792067702693794i,0.812713377629423-0.131902602499475i
0.86212289573689-0.101851395510776i,0.788207110526881-0.0945888769564396i,0.773287358362184-0.099931308609986i,0.763898378217514-0.0992244256392609i,0.744980551376063-0.09723547210776i,0.826573587692715-0.0869932470764101i,0.848712378773964-0.085204405767338i,0.841751187573055-0.090520111528539i,0.821164092293775-0.106113661135594i,0.753048448904224-0.161601955140937i
0.824209082037846-0.139348514187788i,0.75534725173866-0.126684287541993i,0.734788475883036-0.114352037267492i,0.725431693374948-0.108079581754807i,0.713557024473062-0.109829560198726i,0.798016493639857-0.108408406516443i,0.820117453803618-0.113357288409685i,0.810179293784355-0.122282707351854i,0.775145406342678-0.140516318977096i,0.677831653601597-0.186174481369881i
0.726246318396279-0.205713829844767i,0.678177882053118-0.176980684578289i,0.664579401804754-0.165333865637858i,0.654094534687564-0.164260859842933i,0.645010399708866-0.152123293193025i,0.722425581438481-0.172967483723306i,0.747863540315997-0.175336335889134i,0.730532586155451-0.183109058197133i,0.675473991992688-0.199679197212473i,0.546955280157701-0.20154571513777i
0.608640223548019-0.25281848030595i,0.577052173479945-0.224984440708556i,0.576030164396974-0.207733132356737i,0.567935083584757-0.201626920240159i,0.558973933353746-0.200953831145915i,0.62951775071027-0.222229154285973i,0.643877225162358-0.229833087684611i,0.623762731863795-0.235534603101417i,0.564368620535796-0.226498905551215i,0.449324845389268-0.199354626710486i
0.479553252520422-0.263805218069842i,0.463526473088455-0.241747884294731i,0.463593054615954-0.232811355536353i,0.45908401669084-0.233915779127298i,0.459160763016417-0.221871209434409i,0.511039169637785-0.254810535177907i,0.52448567574358-0.264142112989483i,0.502148826237875-0.255225106877258i,0.45287862468081-0.23794941243941i,0.360103253535504-0.196579423271978i
0.310342236291908-0.250577949922451i,0.300439351771903-0.24210107372811i,0.304854391104356-0.236932181153391i,0.308888923587708-0.234274007451307i,0.3053333741719-0.230996450465577i,0.339419681515532-0.257563863600826i,0.34642422487239-0.262023608736498i,0.329036783449357-0.253963019628346i,0.301489170250629-0.231473015436158i,0.244656806342688-0.18808250199065i
0.200157937715114-0.225952529241889i,0.192231663312958-0.217426355440585i,0.19423831082557-0.217029040332722i,0.189885542254596-0.217738665036949i,0.192424636437364-0.210458391176139i,0.215315521168525-0.236294349721892i,0.223466577943107-0.246287638850175i,0.211321083239442-0.231683833705532i,0.190419776892446-0.213038589460907i,0.1562389963443-0.170981191933224i
0.100012070828928-0.190015304134846i,0.0972410442003079-0.186846691656098i,0.0986252088462939-0.182458439204213i,0.0993522243357879-0.186311814085453i,0.0985375085411551-0.185328093938531i,0.116529048536189-0.208254539205793i,0.110828554031679-0.20999532465255i,0.107616499124865-0.203424837368984i,0.101111510523166-0.182496578916539i,0.0825764437569166-0.149172185001133i
0-0.140778570915084i,0-0.140279888007316i,0-0.134627295012949i,0-0.134506072428287i,0-0.136498477369578i,0-0.149260704296484i,0-0.160832070922858i,0-0.148700839852487i,0-0.137386906226173i,0-0.112636100997463i
