1-0.234441232481858i,1-0.223895973150596i,1-0.248883318426362i,1-0.260871037113921i,1-0.227423841970968i,1-0.187564750531924i,1-0.166288838921505i,1-0.164264986271207i,1-0.170769355810332i,1-0.186513976157468i
0.962308662923621-0.146692334205704i,0.920324362773741-0.177355413953434i,0.907704939612287-0.194640121106169i,0.917929424141278-0.20432959192504i,0.886945867583019-0.215203565842596i,0.930852631430975-0.148225497922272i,0.945165945978963-0.132423089652728i,0.936043902820486-0.134963609365997i,0.936220106087815-0.141213871433632i,0.9353283372891-0.156350835144838i
0.931095194535524-0.102138848637797i,0.869141377366101-0.120671972296049i,0.852988581422894-0.132350661121741i,0.85677590986527-0.135119481985174i,0.815017676227148-0.132859796030018i,0.891834470541248-0.0933597514309635i,0.912514441363518-0.0857533216796249i,0.902768919154627-0.0860276622645979i,0.890266854494514-0.0928484959352811i,0.887600119054459-0.115684669331671i
0.900427784078857-0.080433533903325i,0.848802153264417-0.0920167973472555i,0.830640796636789-0.0981727466756994i,0.831237802814829-0.0997082116619997i,0.806948950547814-0.0895941149850826i,0.880095196066008-0.0711851888306572i,0.904346119743065-0.0593195853207549i,0.894123220612618-0.0697674058335566i,0.882051568364117-0.0720950389883311i,0.858384180687281-0.105997125499849i
0.872542696033859-0.0763328273511779i,0.807414235469101-0.0830365417180446i,0.787338212231851-0.085589202670286i,0.784870552522402-0.091994180133221i,0.756259420941264-0.0854097905340659i,0.84257761220021-0.0741633338379502i,0.874938957921777-0.0665477674780314i,0.864539672655887-0.0691828065562711i,0.844223158981704-0.0767285150195203i,0.806219833510505-0.118514028938632i
0.845560462451088-0.0817586959733604i,0.779963296586413-0.0942278550188747i,0.756434637856914-0.0996169537027499i,0.75849848340358-0.0949567533934995i,0.730950800984128-0.0927609294227321i,0.823468843735198-0.0873966675824787i,0.85502234109807-0.0862370347379214i,0.843203480821758-0.0882041722406575i,0.820239989556168-0.0944202994766371i,0.759318578930966-0.14478171835818i
0.820278808480253-0.0975592897442001i,0.751584801454357-0.106542974417789i,0.726120455315178-0.112509586589578i,0.723871387777758-0.110783414417574i,0.698624271521364-0.101737407374166i,0.796087100497515-0.107276433863892i,0.823596878513355-0.111799105548023i,0.815315029817232-0.113274483250299i,0.784493412821308-0.128320819240838i,0.694900317514899-0.169791189432163i
0.762885891319248-0.157867458056749i,0.677301656437279-0.158143763666002i,0.656511314785156-0.16034162141899i,0.652717648714752-0.158955776710889i,0.630178816025697-0.146881052461556i,0.724471231342148-0.16851238901523i,0.751699792839215-0.178004783281928i,0.724651899925599-0.182204510646018i,0.693270345445049-0.192730284824282i,0.568471384481133-0.205881318419064i
0.6725523413617-0.215410785016022i,0.595034903375085-0.203813910267274i,0.579948864114942-0.19812524624534i,0.576224304089439-0.194280665777849i,0.552403553171428-0.185613496215546i,0.627238961361194-0.218533606092498i,0.646082445592028-0.224630649561761i,0.632107960363824-0.232712489460782i,0.586041718429688-0.232730232378374i,0.463116210499894-0.215719956362907i
0.557072804497353-0.255884146034334i,0.486092988315917-0.240365632800029i,0.473699137673563-0.227540607556085i,0.47300465592305-0.223633460609131i,0.452584803672273-0.210240658317037i,0.515117089970781-0.253422143225404i,0.533301862673229-0.261956396158613i,0.510412416220598-0.261235197369277i,0.462873217981699-0.244810714935684i,0.365183061314554-0.208736655205549i
0.373820593528509-0.279101331192906i,0.322505180403836-0.246261624130177i,0.313245519460397-0.236703523636824i,0.315307918301223-0.235320663580459i,0.306294479895705-0.230444608412903i,0.345075853346988-0.25655464994495i,0.350777306183009-0.268025545911947i,0.328382843360851-0.262963693753654i,0.308317979704991-0.24064466120395i,0.240612239839221-0.197207625568892i
0.236777501340976-0.254383119561538i,0.202068766030448-0.224775511191875i,0.19972662338888-0.220102494644659i,0.19952338321371-0.223424351701164i,0.195299685507089-0.215584428226073i,0.219200601105453-0.239797207271512i,0.228270414293601-0.245821858556194i,0.20831145168174-0.237462105449143i,0.198832356041458-0.215175066051437i,0.150974781149874-0.176375271886409i
0.120693836000216-0.224506239051331i,0.100597313560137-0.192974501396511i,0.0993583785922409-0.187758658509945i,0.10471171344088-0.190074465490009i,0.101215674495476-0.181476499031786i,0.107236960224428-0.209190852358965i,0.112200752943512-0.20926446678322i,0.0992699592570208-0.206143860542364i,0.100369715218959-0.185687701523206i,0.0757424198271234-0.147408272064517i
0-0.161048546699275i,0-0.142058852153516i,0-0.138724515438209i,0-0.134004548806986i,0-0.134539595560667i,0-0.150104033395963i,0-0.158420476411463i,0-0.150490187303643i,0-0.13736982441568i,0-0.10997891783717i
