1-0.193320251983712i,1-0.224559736621433i,1-0.259177245786114i,1-0.269981020470558i,1-0.200359330211588i,1-0.16776292458123i,1-0.166569867196638i,1-0.16255586092442i,1-0.160022811969278i,1-0.188841177735131i
0.954379702538452-0.123926480663153i,0.923701285625732-0.173452293130457i,0.912491685605626-0.195591036606361i,0.914908460055192-0.209379200271947i,0.891840664778265-0.209828464877915i,0.939044639001068-0.137119254088361i,0.957546211711125-0.113586310237946i,0.951824019072284-0.120877316252004i,0.93803880269291-0.126182225026659i,0.937907060998213-0.143837045197596i
0.925641323285848-0.0900255369638081i,0.876447246656912-0.120641742415642i,0.860139423797101-0.130844072792835i,0.853091490530487-0.14219863462016i,0.804514458023907-0.128473988200086i,0.904918848805052-0.090393747538943i,0.922275284013083-0.0748180612191639i,0.917972458501279-0.0819348747832355i,0.900715846492344-0.086932131536832i,0.893742843180429-0.105711568244659i
0.903054122356833-0.0725027374954612i,0.847607254705161-0.0893193280071163i,0.840529201129345-0.0919199117570349i,0.827759358677445-0.0996981267866497i,0.800093141529636-0.0843031341550299i,0.897091278771862-0.059968910503681i,0.914768803053156-0.0648436837156192i,0.916173014446931-0.0582663676615153i,0.894786007234803-0.0645918507540182i,0.875244295414687-0.0811243080695143i
0.870984122213553-0.0743761376259913i,0.811647424957552-0.0771875824130328i,0.793372524091409-0.0763287225580947i,0.787143107172562-0.0858032334964471i,0.756001091675494-0.0689269502754352i,0.866944234624735-0.0564757661435692i,0.880477373689634-0.0549432410481053i,0.882814629629399-0.0592363416183468i,0.86692789888907-0.070516332796564i,0.831782757298265-0.084298123168488i
0.845818805085637-0.0850527990046705i,0.793012973482415-0.0872918725711856i,0.773343742304284-0.0893942734513966i,0.762383534626076-0.0858507318312794i,0.734869287796783-0.0791574493593803i,0.849724787702715-0.0812458834851698i,0.870630462228079-0.0801046001427128i,0.869868495622634-0.0854653057196344i,0.842001235946414-0.0907852316432972i,0.804428193296998-0.106803830859711i
0.813506567231631-0.116800359555587i,0.764988417512571-0.100971507769612i,0.740182830439834-0.110492029411182i,0.735970954640262-0.101616614527012i,0.717744206296809-0.0929228199865886i,0.831670382023253-0.114374821262537i,0.846660143057299-0.118705623145635i,0.831538792444205-0.113053852639903i,0.815108126079608-0.116519006110475i,0.769454964077958-0.134287732051709i
0.73528473626891-0.180288615190609i,0.692067348251264-0.170607677456114i,0.675904509951009-0.165959056443145i,0.676276171922611-0.158363000180198i,0.648763919470127-0.151079338315813i,0.740535025376002-0.170908530006973i,0.751691810030873-0.192133177560002i,0.752876655970908-0.187979544200008i,0.734998430834367-0.187505578531427i,0.666806155116772-0.200757810520853i
0.630008434521313-0.232498602981143i,0.598192798809241-0.216750183363851i,0.590190591702773-0.20490685377837i,0.582582922201635-0.200347737570739i,0.563890669368352-0.196823792207396i,0.632890275494179-0.22322536164423i,0.650263546971173-0.237533621675647i,0.647568044936887-0.243041293736975i,0.623634435340725-0.246058290385338i,0.554163607779452-0.238626289911986i
0.50099671307638-0.26208644631423i,0.485032946698726-0.24283204073516i,0.482573712694839-0.2385925810303i,0.478598314194123-0.229549384521524i,0.45955635046729-0.22559554502607i,0.51457440019023-0.254735990180111i,0.520223558757667-0.270299149005168i,0.511418064110263-0.267958498250457i,0.490548334840064-0.268127556478514i,0.425876359327444-0.248217154649639i
0.330007681840991-0.264443212210136i,0.32015153955654-0.248632953007915i,0.317426956321687-0.241970388133906i,0.318369660942089-0.241758477857954i,0.311184753969199-0.225920362178372i,0.338243014318194-0.263554234597624i,0.33923240605485-0.271150408821042i,0.335655233027915-0.26760305886796i,0.312243364988105-0.259900257744805i,0.267458029841661-0.235216293270238i
0.207983694714794-0.234653927370707i,0.202726386918914-0.225774952351847i,0.207687250090699-0.220846088038449i,0.204694923178711-0.229257372272713i,0.193918777029316-0.21928893938429i,0.212299279673808-0.23842097712872i,0.207914314974727-0.241303486394709i,0.205937190844128-0.238746679926659i,0.197605170404874-0.228835125067855i,0.161875540461272-0.197575317876008i
0.099897345486408-0.19416592243521i,0.100355959833802-0.196231356990115i,0.104089535843617-0.189056210687427i,0.0974995945755221-0.191619677166565i,0.0961502379687616-0.185525550916628i,0.103834244402302-0.20355670241292i,0.101458995965593-0.201036935724539i,0.103302086293568-0.199190558372524i,0.100859516042975-0.187496623487211i,0.0808047790445265-0.162684468979644i
0-0.134038535496519i,0-0.131796742496361i,0-0.133890650945659i,0-0.135201506190044i,0-0.125805846388314i,0-0.136583254399422i,0-0.139102790880372i,0-0.136402561959232i,0-0.128852208932355i,0-0.117154819558886i
