0.100586367390334-0.0048550814133822i,0.103499123719109-0.00526652555537031i,0.103710109077143-0.00577202904850912i,0.103695586260683-0.00583844277631328i,0.104212384024041-0.00535956401387948i,0.102015459988153-0.0038687072810392i,0.10210172775338-0.00354316304134614i,0.103485367205459-0.00351714222673123i,0.10710990443578-0.00408003605311924i,0.1156983967893-0.00601861605061486i
0.0998065396914561-0.00288697109737513i,0.101764037603013-0.00409293186606246i,0.101817311723121-0.00445258566001271i,0.101869077669833-0.00464054640471219i,0.101872304227233-0.00509169931383992i,0.100571023680389-0.0030332070453362i,0.101016246994539-0.00272315196775002i,0.102173444017305-0.00282194130385587i,0.105659595770271-0.00346118830628624i,0.113679729421131-0.00500484110888334i
0.0992589315515695-0.00208446331583456i,0.100679341302606-0.00270544893352657i,0.100555242211309-0.00300171574003968i,0.100458613533787-0.00307591569866018i,0.100062904777152-0.00316912678747322i,0.0998540742116212-0.00196959686874993i,0.100341798755839-0.00183322250230847i,0.101600501612752-0.0017676255174065i,0.104670890437022-0.00229452417548305i,0.112162306421782-0.00388280583389i
0.0986769697272317-0.00158849305206394i,0.100030199734917-0.00201481574318631i,0.0998813409343197-0.00224566643587949i,0.0997946284383789-0.0024359523704155i,0.0997448025570359-0.0021652121384684i,0.0994409744999711-0.00145142897672597i,0.100081745661724-0.00126121897544612i,0.101315916020256-0.00131603487822831i,0.10432490805557-0.00180158182719373i,0.111140957295007-0.00340991846540655i
0.0980773039065776-0.0014771049852542i,0.0990584497625868-0.0017736038889771i,0.0988218932428516-0.00203197179890208i,0.0986384193384053-0.00198870621469289i,0.0986649065395941-0.00199431391356148i,0.098731752403725-0.0013678695868634i,0.0993915172033753-0.00132124916608792i,0.100630433951489-0.00140105668023195i,0.103440424937483-0.0018419612506271i,0.109360173237661-0.00393663816416866i
0.0975763397649531-0.0016344521331511i,0.0985312809668916-0.00195328131355855i,0.098314947293515-0.00213541445947826i,0.0980284978527911-0.00222771007160737i,0.0979571929547857-0.00224186734257205i,0.0984223248643664-0.00168832931388735i,0.0991149352889111-0.00171182801255326i,0.100244895422842-0.00178605296656289i,0.102859380494206-0.00236605768880042i,0.107629980497715-0.00481944883129529i
0.0971905906320793-0.00198084254680359i,0.0978858442003185-0.00226263791717704i,0.097461761413665-0.00239566810876918i,0.0971029969921416-0.00245223491278635i,0.0973492074252589-0.00233919720759848i,0.0978296980451854-0.00214936408141313i,0.0985531712919293-0.00211512010297878i,0.0995997872663598-0.00237758274927054i,0.101945193006667-0.003172424706051i,0.105293035228054-0.0056339512979865i
0.0958760222790698-0.00316670185768945i,0.0963706396226792-0.00341531999570736i,0.0958841150683756-0.00339559331417385i,0.0956696553811232-0.00324479360386107i,0.0958423798667863-0.00340505762654298i,0.0963406164998887-0.00325937689223941i,0.0970858037347682-0.00350300088027396i,0.0978891489357518-0.00375913602490378i,0.0996720365393118-0.00445726393961148i,0.10133332404455-0.00635437681340612i
0.0941626678821145-0.00421089564169868i,0.0945809238332371-0.00433999177393247i,0.0941895511885218-0.00426689474898969i,0.0939699713019796-0.00433198638825347i,0.0941426079605012-0.00431729790870827i,0.0946928714621922-0.00418168991267761i,0.0951082491334242-0.00438465917333481i,0.0957795388449059-0.00476000679699159i,0.0970430038790901-0.00536346133456064i,0.0982065402218497-0.00646623190765007i
0.091950791646633-0.00499652835003641i,0.0923334069319045-0.00507941847731312i,0.0919138719961329-0.00500067492886316i,0.0917239871973078-0.00492830636969634i,0.092009947149564-0.00482967149165653i,0.0922582351742039-0.00498638188327052i,0.0928712012479256-0.00510001942237991i,0.0933806773449764-0.00539351272343698i,0.0943598400054491-0.00575664293815175i,0.0953789639724087-0.00628460321154155i
0.0884708263615323-0.00528416919586109i,0.0887132960030156-0.00530291038105082i,0.0884006717617193-0.00528361299331041i,0.0883898912013213-0.00515154856966401i,0.0885501979856208-0.00507464261714151i,0.088923136172138-0.00513779650527533i,0.0895572583181176-0.00531557526729945i,0.0896822819459215-0.00543927559898954i,0.0906739527592731-0.00559384028915805i,0.0916030324064588-0.00588923178308006i
0.086005120987055-0.00486959490307816i,0.0862041879537188-0.00497018722990238i,0.0859537619008262-0.00483575779144069i,0.0859255833516941-0.00488901433530878i,0.0860785532205486-0.00473995043505086i,0.0863735624964812-0.00490693679458205i,0.0868378831857235-0.00480254977992227i,0.0872703975841278-0.00496742185647848i,0.0880995523407642-0.00503091043269194i,0.08902766474811-0.00532125991441708i
0.0837043927041296-0.00428842827416177i,0.0839007443112051-0.00436357792780264i,0.0837602871959842-0.00425400042965769i,0.0837145091086028-0.00419042499195152i,0.0839234803421226-0.00402211492162932i,0.0843159436695663-0.00421068640335056i,0.0846182958728524-0.00422785320962065i,0.0850669680357941-0.00438057973670831i,0.0858674614699997-0.00437819659198099i,0.0868005062043273-0.00457427591629531i
0.0813951186620068-0.00312348397104783i,0.0815954773787123-0.00312748830374714i,0.081420635750171-0.00305410875320476i,0.0814756319588632-0.00298094562957765i,0.0816557430959182-0.00301756881291279i,0.0820535177833892-0.00314315596078966i,0.0822969176480011-0.00317268387873225i,0.0827420242979557-0.00315416338774093i,0.0835462485519373-0.00322340425082331i,0.0841945174437077-0.00340953656914168i
