1-0.235097193650478i,1-0.242797255009899i,1-0.27486167509938i,1-0.282925930975131i,1-0.26909118198707i,1-0.21419229250628i,1-0.180649693946155i,1-0.174838925228668i,1-0.174306086362629i,1-0.197553269418227i
0.960310795142712-0.150136875408746i,0.918147183752424-0.186620770202098i,0.915023742317861-0.213637096470534i,0.899497454943315-0.221934793118986i,0.887335570567494-0.235871069438928i,0.922680629719006-0.16953413495016i,0.944279096856606-0.135030166631642i,0.93956225879953-0.134714532571028i,0.936109532808684-0.141507094978226i,0.939047991026521-0.160909253347651i
0.935023837412217-0.108802546552533i,0.86191536776241-0.127318140901282i,0.853699699348157-0.143246183615986i,0.840793148556311-0.150270140299374i,0.81563167298361-0.150085434733436i,0.878985328627574-0.109689384942588i,0.916020896327137-0.0898170618291913i,0.907143364034928-0.0886622265964812i,0.896022745382155-0.0949435569942431i,0.893670460800383-0.125426334217424i
0.90215006071525-0.085704068207096i,0.840209309436019-0.0972208749288157i,0.823846445805296-0.106248407665512i,0.80523485651257-0.113295367975656i,0.789304278010314-0.103786977768485i,0.861726922496794-0.0768664289332879i,0.898215084472419-0.0656096219233617i,0.892978939154744-0.0666331028372028i,0.879415834714393-0.0731952198748805i,0.861163246472664-0.109461936431582i
0.865399152976888-0.0766610072864836i,0.789716137035605-0.0829066095603008i,0.770580504596243-0.0897124287841792i,0.756287306799446-0.09398476280928i,0.737540377131866-0.0920101712939881i,0.821345627252714-0.0711644017718257i,0.865120261047972-0.0689027098978216i,0.864068028699651-0.0693120074366186i,0.844187134317661-0.0824150432495383i,0.799635782748678-0.129874807453974i
0.84425581982629-0.0876936397544463i,0.766369022996429-0.0923434074392235i,0.742420545779905-0.0932960186506375i,0.726677832352448-0.0995024470370682i,0.710703266338288-0.0917170737346777i,0.805576464875582-0.0868550429322304i,0.844541086938705-0.087532206682674i,0.838132614986563-0.0899061366615154i,0.823813884237562-0.103686933589873i,0.744804620920079-0.154483053565966i
0.817702287584046-0.110167368643524i,0.737684018269851-0.106425211197834i,0.711832028161194-0.104185157624464i,0.69456592469645-0.105843115374912i,0.677913247012171-0.101557670647484i,0.779641022278365-0.0982512431251575i,0.821002531301595-0.107409327790415i,0.812389551163431-0.113267061347735i,0.783458353811715-0.134576810117258i,0.669327916985851-0.180665971076933i
0.743155226405178-0.17588032325901i,0.66940805757448-0.152610512174088i,0.647638538306804-0.146197988781273i,0.632797232718954-0.144627879101227i,0.622227482790811-0.137477210878461i,0.714866756354394-0.147729612612751i,0.748119214042965-0.165396445189009i,0.731516435527043-0.177726253660206i,0.684852403868021-0.19551730830971i,0.543816227135268-0.19962291501346i
0.64506512081099-0.230377816167349i,0.587661006735295-0.201600619920454i,0.569517792935522-0.192013079188491i,0.559138575443228-0.18417076334791i,0.550402441696239-0.183462229427252i,0.630525210862213-0.201189738448333i,0.658712835444827-0.22498515542265i,0.636824761363395-0.226730211955735i,0.571816944125443-0.228885339882927i,0.44923156810391-0.199409728008268i
0.517893823893605-0.257968371634302i,0.482768100300881-0.232413680819384i,0.472156765433002-0.220650265500775i,0.461100412181447-0.216756537202064i,0.455987015706886-0.209851846554796i,0.524304866691467-0.240707029660246i,0.538866233969743-0.252675134724889i,0.515640296316232-0.252910207771984i,0.462314472511199-0.237826410342928i,0.358279399031046-0.198261109597577i
0.34444479792477-0.256835238949201i,0.323373086071794-0.238901257023144i,0.315639949153999-0.232620265041038i,0.314086417865863-0.231322703969472i,0.311018809840422-0.225802720195701i,0.353053881956582-0.262414388454051i,0.361650837328467-0.263515434153414i,0.345602553809846-0.258733742363402i,0.310973611164726-0.234911855029715i,0.243813534091716-0.190598006775941i
0.221098023613831-0.24089747421494i,0.205267917106132-0.22469674684209i,0.20141645736218-0.215114986428718i,0.199298377773116-0.214831771307449i,0.199880195309863-0.215530578276576i,0.226275769436498-0.24513750851944i,0.232573246827016-0.251287589893993i,0.222545371532809-0.238083560506124i,0.198457996959087-0.218800546882098i,0.156781869411635-0.167997929923465i
0.113503661715862-0.208172370056065i,0.105226609732091-0.192979546940745i,0.101468514622612-0.188319277577999i,0.10138512906695-0.188688407770521i,0.104522704994974-0.182136781500277i,0.117614082643174-0.21521483286857i,0.124195892555051-0.213041962508438i,0.116114845512544-0.20475837124322i,0.103429579443119-0.185862690279448i,0.0840164362371846-0.147722033247509i
0-0.147964374866126i,0-0.134731381159736i,0-0.136360670039486i,0-0.136398524835536i,0-0.1295634508135i,0-0.154034658052834i,0-0.151685214620754i,0-0.148293525618532i,0-0.135669980686142i,0-0.109576930349562i
