1-0.229076968732577i,1-0.235254677715672i,1-0.262377120903724i,1-0.269860604930556i,1-0.248439203547576i,1-0.191346799573149i,1-0.180488477945307i,1-0.172202798079212i,1-0.171067232387122i,1-0.185978811632018i
0.951176388836051-0.148829655958485i,0.923111188076049-0.186091777368908i,0.914794340119487-0.200162243007847i,0.916889812828619-0.216085483433964i,0.89184753543153-0.22315470861373i,0.930311136913646-0.162293161824839i,0.946767809767213-0.132510723831317i,0.93654649761856-0.1373161363998i,0.941824652541906-0.143136374706165i,0.938177788836641-0.155995252017791i
0.920318144185648-0.108722873811269i,0.867293297410339-0.123885656111402i,0.861692511418676-0.132405106498257i,0.852640778500663-0.13855702553124i,0.827457090827644-0.139774750342057i,0.882348612445908-0.103250025540473i,0.913639996332315-0.0872550195187235i,0.913069091782221-0.0806728482790209i,0.902451107406682-0.0953812894738603i,0.887469289805151-0.120010643873654i
0.891598945339923-0.0841162320349133i,0.846863807973846-0.0966218837720406i,0.828743763424369-0.104477960055051i,0.830524834871578-0.110550682298535i,0.798782587364003-0.100403682838683i,0.868271314754094-0.0746482786352103i,0.897837534524716-0.0693106192417842i,0.899343618016022-0.064025856117164i,0.893284957474511-0.0721929762645994i,0.85905768961379-0.108538653653317i
0.856582449316587-0.0717354346419315i,0.800275312032875-0.0834601502253369i,0.788243367417014-0.0896782860431853i,0.776127921005297-0.0955605670091634i,0.752084820356511-0.0910859395850343i,0.838664852320727-0.0703010406468833i,0.866522717892932-0.0707947503857018i,0.858038184396828-0.067577532863567i,0.84744415203488-0.07105571849831i,0.797375152269074-0.123813351990192i
0.83549439787522-0.0816371386538346i,0.770001953810635-0.0905487940614949i,0.753180643931429-0.0927222461923075i,0.747023299119045-0.0997767279208517i,0.721542920602111-0.0969950082624472i,0.809838039434389-0.0857164325092846i,0.851636410748277-0.08243041184072i,0.842478335341296-0.0822399993816898i,0.824895311111218-0.103356246566779i,0.746242719375169-0.150954830400169i
0.812193378168436-0.103149856963619i,0.745040564449026-0.106772254566939i,0.722421746463813-0.107558161766887i,0.708899143104595-0.108299117921551i,0.693383729223359-0.10908827806004i,0.781217920150455-0.107114517664518i,0.81942137026818-0.105870991778533i,0.816685108454524-0.113625671910267i,0.791259184613473-0.13051507841267i,0.675261528299456-0.174349850736252i
0.745001286468051-0.163513539111886i,0.67820635611329-0.157955146627398i,0.658323849732589-0.152924993263004i,0.64360426319193-0.148446465945076i,0.630338881700861-0.146326430545855i,0.720433160530872-0.159392213696091i,0.749942771842757-0.168497559391627i,0.736944112027837-0.174452516774846i,0.685970862196077-0.191558966098548i,0.553077384184101-0.197463161769276i
0.650970428777409-0.220172341284946i,0.59161529093735-0.20523656465544i,0.569866802404024-0.199642086095754i,0.567919896115015-0.19412037527046i,0.550387416286914-0.190596747743769i,0.626602957602793-0.211372890589211i,0.650820610914792-0.226988297540637i,0.632682961475352-0.22995883281519i,0.576395833363299-0.230060021728546i,0.45286686211997-0.20329462747782i
0.529324303662338-0.255178697550788i,0.482963086495696-0.239984157181495i,0.470284894261228-0.228138536421841i,0.463775659556096-0.22381841954117i,0.449599019470169-0.210890265029485i,0.50765388907482-0.243951288146493i,0.531424589809321-0.260524672372219i,0.507481064478466-0.259945355557691i,0.464634205428199-0.24614072667158i,0.361446812910476-0.202352214979931i
0.354756011011467-0.263369664146654i,0.316791340265421-0.242905136862551i,0.314716732751447-0.236121527920676i,0.31111629278851-0.229646137199225i,0.305137552001833-0.225709812927886i,0.338512936262731-0.255760968924361i,0.347470771880435-0.263577795667452i,0.333085934195509-0.260723496288102i,0.309635320168263-0.238394043778165i,0.240891785684684-0.189592841375471i
0.226774197484244-0.245870003020264i,0.203440555085754-0.222095953668943i,0.199607864849403-0.220473593024446i,0.197818343572869-0.218602985039368i,0.194614740324985-0.209402905105198i,0.21896439373087-0.241635916033997i,0.224084579654606-0.248746176751i,0.214224278366231-0.242423235128273i,0.196294285666853-0.216882925193315i,0.155058008328353-0.171856523300135i
0.117711887601981-0.213950921024852i,0.103634722872467-0.191810150329559i,0.100135150732138-0.19026597942329i,0.0994480503536765-0.183351989581896i,0.099864738139692-0.180923794803347i,0.110420706920027-0.207567401456792i,0.11543611479904-0.21430583844049i,0.108722566215383-0.204906662974279i,0.100063288668939-0.186741092248697i,0.0794564943429479-0.147572133488565i
0-0.155275680019469i,0-0.139648408843668i,0-0.135576066773783i,0-0.13464510586949i,0-0.132012915492716i,0-0.152248750561196i,0-0.155785629333998i,0-0.151144874267465i,0-0.137041389076596i,0-0.108352374106044i
