0.103509207681563-0.0051399630955413i,0.106242719913271-0.00545070195722552i,0.10568935686697-0.00590511897568473i,0.105629445615408-0.00626473779281399i,0.106074269383117-0.00578337735826818i,0.103706742857797-0.00401059726415323i,0.10405722930716-0.00361886896134382i,0.105435961590859-0.00366214981724377i,0.108667309602935-0.00402573209208465i,0.116867293390486-0.00595735992589893i
0.102823149224183-0.00306715846247663i,0.104334492016215-0.00435519474832868i,0.103973615069391-0.00466740187638013i,0.103649203399543-0.00487166477773989i,0.103708531546494-0.00511688474125451i,0.102211093644732-0.00322744788643821i,0.102924439445629-0.00264285989471914i,0.104120334379615-0.00285231632653009i,0.107059896562803-0.00341044428008865i,0.114982961874092-0.00488768727542043i
0.10205494752934-0.00233007762777578i,0.10322717230118-0.002939339047139i,0.102438976951766-0.0032362499462303i,0.102288175637286-0.0033118260734343i,0.101993588161518-0.0032831465650364i,0.101279544677438-0.00204985277706699i,0.102266941967958-0.00171571204769507i,0.103453064503828-0.00189692877024541i,0.106071324244931-0.00220685450430688i,0.113494234005961-0.00383895520593201i
0.101471530536013-0.00190186005394577i,0.102579849601778-0.00223793501503259i,0.101902177939671-0.0023900947716092i,0.101554954834035-0.00241122561848038i,0.101490206045946-0.00230524426587856i,0.100927874533322-0.00146113637622503i,0.102013013427221-0.00130526223703014i,0.103183565823227-0.00128649257646105i,0.105900256099451-0.00177891851760599i,0.112658611270367-0.00327979679961656i
0.100659264448221-0.00168397658324159i,0.101482465575362-0.0019920884873378i,0.100704892850487-0.0021009945081214i,0.100451625122302-0.00206471133233052i,0.100333331937521-0.00210130672736174i,0.100263346433868-0.0015209337946714i,0.101315623309375-0.00134773181659297i,0.102495413088539-0.00134709428822427i,0.105066400330466-0.00180358550260039i,0.110751353540863-0.00374369806681603i
0.100220178718441-0.00193976623756599i,0.100907959970681-0.00214601149635776i,0.100069670453637-0.00224211237164398i,0.0996912851264728-0.00217291766428019i,0.0996709049125465-0.00217263988857165i,0.0997679870428168-0.0016439420881176i,0.100995130875057-0.00163048840148405i,0.102234862310036-0.00170413582189051i,0.104470702130176-0.00235879924541772i,0.109179575561313-0.00462847251649766i
0.0995640636572365-0.00250626443736854i,0.100175900682416-0.00256219033512339i,0.0992866823451716-0.00248159944532496i,0.099011073620462-0.00233427351959187i,0.0990820899434656-0.00233919811068413i,0.0993181358407697-0.0021103363262462i,0.100449936120137-0.00202077578777799i,0.101587627910463-0.00227663007262704i,0.103415251731176-0.0029870967846819i,0.107077416509866-0.00526617975836134i
0.0979273657796326-0.0038969809484138i,0.0985508300389253-0.00370369122070014i,0.0977850465936238-0.00357274032945701i,0.0975401422363605-0.00344738000895704i,0.0976036146450661-0.00329591726051224i,0.0979546374026427-0.00314233956119462i,0.0990778273760569-0.00323167145576646i,0.100018153400495-0.00361216231341776i,0.101415835135156-0.0043038491475922i,0.10340796394715-0.00592900875821817i
0.0956697676554704-0.00507105865994689i,0.0964982012569232-0.00482509579461508i,0.0959043002382136-0.00452595848854847i,0.0957329441460298-0.00419002838782615i,0.0958189659294658-0.00423514607249138i,0.0961822320572777-0.00417174620735533i,0.0972423960141217-0.0042920208359564i,0.0979991585623152-0.00461574499205976i,0.0991031188321506-0.00507487990334415i,0.100443659351198-0.00606920596104522i
0.0929657134840507-0.00566659163157342i,0.0939050364982488-0.00546107617345158i,0.0935374140291117-0.00511056451186586i,0.0934552027210659-0.00495327981147909i,0.0936381368027667-0.00487635665514085i,0.0940326423141116-0.00485743857945144i,0.0949218855937948-0.0050048560253643i,0.0956124501443994-0.00521898579324483i,0.0963204102704265-0.00548960512793692i,0.0977852107934871-0.0059731023137256i
0.0891866613402432-0.00574035509249178i,0.0901884496045167-0.00562288531624065i,0.0900567781934491-0.0053800215048446i,0.0900619503072376-0.00524767201426422i,0.0902689198555249-0.00509404288452642i,0.0905524569163978-0.00516167569632119i,0.0914760442099933-0.0051678530060403i,0.0920942478743476-0.00528141664200386i,0.0929106103248925-0.00541156075422151i,0.0941752142764366-0.00579741525274258i
0.0864266813861209-0.00533970960568917i,0.0874589120043241-0.00523841098933954i,0.08739361229432-0.00496435787281633i,0.0875223816768558-0.00481101443729244i,0.0878936877788058-0.00473036906858949i,0.0881741009492765-0.0048031952596541i,0.0890522243684809-0.00489815388430412i,0.089534156509266-0.00492387802747495i,0.0903614317213804-0.00505049221556069i,0.0916343435956062-0.00528907060760793i
0.084076065665467-0.00459791614792522i,0.0852282583558853-0.00431705831143625i,0.0852354379656129-0.00427892788080691i,0.0853547248995346-0.00418603264121159i,0.0856716405457692-0.00414106307679175i,0.0859749974668224-0.0041438976590424i,0.0867608144736555-0.00419070314446484i,0.0873408784247146-0.00425733790227861i,0.0881479130258347-0.00434635542009009i,0.0892216414697325-0.00452018439020768i
0.0815405925566951-0.00330846524844017i,0.0828005118291274-0.00323814636284334i,0.0828295923679195-0.00309849472025871i,0.0831060949397478-0.00309036881295163i,0.0833739434051147-0.00305716912036044i,0.0836450984511329-0.00303850329431286i,0.0844959345485107-0.0031611959387212i,0.0849546977567256-0.00318532476714705i,0.0857219591547367-0.00326766860528304i,0.0867529048207797-0.00334306528461233i
