0.104682103529101-0.00507674023034411i,0.105474044896584-0.00542051925683173i,0.105068173603908-0.00595032522824748i,0.104797733790034-0.00601669666211508i,0.105155757843368-0.00573521124561684i,0.102521876445912-0.00396010021149611i,0.10398593461202-0.00353629654765178i,0.105921314057334-0.00366320374632268i,0.109019186679937-0.00412185692380438i,0.117845832235457-0.00622931259390441i
0.103825046156868-0.00324208853202614i,0.103646656993546-0.00416636291280971i,0.103228570575566-0.00462490889047568i,0.102660448864285-0.00471966045800015i,0.102754511180839-0.00502718223604521i,0.101092355098436-0.00313443661214958i,0.102895173630843-0.00264327440394474i,0.104655029906392-0.00282252238597828i,0.107508353810856-0.00334625147850545i,0.115923874080877-0.00507384181140661i
0.103278994059776-0.00234950599226776i,0.102391265364806-0.00284241448475717i,0.101901000990432-0.00310105575799969i,0.101412044368193-0.00319564151804197i,0.101226267123412-0.00319881040593836i,0.10028449329786-0.00202799527203942i,0.102342007030931-0.00175820815816863i,0.103975793194098-0.00185764011189589i,0.106560412142523-0.00224515257002088i,0.114493015349202-0.00395498310733489i
0.102569110534203-0.0018507123977753i,0.101906671306511-0.00217048427790582i,0.101254724758443-0.00230011179392193i,0.100655862507051-0.00240933681823652i,0.100665144419191-0.00221203919671735i,0.0999654107717392-0.00142114712865655i,0.101993450498039-0.00128433696416601i,0.103679021898932-0.00139608860911896i,0.106167704629278-0.00173086453907868i,0.113467987516452-0.00345158863315428i
0.101775503392748-0.00165543456196506i,0.10077939656313-0.00185091414489805i,0.100101600469042-0.0019421337226765i,0.0996149449850598-0.00199867791098292i,0.0995618867641361-0.00196103701808322i,0.0992188200612828-0.00131572503944949i,0.101345604895511-0.00134880059751524i,0.103073284044217-0.00145221669016148i,0.105334643284852-0.00194888786578011i,0.11152788393945-0.00409525378186074i
0.101318929631307-0.00189367564101416i,0.100258165459279-0.00206159339917316i,0.099491981418621-0.00201971283654303i,0.0989852705488629-0.00211601686313028i,0.0989899003523681-0.00195479015259395i,0.0989272714600978-0.00160582189891518i,0.10094275858691-0.00171348112215759i,0.102529888432788-0.00188370236321871i,0.104852872259781-0.00245190924794405i,0.109798930285971-0.00487120883373493i
0.100745526847128-0.00237897825907371i,0.0996177643950395-0.00237597375920385i,0.098829787869755-0.00225544565861226i,0.0983023794227576-0.00225085737736804i,0.0982910380329325-0.00216452538680398i,0.0984477633017383-0.00181652086602642i,0.100481981094195-0.00210258443706005i,0.101990522912693-0.00237315759589187i,0.103898575562685-0.00318236940625991i,0.107418974825105-0.00569681692555008i
0.0991357412998646-0.00379799817662828i,0.098093483736624-0.0034070740214953i,0.0974400992489907-0.00316495772155111i,0.0969888077696988-0.00307565331476677i,0.0971041926713537-0.00293008800966236i,0.0972501824682567-0.00273130308895144i,0.0990552583714877-0.00323770755067045i,0.100296079299587-0.00372369869796713i,0.101566817527236-0.00462344366623768i,0.103461300256767-0.00629457331780572i
0.0970175621011411-0.00497482896054645i,0.096268457077056-0.00450079240979674i,0.0957489073363162-0.00415678274839757i,0.0954223843745746-0.00391657142657581i,0.0955733666503722-0.0039101788233539i,0.0956908314373053-0.00371970212586771i,0.0973050895166825-0.00440418254254647i,0.0983121109407784-0.0047504236299469i,0.0988938414877991-0.00541250533840242i,0.100478826671646-0.00628785103727748i
0.0942713972950849-0.0055706254511029i,0.0939266924668687-0.0051887029463379i,0.0936411934180813-0.00477673302745484i,0.0933375069381939-0.00460953978089028i,0.0935610658053751-0.00447262768473906i,0.0937269736229378-0.00445031867352645i,0.0949590400228458-0.00494622596411044i,0.0957730688723358-0.00529894369564375i,0.0963044108476213-0.00562393692952372i,0.0976108939165114-0.0062516324358219i
0.0905259010840195-0.0055461563360129i,0.0903681524659264-0.00533353996989161i,0.0902528492256317-0.00503586478971592i,0.0902111105494496-0.00491930356488565i,0.0904713202462576-0.00481259285642249i,0.0905607949853584-0.00485165578582171i,0.0914899713427733-0.00515842955331791i,0.0922104589183397-0.00542095767911008i,0.092725617988388-0.00555501575615411i,0.0940015198163583-0.0060099970376542i
0.0878623238557923-0.00520199275774205i,0.087731420256233-0.00501642015333054i,0.087780089337875-0.00465690289582247i,0.0877700305986074-0.0045686077514592i,0.088102593678664-0.00459365998981532i,0.0882168542938924-0.00453223170625993i,0.0889632212127368-0.00491906416888109i,0.0896321799078757-0.00498829759816477i,0.0900649348583407-0.00517402787199242i,0.091257209654058-0.00529736421828894i
0.0855389076672618-0.00449531969948105i,0.0854979690045806-0.00430832445088526i,0.0856163727521427-0.00407681772270564i,0.0856878095924352-0.00401264355409153i,0.0860702143685384-0.00388192920253715i,0.0862078596479289-0.00397900547768279i,0.0868416872351049-0.00417038933234012i,0.087402260562795-0.00429007231454946i,0.0878177755716507-0.00439513864829395i,0.0889627468460803-0.00465801818828805i
0.0830878847657253-0.00319517508004524i,0.0831487543713235-0.0030079172272607i,0.0834197381641689-0.00295199516186939i,0.0835317556544211-0.00290064804688237i,0.0838424944236379-0.0027614199567573i,0.0840333483800386-0.00284787409852703i,0.0844104984714756-0.00296930423227329i,0.0849694365418916-0.00310702778509262i,0.0853719520376011-0.00320821986720641i,0.0863135138271152-0.00345521465799104i
