0.103895069349575-0.00513727286794197i,0.1042215688414-0.00545553993730263i,0.103203838156061-0.00573277441424088i,0.102795420354175-0.00594884499965252i,0.102490703460848-0.00551478104349797i,0.100378152787115-0.00395404888606106i,0.102126334300486-0.00363589753654634i,0.103930111632252-0.00375551027014415i,0.107853823871362-0.00423857322881307i,0.117655599637828-0.00623443176386441i
0.102946147881178-0.00315362998129831i,0.102572071014504-0.00422171612376727i,0.101368926084873-0.00456249885758561i,0.10087548462198-0.0046627046638054i,0.100285556409366-0.00504352787294187i,0.0990214242508561-0.00318209351787578i,0.101104504385677-0.00281984420862098i,0.102583833609822-0.00308514169781655i,0.106414026002782-0.0035883198579651i,0.11569459821971-0.00529256178105547i
0.102451688646089-0.00246889638879019i,0.101231119453733-0.00303910193302478i,0.100137347308104-0.00323723149525064i,0.0993799793260817-0.00316749852118769i,0.0985860707890082-0.00325433941850211i,0.0981859630294418-0.0020777732053184i,0.10018243099573-0.00193317328867882i,0.101950359380401-0.00189299656811781i,0.105234670306365-0.00249174207277057i,0.113917115792498-0.00447927052876127i
0.101764135247872-0.00199372820007005i,0.100644559586353-0.00228170016769517i,0.0993106496285925-0.00248336399916837i,0.0988171205356345-0.00242210320068191i,0.0980210839558988-0.00225082943318186i,0.097668096000401-0.00155854670842185i,0.100084560167775-0.00135093608295329i,0.101734837139636-0.00155821399725266i,0.104801317291896-0.00210265005896463i,0.11286927794635-0.00435729137099729i
0.100898252980099-0.00202304797625662i,0.0994626417858981-0.00218783202293669i,0.0982212533944036-0.00225114577702766i,0.0976256006781598-0.00219697943910293i,0.0970462735558533-0.00199244187489231i,0.0971990305138881-0.00141352174270876i,0.0994438163037411-0.0014447857796248i,0.100729980903424-0.00173252642032868i,0.103872570188598-0.0025821372175134i,0.109967028809188-0.00567047659240452i
0.100224808212518-0.00244146705280674i,0.0987983577692709-0.00242256904952957i,0.0975575320300693-0.00234401819359014i,0.0969067645086184-0.00232719759763282i,0.0962763818569846-0.00224814189411626i,0.0966676185386202-0.00184779025504907i,0.098894178135289-0.00190836528208217i,0.100166639532977-0.00226814511086274i,0.102684957774334-0.00336243742083804i,0.107232529643789-0.00694306768295821i
0.099326585436274-0.00306963862282805i,0.0978993101936248-0.00290330909426868i,0.0966725342439996-0.00270619450056549i,0.0960657261986146-0.00256596033030136i,0.0955244987196016-0.0023947271424522i,0.0961508324850663-0.00236068260628822i,0.0982733786283705-0.00251408506622016i,0.0993251780090904-0.00292722682134017i,0.101200881879888-0.00431418391746895i,0.103797363814045-0.00734736831189693i
0.0970779096184354-0.00450210698494761i,0.09590891519712-0.00410567247881999i,0.0948261906410406-0.00373152139998066i,0.0944428579145807-0.00359250299582879i,0.0939391244577089-0.00330748956353016i,0.0944958811698827-0.00322782982212297i,0.0964483134192554-0.00368826716326556i,0.0970755556813095-0.00434394659309033i,0.0979425681256583-0.00528869334898296i,0.0991019654437175-0.00668596661397241i
0.0944964344524807-0.00540330952764845i,0.0937281506142349-0.00496254140226089i,0.092872810446001-0.00468274296495404i,0.0924688691326215-0.00429755942609703i,0.0922323755950917-0.0042299916342532i,0.0928334868935865-0.00419164103347961i,0.094214829959835-0.00489719748574156i,0.0946894735991955-0.00508274074594092i,0.095426583629781-0.00560334339087599i,0.0961175732343047-0.00633761335411946i
0.0918196885981835-0.00567046895247239i,0.0910571175132589-0.00537319633448386i,0.0905560592613392-0.00508104032597523i,0.0903702482874492-0.00481251676090796i,0.0899721704293686-0.00468493380546625i,0.0904792073557654-0.00475433017928805i,0.0916219812901788-0.00529242934991144i,0.0921760642021449-0.00542190779210368i,0.0926480209135447-0.00559667474077907i,0.0936047491991864-0.00608883350472345i
0.0880993922928302-0.00577016790081618i,0.0876208460407622-0.005429125911505i,0.0872461055252082-0.00508632636297179i,0.0869557935835717-0.0049045538354291i,0.0869545897211231-0.00482504555425339i,0.0873334322013383-0.00493296955530436i,0.088345721467183-0.00527631837354139i,0.0887735370023627-0.00539956288887927i,0.0892831406141747-0.00545882969726792i,0.0902626647895337-0.00565104394105441i
0.0855909740536735-0.00538976761799204i,0.085010459868447-0.00506910939644207i,0.0847016839894768-0.00486882126910755i,0.0846521749545493-0.0047370901970596i,0.084508361697447-0.00457952355070763i,0.0849756044212249-0.00469688493815812i,0.0857933723021084-0.00501028620335822i,0.0861885183911732-0.00508977681996574i,0.0867616704521375-0.00510615383653204i,0.0875914842944569-0.00528241154849372i
0.0831141045451047-0.00469833963116838i,0.0827470998539736-0.00445081124923867i,0.0825488538323905-0.0043808035355905i,0.0825350579763968-0.0041140961404962i,0.0825240075456406-0.00409028586062338i,0.0828084575492814-0.00416716603816117i,0.0835966313616584-0.00434674794742862i,0.0839467489348469-0.00451678933865543i,0.084558551726694-0.00452593790273273i,0.0852752471932038-0.00463567078992669i
0.0804042647725004-0.00352601272461052i,0.0802364951496683-0.00351687411991381i,0.0802421965606092-0.00338926213692232i,0.0801873742266941-0.00320717926117977i,0.0802412284659979-0.00322199181968506i,0.0804312186803962-0.00328901077412735i,0.0810789896294456-0.00334048402555805i,0.0813484222238053-0.00341520319196164i,0.0818908363040817-0.00345558053120557i,0.0826900503516122-0.00355404174874865i
