0.109887790027928-0.00554877367121047i,0.107019274698257-0.00603272419955092i,0.106241983617548-0.00640063053158558i,0.106177055075116-0.00646015405631701i,0.106282493850908-0.00594591819455636i,0.10389624430691-0.00439054994042596i,0.104545200014223-0.00397029443436846i,0.105144138747228-0.00412147946245179i,0.109336040958577-0.00442842383672521i,0.117446380666802-0.00637997244266894i
0.108577445711925-0.003647475205656i,0.104924508865757-0.00439972649496031i,0.104198198838634-0.00481238458134663i,0.103964615383407-0.00516282230716732i,0.103541231522454-0.00545013520331272i,0.102268214079269-0.00322834491199177i,0.103129697208482-0.00282350897065398i,0.103781426703517-0.0030341510191637i,0.107732019489536-0.00354336236928672i,0.115320815652449-0.00527648132080648i
0.107830905287562-0.00288530463325991i,0.103748567204891-0.00319527655929934i,0.102794006607822-0.00364185336942149i,0.102568526551846-0.00364771343376086i,0.101632225070895-0.00341317625002377i,0.101506525478995-0.00230945117861043i,0.102536073746635-0.00208087067763822i,0.103062067228138-0.00210376939427036i,0.106616993867913-0.00263760986822948i,0.113858818940122-0.00421702424299853i
0.107004290033502-0.0024582922907311i,0.102957341398953-0.0026305022254584i,0.10196510458502-0.00270165646751416i,0.101454979732034-0.00271818349941408i,0.101316939384792-0.00262457801306024i,0.101057639935484-0.00170651317808003i,0.102161527067931-0.00156907281122103i,0.102788819610199-0.00161134723348554i,0.106304166921899-0.00202853158753161i,0.112701688233857-0.00396402578074181i
0.105948421848683-0.00257368360824438i,0.101655540533035-0.00251747863894614i,0.100576024281319-0.00245915393543665i,0.100114062716302-0.00250420641003661i,0.099925008692065-0.00229395804132089i,0.100190353450514-0.00159204963712937i,0.101144948975379-0.00172299421802353i,0.101895504360805-0.00175434620636345i,0.104989517642176-0.00254657579482015i,0.110349559634848-0.00465505278894117i
0.105188138225844-0.00308628017218475i,0.100813792218082-0.00278132543733224i,0.0996441198115604-0.00288271521833372i,0.0994934005737252-0.00305211289211733i,0.0991284303949038-0.00257111170588199i,0.0996661503357143-0.00219069547772411i,0.100813464717116-0.00220451544710799i,0.101395727834733-0.00231137524402252i,0.104203295919075-0.00323239762979613i,0.10839260309728-0.00585062250961994i
0.103878309714996-0.0039137668940087i,0.0999351202657489-0.00330691279999031i,0.0989965749245913-0.00329230536821531i,0.0983183266001653-0.00291722019760611i,0.0980596645068314-0.00316236397731775i,0.0985136686431016-0.0025591079425535i,0.100123673313654-0.00314435364664933i,0.10006246943684-0.00313554984481816i,0.10330324472547-0.00393285537343307i,0.105797307162667-0.00691139596399209i
0.101043912065808-0.00598712434146063i,0.0976674179669692-0.00477562748507858i,0.0968076500974123-0.00466162768671149i,0.0962862864867407-0.00451716091894103i,0.0960471967825724-0.00434523905077465i,0.0967628853974795-0.00413201828716178i,0.0980216261860842-0.00449499800413779i,0.0978509165730911-0.00474522783240028i,0.0998609837225555-0.00589716861003683i,0.10102368321457-0.00733568566684366i
0.0977848243082722-0.00751360095020153i,0.0949324622090351-0.00620362534336834i,0.0941321823128964-0.00575903204119037i,0.0939318206034879-0.00542275307400641i,0.0938803016596316-0.00535966201440732i,0.0944923041646491-0.00542685530567166i,0.095347653106209-0.00588112374769088i,0.0954236524243947-0.00602536552928901i,0.0965953652244148-0.00674356830682412i,0.097323189031302-0.00746892500730673i
0.0937836100680164-0.00794312081304513i,0.0916151794095678-0.00691053591208218i,0.0911085077139386-0.00636541338869376i,0.0909766442631579-0.00630463055643944i,0.0909671113107273-0.00602360725449737i,0.0915799310578302-0.00600230424274715i,0.0922030330910166-0.00653631876993855i,0.0924061277175631-0.00658098062382501i,0.0931896578371197-0.00700861689498943i,0.0939592268548945-0.0071822221027042i
0.088512525197086-0.00762566160633032i,0.0872272565934359-0.00673085898330718i,0.0868141139280313-0.00643209645352249i,0.086939623025693-0.00633577707664158i,0.0869645155433804-0.00612427748599666i,0.087493390673529-0.00634093874071773i,0.0879016136371336-0.0064390896655237i,0.0880980211565957-0.00641884743100319i,0.0890903631878347-0.00658258034765491i,0.0898042017027526-0.0066847381438836i
0.0850683210767468-0.00683704375326171i,0.0839340622300014-0.00612605858911717i,0.0837870539372263-0.00597686906889799i,0.0839305579088682-0.00572087342545586i,0.0841404714146454-0.00573856202677482i,0.084585097202666-0.00573126302861646i,0.0849385987612856-0.0058653074948655i,0.0851858440537408-0.00575340562453704i,0.0859130617068468-0.00590149205317315i,0.0867365836502121-0.00591950264977157i
0.0822441382638411-0.00568698194866762i,0.0813482750891343-0.0051676353358116i,0.0812812133443989-0.00509256980988227i,0.0814665883225483-0.00482091980284546i,0.0816712737661064-0.00484102287631116i,0.0821178708943237-0.00472230412630128i,0.082453335044765-0.00502893075094625i,0.0826822150279182-0.00485940360730559i,0.0833622966354503-0.00494563627924457i,0.0842080861875088-0.00516112807090436i
0.0791570179171609-0.00395453484146769i,0.0785769570711921-0.00380295898023028i,0.0786670866721456-0.00366919712571987i,0.0789889277301562-0.00342793969386303i,0.079004144673493-0.00356253997559773i,0.0795354041510605-0.00349511809492725i,0.079840091895543-0.00337990220949024i,0.0801479421481261-0.00349529906516792i,0.0806813456678829-0.00367648087899452i,0.0815865876649727-0.00371450607496163i
