0.0714117405036876-0.00428356641686539i,0.0714632971381284-0.00473161676435412i,0.070256930285259-0.00511254647555588i,0.0696151282695706-0.00531622518341686i,0.0697327325489722-0.00452023916428806i,0.0676975644694241-0.003510303514469i,0.0677554339881951-0.0029656867477899i,0.0688416942358185-0.00328054265234528i,0.0720527674746215-0.00347561015883752i,0.0788935090317786-0.00494218477151839i
0.0704773109735765-0.00288899530232017i,0.0699963537708244-0.00379976195290394i,0.0687413063576072-0.00393676284766887i,0.0679049924822099-0.00399806718972514i,0.0677264096241841-0.00415004583885607i,0.066543614111402-0.0026282079685809i,0.0667298582383291-0.00231138321130008i,0.0678808681705276-0.00251153736048189i,0.0705956032315747-0.00291592020634774i,0.0773792542269295-0.0039650270538972i
0.0699015691836784-0.00208439415956565i,0.0689651775735907-0.00275926838741166i,0.0676372956622128-0.00270928980524583i,0.0667497850573105-0.00287919328427246i,0.0662226695348653-0.00273483301675134i,0.0656838123296152-0.00167286715655122i,0.0660909702488533-0.00163638234698205i,0.0672646600912282-0.00162268409507619i,0.0698648710106875-0.00202244551426125i,0.0760756130764457-0.00316211131340162i
0.0691479506438588-0.0015872109690188i,0.0684107746039172-0.00200976240408446i,0.0670368742799239-0.00203765891158712i,0.0661619978375476-0.00216310644749425i,0.0658795701115038-0.00186657775997985i,0.0655155253255086-0.00119440831651279i,0.0658710954207749-0.00096983177313872i,0.0670731974312862-0.00123156249708745i,0.0694730402669025-0.00147614073207866i,0.0754394489411574-0.0025770680469448i
0.0685940628646319-0.00153214744011473i,0.0673898581371961-0.00186479686148231i,0.0659397504327706-0.00168701706052835i,0.0651731770666693-0.001685025442929i,0.0647610107263803-0.00164552183861545i,0.0647126202825179-0.00107036872454092i,0.0654580748075807-0.00120885057397674i,0.0664327898146416-0.0011123738333764i,0.0687067408682423-0.0015750359981376i,0.0739014268866644-0.00291938294119017i
0.0680621664358655-0.00178309171272679i,0.0668203250648775-0.00190729441310678i,0.0655015612245998-0.00173755636476969i,0.0646441195192936-0.00192129117311168i,0.0643260647012329-0.00171219964230479i,0.0645297985747927-0.00125039247449879i,0.0652493574466567-0.00122273049024668i,0.0661146609947136-0.00144713660002866i,0.0683671029644326-0.00189589749498955i,0.0726420493309793-0.00374352880630145i
0.0675448009336373-0.00239255026443801i,0.0662043107873585-0.00227208688533405i,0.0649076836166096-0.00219440975197686i,0.0641121897430869-0.00198083984534272i,0.0637787027244645-0.00180224135437834i,0.0641045066361938-0.00166578765641196i,0.0647989850936328-0.00165104313051686i,0.0657639327265252-0.00179603643522713i,0.067657926245866-0.00242781428489726i,0.0709440023002511-0.00459631806917735i
0.0659766041930879-0.00383555842414644i,0.0646070231880725-0.00328745060088441i,0.0635310704758422-0.00311213630916419i,0.0628627792845035-0.00299964429934889i,0.0627666632858924-0.00272024477996222i,0.0630667609526723-0.00262903960285547i,0.0636828001054584-0.00266603811320763i,0.0644965555527807-0.00300014656327328i,0.0657231423388349-0.00376849188544122i,0.067612310624186-0.00532164287454741i
0.0637346309430009-0.00494654315333671i,0.0629007682003552-0.00446042539486368i,0.0618266563177213-0.00397850801022519i,0.0613741854762833-0.00371399501975401i,0.061327876643472-0.00365102909849432i,0.0615749504176829-0.00366486697939652i,0.0622401542238261-0.00379790075556031i,0.0625717708037923-0.00404625774719508i,0.0636713699356693-0.00463551671233475i,0.0649839001741754-0.00558530052518507i
0.0610342171257674-0.00558625775782165i,0.0604774692811086-0.00520764701908325i,0.0596145264337359-0.00458225149533677i,0.0591586258374614-0.00454919606940292i,0.0591907270357193-0.00418226462403609i,0.0596498588137259-0.00432370433233941i,0.0599603633012029-0.00452027170410721i,0.0604028433413965-0.00466556839659169i,0.0612263971622513-0.00499199694808066i,0.0624475003144851-0.00538153734668653i
0.057376517930732-0.00544505048645117i,0.0569912863594646-0.00522015685231035i,0.0564025788580005-0.00481631744367994i,0.0562668569491933-0.0045556985707152i,0.0562591266260934-0.00448927414046763i,0.0566844701014013-0.00450625993033705i,0.0569978991749075-0.0046426866198766i,0.0574196591582388-0.00464817904499763i,0.0580929000033202-0.00488911614505875i,0.0590863483383735-0.00520516035970692i
0.0548948721423736-0.0049812494922036i,0.0545125158398401-0.00468353026932463i,0.0543059708957792-0.00447319647424469i,0.0540139171504554-0.00430883639789294i,0.0540627191199066-0.00418862853012093i,0.0545835645984857-0.00429659458754935i,0.0547414934039759-0.00429402089574176i,0.0551557758732663-0.00434101218456244i,0.0558959443489313-0.0045510531589344i,0.0567634732161643-0.00472185493192794i
0.0526890239016392-0.00431689202408406i,0.0524146368275403-0.00394349388785893i,0.0521834640633627-0.00384327841371233i,0.0520302390400901-0.00370479299584522i,0.0522862480648513-0.00368701045862535i,0.0526671418606032-0.00358824276193058i,0.0528263121613417-0.00373558652687976i,0.0532788077718415-0.00383788914979308i,0.0538635181498108-0.00389471547672078i,0.0545631142000026-0.00420358942217962i
0.0504782366309955-0.00303723367425093i,0.0502306288425266-0.00288267312454569i,0.0500872287133922-0.00269719716046532i,0.0501224003157973-0.00265013466889939i,0.0502816934905255-0.00260884159237855i,0.0504016863020592-0.00260304528331329i,0.0509261600092374-0.00268513191352116i,0.0511634311022766-0.00280050832803879i,0.0517405462074096-0.00283913707928031i,0.0524995690398604-0.00299869728695553i
