0.0750412861930676-0.0047925428118288i,0.0721464354216891-0.00511686297852511i,0.0706742077304594-0.00534597113948604i,0.0697756643485645-0.005428701963917i,0.0686193562239306-0.00383452218133515i,0.0671789858387084-0.00324962145415618i,0.0670805654033849-0.00316123263766911i,0.0681703466540737-0.00321319807498288i,0.0719727063746058-0.00345249747711638i,0.0797714423072244-0.00534930634190094i
0.0739990229806108-0.00321440703432546i,0.0705880195760263-0.00381507651231352i,0.0689423622575205-0.00413141495473326i,0.0680257323252706-0.00417372345472114i,0.0668560616045841-0.00343272387852657i,0.0659747023357789-0.00241844760509239i,0.0662125557348067-0.00221026385382031i,0.0671326350294481-0.002352436096359i,0.0702846205655116-0.00316247772882652i,0.0777395057071082-0.00468257070265024i
0.0732672793759147-0.00238221991529036i,0.0693879038785593-0.00289814763833772i,0.0680009750324966-0.00293850863877745i,0.0667867253032274-0.00285648759498431i,0.0656687738258153-0.00238476840439839i,0.065261826791633-0.00162271015689868i,0.0658527522817423-0.00149429171208967i,0.0667102579414558-0.00161641929516207i,0.0695099418008853-0.00204874727131769i,0.0761732888486393-0.00352278245471709i
0.0727037902635631-0.00201304999888346i,0.0688094243980351-0.00198815534959053i,0.0672896786156062-0.00214865810857789i,0.0661421518431902-0.00226408009980723i,0.0653179748837821-0.00163542493498082i,0.0651890921451552-0.00126845422493406i,0.0655025794584609-0.00124566002454295i,0.0661788441343365-0.00128173857236073i,0.0691833705637064-0.00139918016019837i,0.0753987562854282-0.00322889470027086i
0.0716886773213924-0.00206283524657258i,0.0676897870086328-0.00187214956950542i,0.0660023212551258-0.00175570723273799i,0.0650826418034258-0.00168903449770845i,0.0643531741261521-0.00125551763470643i,0.0645184887581794-0.000997076673841088i,0.0647677648354589-0.000981597737535776i,0.0656386759286474-0.00105835753638337i,0.0683172085598255-0.00156026277253243i,0.073303620105022-0.00354798266586677i
0.0711086620253674-0.00227140602243153i,0.0673344610415137-0.00211873832511041i,0.0655557989058889-0.00186146462158194i,0.0646634196327643-0.00185434358376053i,0.0641940863682206-0.0014380303235639i,0.0643337543648113-0.00131177472976032i,0.0647188705049698-0.00131266531443447i,0.065364023440214-0.00149259883868422i,0.067793286229167-0.00198240921174094i,0.0719185252456606-0.00433672066420658i
0.070333524708512-0.00308554818607581i,0.0667116316896761-0.0024029405791645i,0.0650594415463279-0.00216320861286844i,0.0642440201420133-0.00207687855845766i,0.0636422775896349-0.0019427367481917i,0.0639149723380754-0.00170616137575538i,0.0643811048075881-0.00171608678867736i,0.0651741892717958-0.00189967625104074i,0.0670798680152526-0.00262278965344848i,0.0699782053991859-0.00490334394925975i
0.0681267047143687-0.00520487173672301i,0.0650578081398443-0.00381126775735017i,0.0634153099032092-0.00356731246213487i,0.0627987707668672-0.00308550975928549i,0.0626331876787648-0.00285146854268156i,0.0628188083798886-0.00289095126725972i,0.0632926506208411-0.00285458090621467i,0.0637102900250294-0.0031538383431665i,0.0652053745028438-0.00403376432871418i,0.0665647952417199-0.00551066656829513i
0.0652116633639828-0.00635628446566349i,0.0628226284857841-0.00504835382980967i,0.0616834087008772-0.0044956918162867i,0.0612260167781718-0.00409075286463412i,0.0608782139943549-0.00391538117754674i,0.0612394831720365-0.0037520688127333i,0.0615783052739636-0.0039872245980549i,0.0618694081994677-0.00427519507149049i,0.0630308167455631-0.00485449131413548i,0.0638212745669232-0.00549313699567472i
0.061587422142851-0.00677083089704747i,0.0599130357393661-0.00557266224525045i,0.0593329689456968-0.00522924468972487i,0.0588228981156472-0.0049001352951421i,0.0587782853102356-0.00448771474425323i,0.0590258691163293-0.00449369908316916i,0.0593393463892052-0.00468495755546422i,0.0596139159668162-0.00475799254506384i,0.0603817951802226-0.00508564755678158i,0.0614105186006546-0.00536637810786557i
0.0573410863205385-0.00650101189736742i,0.056144256005318-0.00564427256719403i,0.055601227999237-0.00526596142311837i,0.0555993183344235-0.0050551235827352i,0.0554503540826843-0.00477002627620133i,0.0559144710155475-0.00481901584114874i,0.0561570173422805-0.00484238633656364i,0.0562873420847303-0.00468853935593759i,0.057109741349818-0.00496979221775476i,0.0579583931616306-0.00517443325839727i
0.0543664803241674-0.00549446011643383i,0.0536523915698986-0.00517645610333293i,0.0533972638835497-0.00463417405612874i,0.0531203830266687-0.00440787724724564i,0.0531679078955501-0.00447118611583529i,0.0535136765526618-0.00439053193735219i,0.0537796635093222-0.00435886986489483i,0.054165307152996-0.00442053475716208i,0.0548504569669335-0.00457067807323437i,0.0556327239341448-0.0048184675267848i
0.0520889717330827-0.00471242999659359i,0.0514743991970559-0.00407871275662962i,0.0511203713989518-0.00400100710798143i,0.0511235905341042-0.00375981693297991i,0.051295658918068-0.00375381744813318i,0.0516311559465116-0.00372144040843339i,0.051761979297372-0.00386364042735653i,0.0522992282845483-0.00371586236062427i,0.0528554762086114-0.00389440897737152i,0.0537445758901938-0.00411756826395308i
0.0497291182450668-0.00312936980089569i,0.0491187863300438-0.00289275369920305i,0.0491078549817038-0.00278844262740048i,0.0492168462746881-0.00269966606182149i,0.0492797688358957-0.00255411780394437i,0.0495197083847053-0.00262177774371732i,0.0498748855204774-0.00269297702450278i,0.0500948698138146-0.00269302214274843i,0.0506536479170664-0.00284550575646963i,0.0514466235412796-0.00300140066094615i
