0.072674063460531-0.00429532485222539i,0.0714866308254619-0.00491878874176529i,0.0708523673221263-0.00528199516872768i,0.0704010403421388-0.00545722781973137i,0.0703126796392675-0.0042537877018415i,0.0681274540899522-0.0033133963810778i,0.0684292206220868-0.0029544002163215i,0.0691481538212253-0.00312807229711619i,0.0701667701526642-0.00307090387597803i,0.0734989595389912-0.00435195918155999i
0.0717590554730153-0.00295166598499884i,0.0700868215447267-0.00363231663831132i,0.0692177207873926-0.00410083139495696i,0.0686558154280273-0.00430354100842324i,0.0681663445699117-0.00428163123650326i,0.0669938616454785-0.00260985919200015i,0.0671853466012742-0.00234172694377446i,0.0678449160081648-0.00232681493017377i,0.0690072627924947-0.00268173213394742i,0.0719746079503969-0.00337499170956024i
0.0711378547071967-0.0022425172741806i,0.068790600937719-0.00273628801585366i,0.0679103410562687-0.00276896800918325i,0.0674143194846392-0.00305833719041111i,0.0665662479619218-0.00276485257250326i,0.0661956708485727-0.00179675337716253i,0.0666528054338819-0.0015955437396951i,0.0674176526581814-0.00160653488443946i,0.0683583333508052-0.00168437261392116i,0.0711272107967476-0.00227562552307637i
0.07044624522029-0.00180888382178884i,0.0682649063518712-0.00206131215738065i,0.0673174557037793-0.00219865502101639i,0.0667717651040799-0.00216871604698667i,0.0662399342442282-0.00184324629544029i,0.0658518749646466-0.00143059218428041i,0.0664594484829621-0.00115656792313183i,0.0672607596178503-0.00121659862008974i,0.068068597190157-0.00127173195939522i,0.0705790795995858-0.00197611810810105i
0.0697573251311689-0.00185794832950808i,0.0673285567690326-0.00185738927436182i,0.0662623024582777-0.00201964425048206i,0.0657766060750685-0.00186486422140833i,0.0651941876105623-0.00176938016063244i,0.0651528041794947-0.00128054996928021i,0.0659369735085771-0.00122143870206916i,0.0666381872313419-0.0011696099445269i,0.0675187036166557-0.00138804595317166i,0.0696276699721142-0.00191310629119513i
0.0691625075001858-0.00230494095243404i,0.0668601921886363-0.00218261458491169i,0.0658511541565822-0.00213037593315519i,0.0652815482395347-0.00208990517599762i,0.0648400128785724-0.00200253225871158i,0.0648858319858822-0.00166425927276077i,0.065495295826209-0.00161110022487835i,0.0661683330913197-0.00176522837181782i,0.0669410650578441-0.00174545515415758i,0.0690607204943682-0.00231588601455281i
0.068301323841065-0.00311922147257615i,0.0661137754474925-0.00285025879150524i,0.0649955185381204-0.00273577021794141i,0.0644402636737245-0.00259884538745464i,0.0640732407664092-0.00240137144802935i,0.064447882652129-0.00227391244150676i,0.0651268426957183-0.00222208455494589i,0.0657386711367905-0.00228773074115051i,0.0665666738234558-0.00241839675386033i,0.0683488827600496-0.00297279677063704i
0.0661797365740165-0.00483116665951619i,0.0640875013548956-0.00422966801052103i,0.0633057513458847-0.00404915570944312i,0.0627132760685762-0.00393433854195421i,0.0624910530796212-0.00389488795501559i,0.0627774903093149-0.0036932002673748i,0.0633609074956595-0.00370972734827761i,0.0640188796732787-0.00384024713090286i,0.0647951213052667-0.00405080195735561i,0.0660751894491493-0.00473722271708823i
0.0634783934753382-0.00606152923390039i,0.0618883696552309-0.00537224962940526i,0.0610282043355719-0.00515786711186723i,0.0606806889503151-0.00489637718821627i,0.0604963197216643-0.00464478061109262i,0.0607633379084547-0.00470995247992281i,0.0612730908655822-0.00482018494118501i,0.0618157997850022-0.00504706916157137i,0.0625317611525787-0.00517547328027924i,0.0633708832418048-0.00585043384511194i
0.0601871535397688-0.00669815507108803i,0.0589868113271742-0.00597995353745702i,0.0583223500793155-0.00564186511514109i,0.0582058778968138-0.00545952961564147i,0.0579219811718751-0.00542475759451766i,0.0581559050461417-0.00534867695509662i,0.0585433542706902-0.00548790358425546i,0.0590437388249011-0.00563555895572189i,0.0596755572867404-0.00589203822920789i,0.0602043054134009-0.00613372645700756i
0.0557022785327582-0.00658976801458034i,0.0551118767918493-0.00607523755122406i,0.0545851984061846-0.00556901008263367i,0.0543077483875379-0.00551848661707946i,0.0543057604478053-0.00531958455209714i,0.0544402682539467-0.00537499841850535i,0.0549368627729593-0.00550750604961203i,0.0552495011409556-0.00566836031202657i,0.055672263968939-0.00568685191727823i,0.0562772151332243-0.00587057260017745i
0.0526106624769379-0.00583471155423884i,0.0520983894360879-0.00549278655121083i,0.0517844629831761-0.00519113510324827i,0.0517462002015527-0.00510377817151216i,0.0517619241845847-0.00497712514554692i,0.0520468488356509-0.00486050757263506i,0.0523316149228646-0.00492865188201227i,0.0525899943372268-0.00504047186829587i,0.0530263781222128-0.00504930078651785i,0.0536777317043139-0.00499169676176641i
0.0500682141256774-0.00487195475047436i,0.0497720956849962-0.00444507020509175i,0.0495382072553349-0.00433236548419314i,0.0495446860041975-0.00426222823519394i,0.0496581252607205-0.00417245567654614i,0.0498657606698537-0.00402887220348044i,0.0500994325891667-0.00412062090883107i,0.0504239402024862-0.00408563419952004i,0.0508354290185226-0.00431149537196645i,0.0515531765299886-0.00428604917288291i
0.0475580179311963-0.00324842577636065i,0.0474018535908681-0.00301808267396801i,0.0474222590636706-0.00300016567590507i,0.0473886181587743-0.00289449178734194i,0.0473154628019885-0.00290090199013039i,0.0476728269940969-0.00279750813444549i,0.0480325103801982-0.00288254384349078i,0.0483078506643297-0.00294950255988178i,0.0487945847601048-0.00295833946063053i,0.0493359658842853-0.00292481780991636i
