0.0994087377106047-0.00555187754474077i,0.091893095619866-0.00578326717846596i,0.0894652893672481-0.00603177445820279i,0.088998280298178-0.00609899025740829i,0.088521838368301-0.00547798376115599i,0.0867225882553544-0.00388964413314823i,0.0861955592565388-0.00365249885665449i,0.0877390608588384-0.00357598960883263i,0.0925691673511251-0.0039739187542221i,0.103941989651521-0.00573327864381432i
0.0981768823309249-0.00363636388162329i,0.0899847856491011-0.00448767369999338i,0.0876570742724055-0.00478617784168844i,0.086995637130802-0.00500496371398874i,0.0861566486987059-0.00526622306294463i,0.0851900575516977-0.00322222924502182i,0.0851633269767159-0.0027501988297797i,0.0865026679826574-0.00300165219195403i,0.0911147398174272-0.00338392453315431i,0.10219452696141-0.00445193109534077i
0.0974157076275533-0.00275652587702627i,0.0886459030572193-0.00316147124539983i,0.0862096093921419-0.00353416734975522i,0.0856011936509235-0.00343500835226766i,0.0841014464968741-0.00325821675930127i,0.0842331786391295-0.00222368452152036i,0.0844941802395071-0.00174593557685753i,0.0858159155701862-0.00186327238610907i,0.0901177305091878-0.00227071055577756i,0.100762016827061-0.00354251284823272i
0.0966347685447992-0.00238957584982654i,0.0882097433288568-0.00224747998395959i,0.0854168494155991-0.00266121592719987i,0.0849403102000635-0.00256088777516734i,0.0838938285000262-0.00256330173494776i,0.0841499374493204-0.00172387421502934i,0.0841032491020264-0.00159064708218472i,0.0856391017805318-0.00175889944434784i,0.08956084892593-0.00177752223781252i,0.10014295247371-0.00275866680572945i
0.0955128635696476-0.00277430136963712i,0.0868567452894332-0.00247697592945552i,0.0845447161629543-0.00245633717118137i,0.0834655119870741-0.00247255185362516i,0.0825553845151812-0.00235363747483197i,0.0828945590243773-0.00161549792844001i,0.0832782745564108-0.00133244282391291i,0.0847993467442281-0.00175808448480077i,0.0888652524334312-0.00193314835698372i,0.098556125966724-0.00328676420852242i
0.0946967027443495-0.00374529982310082i,0.0860212203673173-0.00302592458328062i,0.0838330467271318-0.00279023519814091i,0.0830091388370388-0.00269274189703383i,0.0819280711668037-0.00281697699306514i,0.082427120415613-0.00232614224074715i,0.0828743330134029-0.00227694113832396i,0.0843350605040222-0.00227776235218448i,0.088094441210821-0.00275136967330613i,0.0974226425699035-0.00440855316382757i
0.0931408505495703-0.00502634652271769i,0.0850573185248025-0.00400309340075654i,0.0824946810847013-0.0032766518361927i,0.0819368016650906-0.00331259340729013i,0.0812417869008348-0.0029638849362616i,0.0818884865437796-0.00292616686802407i,0.082109988428775-0.00314693913808496i,0.0833773379063511-0.00298521306103721i,0.0872785680638518-0.00367357864662874i,0.0957246344705888-0.00515972759805086i
0.0892818920558208-0.00775635449266087i,0.0823386877537746-0.00567121762049412i,0.0802450634857405-0.00514266127650501i,0.0793854344311334-0.00475736155932597i,0.0785096207478111-0.0049040486569212i,0.0796496363979036-0.0046320682538251i,0.079972753323024-0.00449349163722616i,0.0813970794859622-0.00481686354045227i,0.0847166200676975-0.00571090510656384i,0.0914109255488161-0.00723423820377906i
0.084840126344327-0.00927365136800533i,0.0790804841610521-0.00695111862307978i,0.0775386519808687-0.00631421761393404i,0.0769015402551536-0.00605768948205368i,0.0761722126236021-0.00573037159065611i,0.0771683229266238-0.00571256188347436i,0.0773267683982666-0.00588651877524343i,0.078518202961259-0.00609822151012535i,0.0812930539828575-0.00688122109175901i,0.0873937540072953-0.00807294538054197i
0.0800518382802048-0.00962857618446409i,0.0753492762300672-0.00780215306989561i,0.0739742978328942-0.00723146133782869i,0.0737811772112315-0.00673535196935465i,0.073284263045837-0.00635516037948802i,0.0740632939958177-0.0062833046348775i,0.0742780675084216-0.00646568159362626i,0.0753330537785362-0.00674629532828845i,0.0776877102719097-0.00728617913296769i,0.0834986694728342-0.00792001945555194i
0.073773233705186-0.00867265499568498i,0.0703436995006635-0.00756019868053457i,0.0693309120118361-0.00712428289638667i,0.0691751824995704-0.00659598673600222i,0.0688721596465139-0.00655379931535056i,0.069648801408112-0.00648933531234108i,0.0697721352138712-0.0064254815391567i,0.0707084176504501-0.00649971831392236i,0.0729994960245626-0.0069474894480823i,0.0786567595092418-0.00727005755069051i
0.0700389196440881-0.00749315500995954i,0.0669180721111318-0.00661218251027524i,0.0659868988779718-0.00626463935233415i,0.0659328491661685-0.00601290124295015i,0.0657944733119179-0.00583274481681767i,0.0666580436934934-0.00569466748189104i,0.0669753906184243-0.0057841994063307i,0.0677095424364355-0.00579644452855435i,0.0698708407407755-0.0060233084814658i,0.0755536956113264-0.0063326018167004i
0.0670616023334109-0.00606162968516791i,0.0640613268479195-0.0054053454605962i,0.063521889372392-0.00529509189561653i,0.0633789898871081-0.00503851268495116i,0.0633750538186301-0.0047681392694779i,0.0641072645469504-0.00491436977510297i,0.0645080481055711-0.00490278491552355i,0.0651415200199427-0.00483540368009572i,0.0674927627572701-0.0049897083701168i,0.0730837688522534-0.00509334196588769i
0.0640184128663406-0.00417980098789316i,0.0613238427947943-0.00385206139386385i,0.0606448498224904-0.0036288250530393i,0.060857517891974-0.00360947476793568i,0.0609510615901809-0.00351767723007281i,0.0614762949814042-0.00349702142151315i,0.0619163299327007-0.00344995040374701i,0.0627901845560398-0.00349291294154052i,0.0647230495469305-0.00355644223036819i,0.0703044340890634-0.00386187829626876i
