0.0878882772022447-0.00391351482449144i,0.0897717607360133-0.00459717142982112i,0.0895895993558511-0.00510027006576143i,0.0894920895592452-0.00515315039236493i,0.0900437226463603-0.00404652366166706i,0.0883969973418401-0.00315291793333025i,0.0887858048779372-0.0029175364303656i,0.0900034225401234-0.00299997522884947i,0.0921395983059249-0.0033376427182301i,0.0976124970488844-0.00464718808546925i
0.0871244123020993-0.00263579621644233i,0.0883180181115587-0.00355031294542761i,0.0879159503940381-0.00396415765259287i,0.0878538378917797-0.00417001375443544i,0.087953350763534-0.0042032264541546i,0.0872418118162232-0.00263836203901598i,0.0878246155515869-0.00233713040363735i,0.0888284052979483-0.00243647898890167i,0.091007762107827-0.00267886691961501i,0.09596742818867-0.00385602983965787i
0.0864396781200444-0.00186368170170247i,0.0871339896006599-0.00244680496097528i,0.0867190823447924-0.00263954132986584i,0.0866286270531474-0.00261190395629935i,0.0863298528975039-0.00246423318881774i,0.0864621287962259-0.00163470048598713i,0.0871488048734581-0.00150069669425022i,0.0881832911590118-0.00151218944807816i,0.0901423417760407-0.00177133183709371i,0.0947965386654933-0.00267087762468633i
0.0859773702964725-0.00148558772176859i,0.0866412042064646-0.00177420378646639i,0.0862633713274462-0.0018798533387044i,0.0860973298849261-0.00202794235675429i,0.0860509898629021-0.00173702942153564i,0.0862460673109946-0.00117197188467904i,0.086968486633514-0.00114257297350294i,0.0879759107520316-0.00112326503735652i,0.0898441956459655-0.00132272079404038i,0.0942010351941936-0.00224596095915539i
0.0853855448385095-0.00132343345723306i,0.0858485611894287-0.0015832375100989i,0.085422707865829-0.0016109017379397i,0.0852080225309587-0.00162454163659495i,0.0852191879745428-0.00150647351196747i,0.0857061922550152-0.0012010134404028i,0.0865236781202886-0.00107710257182708i,0.0874869775475826-0.00109252928873959i,0.0892337809279021-0.00138697139893028i,0.0931934303053999-0.00226044565969316i
0.0850645060562872-0.00152670816342764i,0.0854094874966988-0.00173487969385593i,0.0848242806751811-0.00185371769920909i,0.084639068005955-0.00173450133008633i,0.0848670106281488-0.00171823123968502i,0.0853911172157852-0.00148867936717591i,0.0861873960894755-0.00143260712117452i,0.0871187303341351-0.00149460212482128i,0.0888376167646834-0.00172473162086229i,0.0923171047657572-0.00272361476391596i
0.0845271824069946-0.00194200857766662i,0.0848001091841354-0.00223304153363809i,0.0842443672913713-0.00214373319117715i,0.0840128385645755-0.00218589126339175i,0.0841640349176224-0.00214065237612175i,0.0848686469952604-0.00202381879505521i,0.0856222521206688-0.00193503875846568i,0.0866166668030775-0.00210173624613497i,0.0881752856126346-0.00235890350803752i,0.0913608123550898-0.00350378402264075i
0.0833263473840815-0.00295861447096213i,0.0833870486288366-0.00327794546675677i,0.0827357343118572-0.00314952245049237i,0.0826039488488434-0.00308963687181883i,0.0828675419245808-0.00306867032141135i,0.0834684756977769-0.00314888948524803i,0.0842565434306869-0.00326693577637441i,0.0851545160957411-0.00336011333883719i,0.0866283578161788-0.00375282767864998i,0.088793128983533-0.00487192018813504i
0.0817236288528523-0.00390976703186484i,0.0816596240149169-0.00411263498941906i,0.0811048268246218-0.00398600735892828i,0.0810646410609305-0.00387526032892628i,0.0811653896748837-0.00380418219490146i,0.081767820273092-0.00389217572268273i,0.0824820204229736-0.00402018232253435i,0.083279191774598-0.00423726893284871i,0.084516103689573-0.00474697834142471i,0.0860849630110897-0.00575057684640193i
0.07956662559025-0.00461381775273381i,0.0794819446570834-0.0047184608309001i,0.0790307278481474-0.00462222060925179i,0.0790157300183484-0.00438291568396886i,0.0792188810739968-0.00439509587009519i,0.0797056156822956-0.00448873953451888i,0.0803233946885342-0.0046657570562695i,0.0810106213762328-0.00496735169508862i,0.0819660419125474-0.0052404658736109i,0.0831766965126173-0.0060025946230115i
0.0763145330894427-0.00497413618617254i,0.0760586284868128-0.0048809274160028i,0.0759845322903768-0.0047712729149043i,0.076041087944627-0.00466239906860904i,0.0761747857813411-0.00463501261776017i,0.0767429222119003-0.00476354520225545i,0.0771073052860466-0.00476806831033489i,0.0775929714930299-0.0050856140863962i,0.0783591357621065-0.00536122222962655i,0.0793767123496181-0.00568540930703947i
0.0739565793518613-0.0046467974688361i,0.0737490759994255-0.00461545870362237i,0.0736114498461355-0.00446678035564064i,0.0736142701766992-0.00438795661788495i,0.0739036519367511-0.00434934468883551i,0.074269895357508-0.0044641378543705i,0.0746870415285019-0.00457674932160899i,0.075184430125916-0.004657195257509i,0.0758280672749908-0.00483257876719874i,0.0768420292734421-0.00499975976859768i
0.0718116994449919-0.00390576485858837i,0.0716564780883807-0.00388040618878516i,0.0715960679878118-0.0037967055370841i,0.0716640240413638-0.00373720034050876i,0.0719399309799721-0.00368706987522269i,0.0722871021787179-0.00376669758767937i,0.0726518524589317-0.00386070536985153i,0.0731062022487814-0.00399390942523385i,0.0738355065427464-0.00403876109292764i,0.0746813916458373-0.00419390810769657i
0.0697485638569807-0.00265661739874903i,0.069545449441635-0.00266212494584533i,0.0695961489439088-0.00256554657144989i,0.069657684479167-0.00254627630677873i,0.0699365636578891-0.00250525026838711i,0.0702177378118842-0.00251451667702684i,0.0706369650309036-0.00261803132909459i,0.0710707126704944-0.00266704511007565i,0.0717279970289851-0.00288325822688307i,0.0724175934771364-0.00293506941316335i
