0.0717184369961091-0.00420698620564646i,0.0713125876955864-0.00485042086011769i,0.0708602146888094-0.00532860847988926i,0.0706048207034872-0.00542546222246263i,0.0707059241830318-0.00401648131731563i,0.0687315633203341-0.00312147406694157i,0.068915281957315-0.00299404717811918i,0.0696989002884712-0.00309169830431648i,0.0709013297452945-0.00327617788074418i,0.0740109755315431-0.00429247402150476i
0.0708011711742714-0.00298870248498612i,0.0696515103387382-0.0039926735166782i,0.0691625935934407-0.00427437716412251i,0.0687770210360277-0.00441348812930241i,0.0684918618517265-0.00428786763008132i,0.0674994066020452-0.0028078546678468i,0.0679117422733147-0.00250062521411505i,0.0685668646078714-0.00248586131289618i,0.0696180310237579-0.00276450080327054i,0.072538634000873-0.00341979285958928i
0.0699931883930133-0.00225590719479048i,0.0684226127412654-0.00274936394977442i,0.0678918133788379-0.00291433020960747i,0.0675137405665779-0.00297261046970707i,0.0667284248638297-0.00267088476591284i,0.0665664151582711-0.00180199288529488i,0.0671863780246151-0.00157429257901475i,0.0677933040535546-0.00161223767427157i,0.0687791573346507-0.00177416524171665i,0.0715477955451681-0.00238787747409187i
0.0693964416872977-0.00182298679027502i,0.0678693753068825-0.00208685930632181i,0.0672277877297247-0.00220162932398907i,0.0668267309628468-0.00221415939091185i,0.0665021090836179-0.00190458817658606i,0.0663978798166451-0.00128602185581633i,0.0669842495738646-0.00112215005669664i,0.0676153154824004-0.00125646275187262i,0.0686096837393256-0.00133400638805675i,0.0710179950564907-0.00196989727579987i
0.0687076747854873-0.00180950079251121i,0.0669097479044878-0.00188018788415823i,0.0662539150908387-0.00188666379078288i,0.065928006860093-0.0019666654182235i,0.0655180862001468-0.00174704468898375i,0.0657525601469082-0.00130603469278139i,0.0664352153533603-0.00124257779109132i,0.0670221560820097-0.00135453585094122i,0.0679350453539609-0.00146649631319959i,0.0701906241082841-0.00197419449696473i
0.0681132829745556-0.00216939757819638i,0.0663721191041176-0.00211915222047226i,0.065670486815111-0.00215340627278301i,0.0652729525111946-0.00209497573581392i,0.0649639244391307-0.00197367536669738i,0.0654062218644137-0.00163817769531511i,0.0661612933099014-0.00170677386391472i,0.0666792949735771-0.00169381574407247i,0.0675221886646169-0.00185699712186248i,0.0694576195387274-0.00236985089022979i
0.0673010563309575-0.00284421494406587i,0.0655928704961767-0.00271454108439643i,0.0649179777598529-0.00260425409188151i,0.0645020706744137-0.00261420607922217i,0.0642773504092504-0.00248631966720962i,0.0647630707843116-0.0022838661313175i,0.0654264102448506-0.00229534461554177i,0.0660275353747097-0.0023651715272498i,0.0668046293005462-0.00250190652228086i,0.0685589736698553-0.00309307335034351i
0.065367516638687-0.00437714530868944i,0.0637609614635149-0.00393740197230612i,0.0632566510372756-0.00385027816842509i,0.0628743044292079-0.00377476539803327i,0.062765013380006-0.00355967426432138i,0.063175402140947-0.00361009997581156i,0.0639280466448192-0.00373668211835194i,0.0643834654354332-0.00377667163951579i,0.0651308871700935-0.00396067962676754i,0.0665223999904297-0.00460616549227294i
0.0630097690010076-0.00547232932892074i,0.0616682070287201-0.00484347348089458i,0.0611355996143705-0.00483283443335066i,0.0608434336035203-0.00475109030531912i,0.0607372340669204-0.00456804403089419i,0.0612632120479132-0.00457040031611388i,0.0617453002948942-0.00482293755826034i,0.0622549756882513-0.00486544563173051i,0.0629821478381468-0.00509219715103924i,0.0639363296865805-0.00560803045764555i
0.0601170716982136-0.00614753663547996i,0.0590726622289573-0.00568128775444744i,0.0585462253956851-0.00535272953550139i,0.05840590632339-0.00528343361332315i,0.0584078941786302-0.00519305011696714i,0.058689600526009-0.0052549252785773i,0.0591561487517012-0.00542760218609005i,0.0596305885488339-0.00549267431564618i,0.0600919293382378-0.00578022899517562i,0.0608670214762186-0.00622695312611132i
0.0561327341754419-0.00626622503312973i,0.055375191252343-0.00562793155724045i,0.0550012364563438-0.00545673547057787i,0.0548700318071594-0.00534359418486686i,0.0547710443380962-0.00521941709043768i,0.0551256716736272-0.00532592955181116i,0.055504739546779-0.00540863616825822i,0.0558015736418431-0.00558035121334899i,0.0562374175322442-0.00559715194072817i,0.0568862599379423-0.00582512869768181i
0.0529791131288012-0.00565480903426865i,0.0525889602323925-0.00528480888152112i,0.0523375291705614-0.00506214752179695i,0.0522693287986176-0.0049178768138098i,0.0524474495567073-0.00482864862286443i,0.0526142857439437-0.00487120487420269i,0.0528447174783649-0.00492389784810062i,0.0532147343255378-0.00500587538421822i,0.0537930625740189-0.00508406865880561i,0.0542474895518168-0.00514057713834451i
0.0505177926559503-0.00472018187090182i,0.0501637439952549-0.00447492324112465i,0.0499973140200431-0.00429057092121108i,0.0500445157434361-0.00427882901233713i,0.0501566117654864-0.00407524911132662i,0.0504250128038943-0.00414851627433528i,0.0507043618111946-0.00422427043943671i,0.0510831677254703-0.00422873396734671i,0.0515168079530342-0.00418452151276937i,0.0521388554449166-0.00432571381358115i
0.0480638136162793-0.00327924329267581i,0.0479031556285579-0.00309784234525894i,0.0478023915961776-0.00298698342495526i,0.0478932996139369-0.00291265778582543i,0.0480318745392685-0.00291849838992915i,0.0481957200733123-0.00302827975492255i,0.0484859972372886-0.00293663362919669i,0.0487819119437015-0.00293335336994218i,0.0492262098887818-0.00295465783164735i,0.0497980922543447-0.00303305640860558i
