0.0765691964605756-0.00454650134336819i,0.0745601021667679-0.00510277453734579i,0.0722292533045291-0.00532200623765604i,0.0714319150570488-0.00543722306033415i,0.072060053619907-0.00439865014694462i,0.0703108501016887-0.00360515146356138i,0.0703898105268947-0.00321371903426i,0.071412481587012-0.00335432234822814i,0.0733678610209335-0.00346077823894458i,0.0781973425311154-0.00494377689578144i
0.0755786510541268-0.00301555790110421i,0.0729096695944279-0.00390767980211904i,0.0706217647095749-0.00400457927033873i,0.0697365000981588-0.00437210065890754i,0.0700622385700002-0.00420467813773903i,0.0689694043077545-0.00266306065265575i,0.0693992909415418-0.00246958803805442i,0.0703375667723307-0.00247513737914421i,0.0721549690238194-0.00288024203476453i,0.0767078307033402-0.0039214898455377i
0.0749299844871526-0.00236227031736032i,0.0718373750087021-0.00269219926959905i,0.0694468412137511-0.00274153065853394i,0.0684682318861849-0.00288914148369972i,0.068534303251849-0.00255474734362009i,0.0680981443090047-0.00182172919660447i,0.068817490853561-0.00163319751898779i,0.0695952007394665-0.00164957713862241i,0.0713278311746524-0.00189114298321149i,0.0755162726061941-0.0028306330159025i
0.0743855310185529-0.00180992392455316i,0.0713871609788912-0.00208698211728322i,0.0689730879379275-0.00205534531376186i,0.0681131099223283-0.00200462323297966i,0.0681887261231662-0.00188106194268697i,0.0679930121262159-0.00134404939152569i,0.0685153176095098-0.00124593219141626i,0.0694256627393575-0.00128274306128029i,0.0709246220390268-0.00141775608667188i,0.0749716668879575-0.00233397853309198i
0.0735173399382315-0.00189824486121564i,0.0703744970492041-0.00184451397319541i,0.068039313120395-0.00178362458316009i,0.0670527733937573-0.00176475949660838i,0.0671418241111152-0.00167375833638346i,0.0673849141273266-0.00124680497133653i,0.0679309176299328-0.00126525099233465i,0.0688338542947788-0.00123437249695057i,0.0702657906493914-0.00146905588803235i,0.0735888204952161-0.00261345794178521i
0.0730155450665879-0.00236063592117231i,0.0697509151997919-0.00210517250933349i,0.067392827325495-0.00201153452221624i,0.0665496112583641-0.00198813633275331i,0.0667882420973128-0.00193197720421331i,0.0671107217108718-0.00161060429444816i,0.0675897663439858-0.00163410228953913i,0.0683517278327408-0.00184665763508133i,0.0697184063215779-0.00200344628537389i,0.0728891025254403-0.00322749459255313i
0.072143463270166-0.00333698762830052i,0.0691153844300187-0.0027915995075174i,0.066941671237455-0.00248149642628986i,0.0659983675230045-0.0024080510857984i,0.0661858773918126-0.0024091021847859i,0.0664667405752403-0.0020493803954841i,0.0671846830009999-0.002329906783249i,0.0679252549573985-0.00253079231408968i,0.0692033099088186-0.00260040026100087i,0.0714610630513578-0.00422154214840561i
0.0698525875211848-0.00522317096468236i,0.0672441680068135-0.00428981478037454i,0.0654662715271794-0.00386639036145864i,0.064398829429026-0.00350963303453091i,0.0646856920159519-0.00362531710189916i,0.0650148438266067-0.00370220224729461i,0.0655409147591699-0.00369552046693494i,0.0662932704845143-0.00393330656665676i,0.0672290982800731-0.00458817542664943i,0.06857804947683-0.00555362111513466i
0.066701591140865-0.00682544482689804i,0.0648862974280461-0.00564322424394563i,0.0632355210169924-0.00494415304478892i,0.0624623311959682-0.0046305490347357i,0.0627096014209435-0.00476977609752468i,0.0628981849078223-0.00472465948744927i,0.0635325610322781-0.00494762966366432i,0.0640477376316401-0.00518433713002936i,0.0646811462566493-0.00556788895021241i,0.0654284399502508-0.00625513614017354i
0.0629420289637855-0.007239815762349i,0.0618130918685616-0.00644943654117057i,0.0603316298412783-0.00594834127255576i,0.0599824448872091-0.00541672292462812i,0.0600486692082302-0.00546160826749003i,0.0602695830686322-0.00550920620875666i,0.0606613599629915-0.0057509447177496i,0.0611441438582656-0.00584017078201913i,0.0615519486343656-0.00606663285943038i,0.0623421474717477-0.00643573200857256i
0.0582066098890634-0.0069573696334298i,0.0574297847588396-0.00645927774539915i,0.0566377528091674-0.00579505560143566i,0.0561611395918959-0.005562889440778i,0.0562534815806743-0.00554501238998906i,0.0565905662282017-0.0055740305096999i,0.0570174669417301-0.00560027010029979i,0.0570504740198991-0.00571988209892258i,0.0576728991407877-0.00578778933157254i,0.0582986158833915-0.00586637663412406i
0.0550547948654504-0.00608257218854964i,0.0544086216658166-0.0055602765015667i,0.0538339117824125-0.00517246640216192i,0.0535874184175477-0.00511699797469236i,0.0536515646171736-0.0050558050346836i,0.0538096144923512-0.00494510908484074i,0.0542397508145121-0.00502675761253442i,0.0546404857076783-0.00515656247599578i,0.0549217394338425-0.00513791370566989i,0.0557085629484065-0.00526435518259487i
0.0525112063112471-0.00494836033310724i,0.0520582381505391-0.00472099384761957i,0.0515649984902702-0.00432986312934371i,0.0513008866592089-0.00430472020621893i,0.0514680905316344-0.00422275966783866i,0.0517639382601227-0.00423080509599237i,0.0519692408801854-0.00422693162234918i,0.0523054390106803-0.00432442432023613i,0.0528054727347187-0.00418596752361335i,0.053496119773545-0.00438181086399562i
0.0501217078245616-0.00336595479712227i,0.049706964061295-0.00324659139213202i,0.0492300348958351-0.00305835767190389i,0.0491844375353013-0.00302645274583555i,0.0493916120102523-0.00291554123141765i,0.0494951889799983-0.00285130743273063i,0.0497446816548137-0.00290550180887836i,0.0501779477496335-0.00301224850376082i,0.0506237683786783-0.00304615603720521i,0.0511920753738508-0.00305093259557489i
